español	quechua
¿Cuánto vale esto?	Hayk’an valin kay?
Vale 150 pesos	Chayqa 150 pesosmi
¿Cuántos años tienes?	Hayk’an watayoq kanki?
Tengo 8 años	Pusaq watayoqmi kani
¿Cuántas horas tiene un día?	Hayk’a pachan ch’isiyaq p’unchawpi kan?
Tiene 24 horas	Iskay chunka tawa pachan kan
¿Cuánto es ochenta menos cuarenta?	Hayk’an Pusaq chunka qichuy ch’iku tawachunkan?
Es cuarenta	Tawachunkan
ancho	kinra
ángulo	k’uchu
área	hawa tupu
arista	tupra
axioma	yachasqaña
balanza	llasa tupuna
calculadora	hapichiq
calcular	hapichiy
cifra	chullachasqa
círculo	cheqan muyu
contar	yupay
cuadrado	tawa k’uchu
diagonal	sisku seq’e
dinero	qollqe
dinero	rapi qollqe
división	rakiy
ecuación	kikinchasqa
fórmula	kamachiq
fracción	patma
gráfico	seq’esqa
horizontal	kinray
invertir	t’ikray
lado	chiru
línea	seq’e
longitud	sunin
magnitud	tupukuq
masa	kaq
matemática	yupa awa
medida	tupuynin
multiplicar	miray
numeración	yupachasqa
número	yupa
opuesto	tikra
perímetro	muyuriqnin
peso	llasa
porcentaje	pachakchasqa
probabilidad	icha
redondo	ruyru
restar	qechuy
resultado	chuyanchaynin
signo	chiku
símbolo	imaymana chiku
sumar	yapay
Uno	Huk
Dos 	Iskay
Tres	Kinsa
Cuatro	Tawa
Cinco	Pisqa
Seis	Soqta
Siete	Qanchis
Ocho	Pusaq
Nueve	Esqon
Diez	Chunka
Once	Chunka hukniyoq
Doce	Chunka iskayniyop
Trece	Chunka kinsayop
Catorce	Chunka tawayop
Quince	Chunka pisqayoq
Veinte	Iskay chunka
Veintiuno	Iskay chunka hukniyoq
Veinticinco	Iskay chunka pisqayop
Veintiséis	Iskay chunka soqtayoq
Treinta	Kinsa chunka 
Cuarenta	Tawa chunka
Cincuenta	Pisqa chunka
Sesenta y dos	Soqta chunka iskayniyop
Noventa y nueve	Esqon chunka esqoniyop
Cien	Pachak
Ciento uno	Pachak hukniyop
Ciento diez	Pachak chunkayop
Ciento doce	Pachak chunka iskayniyop
Doscientos	Iskay pachak
Trescientos	Kinsa pachak
Cuatrocientos	Tawa pachak
ahora mismo	kunachallan
amanecer	pacha illariy
anoche	kunan tuta
anochecer	sukhayay
anteayer	qayninpa
antigüedad	ñawpa
año lluvioso	paray wata
año pasado	qayna wata
año seco	ch’aki wata
año	wata
ayer	qayna
de mañana	tutamanta
de noche	tutata
de vez en cuando	mayllanpi
día feriado	apu p’unchay
día	p’unchay
escampar o cesar la lluvia	para thanichiy
esta noche	kunan tuta
esta tarde	kunan sukha
este año	kunan wata
fin	p’uchu, tukukuy
futuro	qhepa hamuq
futuro	qhepa p’unchaw
hora	pacha
hoy	kunan
madrugada	illariy
mañana	paqarin
medianoche	chawpi tuta
mediodía	chawpi p’unchaw
mes	killa
momento	hayrilla
noche	tuta
principio	qallariynin
próximo año	hamuq wata
semana	semana
tarde	sukha
tiempo futuro	ñawpa pacha
tiempo pasado	qhepa pacha
tiempo	pacha
toda la noche	tutantin
todo el día	p’unchawnintin
todos los años	watan watan
¿Cuándo volveremos a vernos?	"Hayk’aqtaq waqmanta
tupanakusun?"
El próximo año	Hamuq watapi
¿Qué vas a hacer mañana?	Imatan ruwanki paqarin?
Voy a ir a la montaña	Orqotan purisaq
¿Qué hora es?	Ima pachañataq?
Son las cinco de la tarde	Pisqa pacha inti chinkay kuyñan
abajo	uray
afuera	hawa
arriba	wichay
centro	chawpi
debajo	uraypi
dentro	ukhupi
derecha	paña
encima	patapi
fila	qati qati
izquierda	lloq’e
lado	chinru
lado	kinra
lejos	karu
enero	kamay raymi killa
febrero	hatun poqoy killa
marzo	pawqar waray killa
abril	ayriway killa
mayo	aymuray killa
junio	inti raymi killa
julio	anta situwa killa
