español	quechua
y la Torre de Juan Abad	 hinaspa Juan Abadpa Torrentapas
TESTIMONIO DEL MAESTRO	 YACHACHIQPA TESTIMONIO
Bartolomé Ximenez Patán	 Bartolomé Ximenez Patan sutiyuq runa
En testimonio de verdad	 cheqaq kasqanmanta testigo hina
vera fides	 vera fides nisqa
El Mro.	 Chay señor.
Bartolomé Ximenez Patón	 Bartolomé Ximenez Paton sutiyuq runa
UTOPIA	UTOPIA
Relación que el excelente varón	 Relación aswan allin qharimanta
Rafael HITHLODEO	 Rafael Hitlodeo sutiyuq runa
hizo del feliz Estado de la	 ruwasqa kusisqa kayninta
República de UTOPIA	 República de UTOPIA
ordenada por	 kamachisqa
TOMAS MORO	 TOMAS MORO sutiyuq runa
DESCRIPCIÓN DE LA ISLA Y SU AGRICULTURA	 ISLAMANTA, CHARKAMANTA RIQSICHIY
Siembran solamente trigo.	 Trigollatam tarpunku.
LAS CIUDADES; ESPECIALMENTE AMAROUTO	 LLAKTAKUNA; ASTAWAN AMAROUTO
LOS MAGISTRADOS	 MAGISTRADOS nisqakuna
EL TRABAJO	 LLAK’AY
DURACION DEL TRABAJO	 LLANK’AYPA TIEMPO
LOS VESTIDOS	 P'ACHAKUYKUNA
RELACIONES HUMANAS	 RUNAKUNA RUNAKUNA
COMEDORES Y HOSPITALES	 CANTENES Y HOSPITALES
VIAJES Y OTRAS COSTUMBRES.	 PURIY HUQ RUWAYKUNA.
ESTUDIOS	 ESTUDIOS
COMERCIO IMTERIOR Y EXTERIOR	 HAWAN RUWAYKUNA, HAWAN RUWAYKUNA
LOS METALES PRECIOSOS	 CHAPA QILLQAKUNA
Ellas replicaban, muy serias:	 Paykunaqa kutichirqanku, ancha serio:
LOS ESTUDIOS	 ESTUDIOKUNA
CUALIDADES Y CULTURA	 CALIDADES Y CULTURA
LOS ESCLAVOS	 LAS ESCLAVOS
LOS ENFERMOS	 UNQUQKUNA
EL MATRIMONIO	 CASARAKUY
PENAS Y CASTIGOS	 PENALIDADES Y castigaciones
LA MILICIA	LA MILITIA
LA RELIGION	 RELIGIÓN
FESTIVIDADES	 FISTIVIDADES
COMPARACIONES	 TUPANKUYKUNA
DESPEDIDA	 KACHARPARIIY
ás MORO	 aswan MORO
