español	quechua
Antoine De Saint - Exupéry	Antoine de Saint-Exupéry sutiyuq runa
EL PRINCIPITO	 HUCH’UY PRINCHU
EL PRINCIPITO	 HUCH’UY PRINCHU
De Saint - Exupéry	 De Saint-Exupéry sutiyuq runa
A Leon Werth:	 Leon Werth sutiyuq runaman:
Pido perdón a los niños por haber dedicado este libro a una persona mayor.	 Wawakunamanta disculpata mañakuni kay librota huk yuyaq runaman dedicasqaymanta.
Tengo una seria excusa: esta persona mayor es el mejor amigo que tengo en el mundo.	 Serio excusayoqmi kani: kay machu runaqa kay pachapi aswan allin amigoymi.
Tengo otra excusa: esta persona mayor es capaz de entenderlo todo, hasta los libros para niños.	 Huk excusayuqmi kani: kay machu runaqa tukuy imata hamut’ayta atiqmi, wawakunaq libronkunatapas.
Tengo una tercera excusa: esta persona mayor vive en Francia, donde pasa hambre y frío.	 Kimsa kaq excusayuqmi kani: kay kuraq runaqa Francia suyupi tiyan, chaypi yarqasqa, chiriyuq ima.
Verdaderamente necesita consuelo.	 Payqa cheqaqtapunin consuelota necesitan.
Si todas esas excusas no bastasen, bien puedo dedicar este libro al niño que una vez fue esta persona mayor.	 Sichus chay llapa excusakuna mana suficientechu kanman chayqa, kay librotapas dedicaymanpaschá chay waynaman, payqa ñawpaqpin kay machu runa karqan.
Todos los mayores han sido primero niños.	 Llapan kurak runakunan ñawpaqtaqa wawakuna karqanku.
(Pero pocos lo recuerdan).	 (Ichaqa pisillan chayta yuyarinku).
Corrijo, pues, mi dedicatoria:	 Chaymi dedicakusqayta allichani:
A LEON WERTH	 LEON WERTMANPAQ
CUANDO ERA NIÑO	 WAWA KASHAPAQPI
"Cuando yo tenía seis años vi en un libro sobre la selva virgen que se titulaba ""Historias vividas"", una magnífica lámina."	" Soqta wataypi kashaqtiymi huk sumaq siq'ita rikurqani huk liwrupi virgen sach'a-sach'amanta ""Historias Lividas"" sutiyuq."
Representaba una serpiente boa que se tragaba a una fiera.	 Chayqa rikchakunmi boa mach’aqwayta, chay mach’aqwaymi huk animalta millp’urqan.
"En el libro se afirmaba: ""La serpiente boa se traga su presa entera, sin masticarla."	Chay libropin niran: “Boa mach’aqwayqa mikhusqanta llapanta millp’un, mana masticaspa”, nispa.
"Luego ya no puede moverse y duerme durante los seis meses que dura su digestión""."	 Chaymantaqa manañan kuyuyta atinchu, chaymi soqta killa puñun, chay digestión nisqan duran”, nispa.
Reflexioné mucho en ese momento sobre las aventuras de la jungla y a mi vez logré trazar con un lápiz de colores mi primer dibujo.	 Chay pachaqa anchatam yuyaymanarqani yunkapa aventurankunapi, chaynallataqmi punta kaq dibujoyta huk color lapizwan qatipayta atirqani.
Mi dibujo número 1 era de esta manera:	 1 yupayniyuq siq’iyqa kayhinam karqa:
Enseñé mi obra de arte a las personas mayores y les pregunté si mi dibujo les daba miedo.	 Kuraq runakunamanmi dibujo ruwasqayta qawachirqani hinaspam tapurqani dibujo ruwasqay manchachisqanmanta.
¿por qué habría de asustar un sombrero? —  me respondieron.	 ¿imaraykutaq huk sombrero manchachinman? - nispa kutichiwarqanku.
Mi dibujo no representaba un sombrero.	 Dibujasqayqa manam sombrerotachu representarqa.
Representaba una serpiente boa que digiere un elefante.	 Chayqa rikchakurqa boa mach’aqwaypa elefanteta digerikusqanmi.
Dibujé entonces el interior de la serpiente boa a fin de que las personas mayores pudieran comprender.	 Chaymantataq boa mach’aqwaypa ukhunta siq’irqani kuraq runakuna entiendenankupaq.
Siempre estas personas tienen necesidad de explicaciones.	 Chay runakunaqa necesitankupunin sut’inchaykuna.
Mi dibujo número 2 era así:	 2 yupayniyuq siq’iyqa kayhinam karqa:
