español	quechua
LA VIDA DE LAZARILLO DE TORMES Y DE SUS FORTUNAS Y ADVERSIDADES	LAZARILLO DE TORMESPA KAWSAYNINMANTA, FORTUNANINMANTA, ADVERSITYNINMANTA
Autor desconocido.	Mana riqsisqa qillqaq.
Edicion de Burgos, 1554.	Burgos llaqtamanta edición, 1554 watapi.
Prologo	Ñawpaq rimay
Yo por bien tengo que cosas tan señaladas, y por ventura nunca oídas ni vistas, vengan a noticia de muchos y no se entierren en la sepultura del olvido, pues podría ser que alguno que las lea halle algo que le agrade, y a los que no ahondaren tanto los deleite; y a este propósito dice Plinio que no hay libro, por malo que sea, que no tenga alguna cosa buena; mayormente que los gustos no son todos unos, mas lo que uno no come, otro se pierde por  ello.	Allin razonwanmi chayna reparanapaq kaqkunata tarini, ichapas mana haykapipas uyarirqanichu nitaq rikurqanichu, achka runakunapa willakuyninman hamuspanku mana qunqay aya p’ampanapi pampakunkuchu, imaraykuchus kanmanmi pipas chaykunata leeq imapas gustasqan tarisqan, chaykunapas pikunachus mana chhaynatachu kusikuyta ukhunchanku; chaypaqmi Plinio nin, manan kanchu libro, may millayña kanman chaypas, mana ima allin kaqniyoq; astawanqa mana llapanchu gustokuna huklla kasqanmanta, ichaqa mana hukpa mikhusqanqa hukninmi chaypaq chinkapun.
Y así vemos cosas tenidas en poco de algunos, que de otros  no lo son.	Hinaspa chay hinata rikunchis wakinpa pisillapi hap’isqa kaqkunata, wakintaq mana.
Y esto, para ninguna cosa se debería romper ni echar a  mal, si muy detestable no fuese, sino que a todos se comunicase,  mayormente siendo sin perjuicio y pudiendo sacar della algún  fruto.	Hinaspa kay, imaraykuchus manan imapas p’akisqachu nitaq dañoman wikch’usqachu kanan, mana ancha millay kaqtinqa, aswanpas llapanman willasqa kanan, aswantaqa mana chiqninakuyniyoq kaspa, chaymanta wakin rurukunata horqoyta atispa.
Porque si así no fuese, muy pocos escribirían para uno  solo, pues no se hace sin trabajo, y quieren, ya que lo pasan, ser  recompensados, no con dineros, mas con que vean y lean sus obras,  y si hay de qué, se las alaben.	Imaraykuchus mana chhaynachu kanman chayqa, ancha pisillan huk runallapaq qelqankuman, imaraykuchus manan mana llank’aywanchu ruwakun, hinaspan munanku, chayta pasasqankumantapacha, premiasqa kayta, manan qolqewanchu, aswanpas paykunaq rikusqankuwan, leesqankuwan ima llamk’aqkunata, ima kaqtintaq alabaychis
"Y a este propósito dice Tulio: ""La  honra cría las artes."""	"Hinaspa chaypaq Tulio nin: ""Honorqa artekunatan mirachin""."
¿Quién piensa que el soldado que es primero  del escala, tiene más aborrecido el vivir?	¿Pitaq piensan escalerapi punta kaq soldadoqa aswanta kawsakuyta chiqnisqanmanta?
No, por cierto; mas el  deseo de alabanza le hace ponerse al peligro; y así, en las artes  y letras es lo mesmo.	Manan, de paso; ichaqa alabayta munaymi peligroman churan; chay hinataqmi, artekunapipas, letrakunapipas kaqlla.
"Predica muy bien el presentado, y es hombre que desea mucho el provecho de las ánimas; mas pregunten a su  merced si le pesa cuando le dicen: ""¡Oh, qué maravillosamente lo  ha hecho vuestra reverencia!"""	"Presentadorqa ancha allintam willakun, almakunapa allinninta anchata munaq runam; ichaqa tapuy Gracianta sichus llakichin chayta niqtinku: ""Ay, may admirakuypaqmi yupaychayniyki ruwarqan!"""
