español	quechua
ROBIN HOOD	ROBIN HOOD
Anónimo	 Mana riqsisqa
CAPÍTULO UNO	 HUQ CAPÍTULO
NORMANDOS Y SAJONES	 NORMANOS Y SAJONES
Hace cientos de años, los vikingos realizaron continuas campañas de conquista por toda Europa.	 Pachaknintin watakuna ñawpaqtam Vikingo runakunaqa Europantinpi atipanankupaq campañakunata ruwarqaku.
Estos audaces guerreros daneses, noruegos o suecos, tuvieron atemorizado a medio mundo durante tres siglos.	 Kay mana manchakuq Danes, Noruega utaq Suecia maqanakuqkuna kimsa pachak watakuna kuskan pachata mancharisqa karqanku.
Sus aventuras parecían no tener límites geográficos: Alemania, Francia, España, Portugal o Rusia fueron visitados por los feroces vikingos.	 Aventurankuqa manas geográfico limiteyuq hinam karqa: Alemania, Francia, España, Portugal utaq Rusia nacionqa millay vikingokunam watukurqaku.
Su ansia de expansión, apoyada en una gran preparación militar, les llevó a emprender arriesgadas expediciones por mares y ríos.	 Mastarikuyta munasqanku, hatun awqaq pusaq wakichiywan yanapasqa, mama quchapi, mayukunapipas peligroso puriykunata ruwanankupaq pusarqan.
Las poderosas embarcaciones con las que contaban, únicas en la época, y su extraordinaria pericia como navegantes les permitían arribar a cualquier costa y penetrar por cualquier río.	 Chay tiempopi mana tupaq kallpasapa botekunayoq kasqanku, hinallataq barcopi puriq hina mana hayk’aq rikusqanku barcokuna ima costamanpas chayayta atirqanku, mayqen mayumanpas haykuyta atirqanku.
Su superioridad naval se hizo incontestable.	 Lamar qochapi aswan allin kayninmi mana atipanapaq hina kapurqan.
Adquirieron una gran experiencia en los ataques por sorpresa, y sus terribles y sangrientos saqueos llegaron a sertristemente célebres en toda Europa.	 Paykunaqa admirakuypaq ataquekunapim ancha experienciata tarirqaku, chaymi manchakuypaq hinaspa yawarllaña suwasqankuqa enteron Europa lawpi mana allin reqsisqa karqa.
Uno de estos pueblos vikingos, asentado desde hacía años en Normandía, emprendió la invasión de la vecina Inglaterra.	Chay Vikingo llaqtamanta hukninmi, Normandía nacionpi watakuna tiyaq, vecino Inglaterra nacionman haykuyta qallarirqan.
Este país, no muy lejano de las costas normandas, resultaba muy vulnerable por mar.	 Kay suyuqa, Normand mama quchap patanmanta mana karuchu, lamar quchapi ancha llakisqa karqa.
La longitud de su litoral no permitía ni una vigilancia completa, ni una concentración rápida de las tropas para rechazar un desembarco.	 Lamar qochapa patanpa suni kayninqa manam tukuy imata qawayta atirqachu nitaq chaylla tropakuna huñunakurqakuchu huk aterrizajeta qarqunankupaq.
Todo esto no pasó inadvertido a los ojos del duque normando Guillermo que, movido por su ambición y deseo de gloria, decidió preparar a conciencia el ataque a la isla.	 Tukuy chaykunaqa manan mana reparasqachu karqan Norman duque Williampa ñawinpi, payqa hatun munayninwan, hatunchasqa kayta munasqanwan ima, conciencianwan preparananpaqmi yuyaykurqan chay islapi ataqueta ruwanankupaq.
¡Venceremos a los sajones!	 ¡Sajón runakunata atipasun!
arengaba Guillermo a sus tropas.	 Guillermoqa tropankunatam haranguarqa.
Con la conquista de Inglaterra, nuestro poder se extenderá a otros reinos.	 Inglaterra nacionta atipaqtinkun atiyninchis mast’arikunqa huk reinokunamanpas.
¡Viva el duque Guillermo!	 ¡Kawsachun Duque William!
gritaban exaltados los caballeros normandos.	 altochasqa qaparirqanku Norman caballerokuna.
Guillermo de Normandía, animado por el apoyo de los suyos, continuó diciendo:	 Normandía llaqtamanta Guillermoqa llaqtanpa yanapayninwan kallpachasqa, nillarqantaq:
Los sajones vencieron a nuestros antepasados muchas veces.	 Sajón runakunaqa achka kutitam ñawpa taytanchikkunata maqarqaku.
Fueron más fuertes, más decididos, más inteligentes.	 Paykunaqa aswan kallpasapa, aswan decidisqa, aswan yuyaysapa karqanku.
Pero ahora no lo serán.	 Kunanmi ichaqa manaña chaynachu kanqa.
Ha llegado por fin nuestro momento y. .	Tiemponchismi tukukuypi chayamun hinaspa... .
¡ha llegado su hora!	 ¡tiempoykiqa chayarunñam!
Los aplausos y los vivas al duque Guillermo cesaron al acabar aquella multitudinaria reunión.	 Chay hatun huñunakuy tukukuptinqa manañam karqachu Duque Williampaq t’aqllakuypas kusikuypas.
Pero el fervor y la entrega de su ejército lo acompañarían de forma permanente durante toda la expedición.	 Ichaqa ejercitonpa tukuy sunqunwan tukuy sunqunwan tukuy sunqunwan tukuy sunqunwan tukuy sunqunwanmi wiñaypaq pusanman karqa.
Meses después, las naves capitaneadas por el duque Guillermo eran avistadas en las costas inglesas.	 Killakuna qhepamanmi Inglaterra nacionpa lamar-qochanpi rikurqanku duque Williampa umallisqan barcokunata.
Señor, se acercan barcos normandos comunicó un vigía al monarca sajón.	 Señor, Norman barcokunan asuykamushanku, chaytan huk qhawaq runa willarqan Sajón reyman.
Los sajones no estaban preparados para competir contra un peligro que procedía del mar.	 Sajón runakunaqa manan preparasqachu karqanku lamar-qochamanta peligrowan atipanakunankupaq.
¡Disponed todas las fuerzas posibles en tierra!	 ¡Allpapi tukuy atikuq kallpakunata allichay!
ordenó el rey inglés.	 nispas Inglaterra reyqa kamachirqan.
Debemos evitar el desembarco.	 Chay aterrizaje nisqataqa hark’ananchismi.
Una pequeña guarnición intentó impedir que los normandos tomaran tierra.	 Huk huch'uy guarnición nisqa normando runakuna allpa hap'inankupaq hark'ayta munarqan.
Pero no lo consiguió.	 Ichaqa manan chayta chaskirqanchu.
Así, Guillermo de Normandía desembarcó en las costas inglesas, y con sus valerosos guerreros avanzó hacia el interior.	 Chhaynapin Normandía llaqtamanta Guillermoqa Inglaterra nacionpa qochankunaman chayarqan, chaymi valorniyoq maqanakuqninkunawan kuska suyu ukhuman ñawparirqan.
Los sajones, en clara inferioridad numérica, se habían visto obligados a improvisar la decisiva batalla en Hastings.	Sajón runakunaqa, sut’imanta aswan askha kasqankurayku, Hastings llaqtapi decidiq maqanakuyta allinta ruwanankupaq obligasqa karqanku.
Poco duró el combate.	 Chay maqanakuyqa manan unaychu karqan.
El soberano inglés cayó mortalmente herido y el ejército sajón se rindió incondicionalmente.	 Inglaterra kamachiq wañuypaq k'irisqa karqan, Sajón awqaq suyutaq mana imamanta hark'asqalla qukurqan.
Las tropas del duque Guillermo siguieron avanzando hasta Londres, donde se libró una última batalla con la que desapareció la débil resistencia sajona.	 Duque Williampa tropankunaqa Londres llaqtamanmi ñawparirqaku, chaypim huk qipa maqanakuy karqa, chaymi Sajón runakunapa pisi kallpa harkakuyninta chinkachirqaku.
La expedición normanda había sido un rotundo éxito.	 Normandokunapa expedición nisqanqa ancha allinmi karqa.
En recuerdo de su victoria, el ya nuevo rey de Inglaterra, Guillermo I el Conquistador, tras ser coronado, mandó construir la célebre torre de Londres.	 Chay atipasqanmanta yuyarispan, kunan Inglaterra nacionpi mosoq rey, Guillermo I el Conquistador, coronasqa kasqan qhepaman, Londres llaqtapi reqsisqa Torreta ruwanankupaq kamachirqan.
Esta torre serviría de cárcel para numerosos y destacados personajes a lo largo de muchos años de la historia inglesa.	 Kay torreqa askha allin reqsisqa runakunapaqmi carcel hina kanman karqan Inglaterra nacionpa askha watakuna historianpi.
Guillermo I, tras su victoria, dedicó sus esfuerzos a pacificar el país, y tomó algunas medidas para proteger a los sajones.	 Guillermo I, atipasqan qhepamanmi, suyuta thasnunanpaq kallpachakuyninta qorqan, wakin ruwaykunatapas ruwarqan Sajón runakunata amachananpaq.
Os aconsejo prudencia recomendaba el rey a sus nobles.	 Yuyaymanaykichismi allin yuyaywan, chaytan reyqa umalliqninkunaman yuyaycharqan.
Debemos ser respetuosos con los vencidos.	 Respetasqa kananchismi atipasqakunata.
Sólo así conseguiremos la prosperidad en todas nuestras tierras.	Chayraqmi llapa allpanchikkunapi allin kawsayta aypasunchik.
Sólo así lograremos una pacífica convivencia.	 Chayraqmi hawkalla kawsakuyman chayasunchik.
Desgraciadamente, no todos los seguidores del rey Guillermo pensaban como él.	 Llakikuypaqmi, rey Guillermopa qatiqninkunaqa manam lliwchu pay hina piensarqaku.
Aprovechando una larga estancia del rey Guillermo en sus posesiones de Francia, los nobles normandos, Ilevados por su soberbia y ambición, no cesaron de causar humillaciones a los derrotados.	 Rey Guillermo Francia nacionpa kaqninkunapi unay tiempo kasqanmanta aprovechaspankum, Normano noble runakunaqa hatunchakusqankuwan hinaspa hatun munayninkuwan apasqa kaspanku, atipasqa runakunata pinqayman churayta saqirqaku.
Las cargas tributarias se hicieron cada vez más angustiosas, insoportables para los pobres súbditos.	 Impuesto pagasqankuqa aswan llakikuypaqmi karqa, wakcha kamachisqa runakunapaqqa mana aguantay atina.
Los sajones se sublevaron en masa contra los opresores.	 Sajón runakunaqa achkallañam hatarirqaku sarunchaqninkunapa contranpi.
Campesinos, artesanos y nobles unieron sus esfuerzos contra el enemigo común: los normandos.	 Chakra llamk'aqkuna, artesanokuna, noblekuna ima kallpachakuyninkuta hukllacharqanku, huklla awqap kuntranpi: normandokuna.
¡Ya está bien!	 Kunanqa allinmi!
decía indignado un caballero sajón.	 nispas huk sajón wiraqocha phiñasqa nisqa.
No podemos seguir tolerando las injusticias de los normandos.	 Manañan aguantayta atisunmanchu normando runakunaq mana chanin ruwasqankuta.
Quieren hacer de nosotros sus esclavos.	 Paykunaqa esclavonkuman tukuchiyta munanku.
¡Debemos combatirlos y ser capaces de librarnos de ellos para siempre!	 ¡Paykunawan maqanakunanchismi, wiñaypaqtaqmi chinkachinanchis!
¡Hay que quitarles el poder!	 ¡Atiyninkuta qechunanchismi!
¡Tenemos que ser gobernados por un rey sajón!	¡Huk sajón reypa kamachisqan kananchis!
El rey Guillermo, que había estado ausente de Inglaterra, encontró a su vuelta un país levantado en armas.	 Inglaterra nacionmanta mana kashaq rey Guillermoqa kutimushaspan huk nacionta tarirqan armasqa.
Los sajones se mostraban más rebeldes de lo que en un principio se podía suponer.	 Sajón runakunaqa aswan rebelde karqanku, qallariypi yuyaykusqanmantapas.
Los nobles normandos decían a su rey:	 Normando noblekuna reyninkuta nirqanku:
Señor, Ilevado por vuestra bondad y magnanimidad, habéis tratado demasiado bien a los sajones.	 Señor, sumaq sonqo kasqaykiwan, hatun sonqo kasqaykiwan apasqa, sajón runakunata nishuta allinta tratarqanki.
Mirad cómo os lo agradecen.	 Qhawariy imaynatachus gracias nisunki chayta.
Majestad, habéis respetado a vuestros súbditos, no les habéis expropiado sus tierras y, en cambio, ellos se sublevan contra vos.	 Majestadniyki, kamachisqaykikunata respetarqanki, manan allpankutapas qechurqanki, aswanpas qan contra hatarinku.
Son unos desagradecidos.	 Paykunaqa mana agradecekuqmi kanku.
