español	quechua
Manifiesto del Partido	partidomanta manifiesto nisqa
Comunista	 Kumunista
Carlos Marx y Federico Engels	 Karl Marx wan Frederick Engels sutiyuq runakuna
Un fantasma recorre Europa: el fantasma del comunismo.	 Huk fantasma Europata qatiykachan: kumunismoq fantasma.
Todas las fuerzas de la vieja Europa se han unido en santa cruzada para acosar a ese fantasma: el Papa y el Zar, Metternich y Guizot, los radicales franceses y los polizontes alemanes.	 Ñawpa Europaq llapa kallpankunan ch’uya cruzadaman huñunakurqanku kay fantasmata qatiykachanankupaq: Papawan Zarwan, Metternichwan Guizotwan, francés radicalkunawan Alemania policíawan ima.
¿Qué partido de oposición no ha sido motejado de comunista por sus adversarios en el poder?	 ¿Ima opositor partidotaq mana comunista nispa sutichasqachu kamachikuq contranpi kaqkunawan?
¿Qué partido de oposición, a su vez, no ha lanzado, tanto a los representantes de la oposición más avanzados, como a sus enemigos reaccionarios, el epíteto zahiriente de “comunista”?	 ¿Ima partido opositortaq, mana “comunista” nisqa burlakuq epítetota wikch’urqanchu, aswan ñawpaqman puriq oposición representantekunamanpas, reaccionario awqankunamanpas?
De este hecho resulta una doble enseñanza:	 Kay chiqapmantam iskay yachachikuy lluqsimun:
Que el comunismo está ya reconocido como una fuerza por todas las potencias de Europa.	 Chay kumunismoqa Europapi llapa atiyniyoq suyukunaq kallpan hina reqsisqanña.
Que ya es hora de que los comunistas expongan a la faz del mundo entero sus conceptos, sus fines y sus tendencias; que opongan a la leyenda del fantasma del comunismo un manifiesto del propio partido.	 Kumunistakunaq yuyayninkuta, ima munasqankuta, ima munasqankutapas llapan pachantinpa uyanman rikuchinankupaq pacha chayamusqanmanta; pikunachus comunismoq fantasma nisqa leyendanta kikin partidoq manifiestonwan churanakunku.
Con este fin, comunistas de las más diversas nacionalidades se han reunido en Londres y han redactado el siguiente Manifiesto, que será publicado en inglés, francés, alemán, italiano, flamenco y danés.	Chaypaqmi Londres llaqtapi aswan imaymana nacionkunamanta comunistakuna huñunakurqanku, hinaspan kay Manifiesto nisqa qelqata ruwarqanku, chaymi inglés, francés, alemán, italiano, flamenco, danés simikunapi lloqsimunqa.
Capítulo 1º: Burgueses y proletarios	 1 kaq t’aqa: Burgueos y proletarios nisqakuna
La historia de todas las sociedades hasta nuestros días es la historia de las luchas de clases.	 Kunan pachakama llapa llaqtakunaq historianmi clase maqanakuypa historian.
En las anteriores épocas históricas encontramos casi por todas partes una completa diferenciación de la sociedad en diversos estamentos, una múltiple escala gradual de condiciones sociales.	 Ñawpaq épocas históricas nisqakunapiqa yaqa tukuy hinantinpin tarinchis sociedadpa imaymana clasekunaman hunt’asqa t’aqakuyninta, askha pisi pisimanta escalakuna condiciones sociales nisqakunata.
En la antigua Roma hallamos patricios, caballeros, plebeyos y esclavos; en la Edad Media, señores feudales, vasallos, maestros, oficiales y siervos, y, además, en casi todas estas clases todavía encontramos gradaciones especiales.	Ñawpa Roma llaqtapiqa tarinchismi patriciokunata, caballerokunata, plebeyokunata, esclavokunatapas; Chawpi pachakunapiqa feudalkuna, vasalokuna, patronkuna, oficialkuna, sirvientekuna ima, aswanpas yaqa llapan kay clasekunapin tarinchisraq gradacion especialkunata.
La moderna sociedad burguesa, que ha salido de entre las ruinas de la sociedad feudal, no ha abolido las contradicciones de clase.	 Kunan pacha burguesa sociedad, feudal sociedadpa thuñisqamanta lluqsisqa, manam clase contradicciones nisqakunata chinkachirqachu.
Únicamente ha sustituido las viejas clases, las viejas condiciones de opresión, las viejas formas de lucha por otras nuevas.	 Ñawpa clasekunata, ñawpa sarunchakuypa condicionninkunata, ñawpaq maqanakuykunata musuq clasekunawanlla tikrarun.
Nuestra época, la época de la burguesía, se distingue, sin embargo, por haber simplificado las contradicciones de clase.	 Epocanchis, epoca burguesia, ichaqa resaltan, contradicciones de clase simplificasqa kasqanrayku.
Toda la sociedad va dividiéndose, cada vez más, en dos grandes campos enemigos, en dos grandes clases, que se enfrentan directamente: la burguesía y el proletariado.	 Lliw llaqtan aswanta t’aqakushan iskay hatun awqa campamentokunapi, iskay hatun clasekunapi, chaykunan chiqanpi tupanakushanku: burguesia, proletariado ima.
De los siervos de la Edad Media surgieron los vecinos libres de las primeras ciudades; de este estamento urbano salieron los primeros elementos de la burguesía.	 Chawpi pacha sirvientekunamantam lluqsirqa ñawpaq llaqtakunapa libre vecinonkuna; Kay llaqta haciendamantam burguesia nisqapa punta kaq elementonkuna lluqsirqa.
El descubrimiento de América y la circunnavegación de África ofrecieron a la burguesía en ascenso un nuevo campo de actividad.	América llaqtata tarisqanku, África suyuta muyurisqankupas, wichariq burguesiamanmi mosoq llank’anata haywarirqan.
La antigua organización feudal o gremial de la industria ya no podía satisfacer la demanda, que crecía con la apertura de nuevos mercados.	 Industriapa ñawpaq feudal utaq sindicato nisqa organizacionninqa manañam mañakuyta huntachiyta atirqañachu, chaymi wiñarqa musuq qhatukuna kicharikuptin.
Vino a ocupar su puesto la manufactura.	 Chaypa rantinpi fabricacionmi hamurqa.
El estamento medio industrial  suplantó a los maestros de los gremios; la división del trabajo entre las diferentes corporaciones desapareció ante la división del trabajo en el seno del mismo taller.	 Clase media industrial nisqa gremiokunaq patronkunatan rantinpi churarqan; imaymana empresakuna llank’ay rakinakuyqa chinkapurqanmi manaraq kikin taller ukhupi llank’ay rakinakuy kashaqtin.
Pero los mercados crecían sin cesar; la demanda iba siempre en aumento.	 Ichaqa qhatukunaqa sapa kutillanmi wiñasharqan; chay mañakuyqa sapa kutim yapakuchkarqa.
