español	quechua
Charles Darwin	Charles Darwin sutiyuq runa
EL ORIGEN DE LAS ESPECIES	 ESPECIES nisqakunaq paqarimuynin
Revisado por: G.G.	 Revisado: GG
Prólogo	 Ñawpaq rimay
Charles Darwin, el científico naturalista que más contribuyó a la historia de la biología, nació en Shrewsbury el 9 de febrero de 1809.	 Charles Darwin, natural cientifico, aswan yanapakuq biología nisqamanta, Shrewsbury llaqtapi 9 ñiqin pawqar waray killapi 1809 watapi paqarirqan.
Quinto hijo de Robert Darwin, un próspero médico rural, y de Susannah Potter, creció en el seno de una sofisticada familia inglesa.	 Robert Darwin sutiyuq qhapaq llaqta hampiqpa, Susannah Potterpa pichqa churin, Inglaterramanta yachaysapa ayllupi wiñarqan.
Luego de finalizar sus estudios en la escuela de Shrewsbury, ingresó en la Universidad de Edimburgo para cursar medicina.	 Shrewsbury Yachay Sunturpi yachayninta tukuspa, Edimburgo Hatun Yachay Sunturman yaykurqan hampi yachayta yachananpaq.
En 1827 abandonó la carrera y comenzó estudios de teología en la Facultad de Estudios Cristianos, en la Universidad de Cambridge, con el fin de convertirse en clérigo rural, como lo deseaba su padre.	 1827 watapi chay irqita saqispa Facultad de Estudios Cristianos nisqapi, Cambridge Universidadpi, teología nisqamanta yachaykunata qallarirqan, taytanpa munasqanman hina rural clérigo kananpaq.
Allí inició una íntima amistad con John Stevens Henslow, cura y botánico, que lo llevó consigo en largas expediciones para recolectar plantas y lo recomendó al capitán Fitz Roy como tripulante del buque inglés Beagle.	 Chaypin John Stevens Henslow sutiyoq sacerdotewan, botánicowan allin amistadta qallarirqan, paymi unayta pusarqan plantakunata huñunanpaq, hinaspan capitán Fitz Royman recomendarqan Inglaterra nacionmanta Beagle nisqa barcopi tripulante kananpaq.
Ya a fines del siglo XVIII, como en busca de un portavoz, la teoría de la evolución rondaba lentamente la atmósfera de los naturalistas.	Siglo XVIII tukukuyninpiñam, rimaqtapas maskachkanmanpas hina, evolución nisqamanta yachachikuyqa pisi-pisimanta naturalistakunapa pachanpi sasachakuchkarqa.
Pero lo que le otorgó a Darwin el crédito de descubrir la selección natural fue la publicación, el 24 de noviembre de 1859, de El origen de las especies.	 Ichaqa imachus Darwinman allinpaq qhawarichirqan natural selección nisqa tarisqanmanta, chaymi karqan, 24 noviembre killapi 1859 watapi, On the Origin of Species nisqa qelqa.
Esta edición se agotó el día de aparición y, con las subsiguientes, fueron seis publicaciones en total las que se editaron en vida de Darwin.	 Kay edicionqa lloqsimusqan p’unchaypin tukukapurqan, qhepaman lloqsimuq qelqakunawan kuskataqmi Darwinpa kawsasqan tiempopi llapanpi soqta qelqakuna lloqsimurqan.
Sin embargo, lo que realmente consagró los años de estudio y reflexión fue su labor como naturalista en la expedición alrededor del mundo, a bordo del Beagle.	 Ichaqa, imachus chiqamanta sapaqcharqa chay watakunapi yachayta, yuyaymanayta ima, naturalista hina llamk’ayninmi karqan pachantinpi expedición nisqapi, Beagle nisqa barcopi.
"Tal como lo afirma en la autobiografía: ""El viaje en el Beagle ha sido el acontecimiento más importante de mi vida y el que determinó toda mi carrera""."	"Autobiografía nisqapi nisqan hina: ""Beagle nisqapi puriyqa kawsayniypi aswan importante suceso karqan, llapan carreraytataqmi determinarqan""."
El origen de las especies fue el primer relato convincente y claro acerca de la teoría de la evolución y de la selección natural.	 Origen de especies nisqa libron ñawpaq kaq convencechiq sut’i willakuy karqan evolución nisqamanta teoría nisqamanta, natural selección nisqamantawan.
La obra de Darwin estaba narrada en un lenguaje directo y coloquial, accesible a cualquier lector.	 Darwinpa llamk’ayninqa chiqan simipi, rimasqa simipi ima willasqa karqa, mayqin ñawiriqpas chayayta atinanpaq.
Una de las principales influencias en su teoría de la selección natural ha sido el clérigo y economista británico, Thomas Malthus, con su Ensayo sobre el principio de la población (1798).	Huknin hatun influenciayuqmi karqan teoría de selección natural nisqapi, chaymi karqan Gran Bretaña nacionmanta clérigo, economista, Thomas Malthus, Ensayo Concernito el Principio de la Población (1798) nisqa qelqanwan.
También se le atribuye gran importancia en la obra de Darwin al naturalista Alfred Russel Wallace (18231915), quien en su última expedición a las islas de Malasia formuló su hipótesis acerca de la selección natural.	 Darwinpa llamk'ayninpi ancha chaninchasqataqmi naturalista Alfred Russel Wallace (1823-1915) nisqamanpas, paymi qhipa puriyninpi Malasia islakunaman hipótesisninta formularqan natural akllaymanta.
En 1858, a pesar de que no se conocían, Wallace le comunicó sus ideas a Darwin, quien ya poseía una teoría similar.	 1858 watapi manaña riqsinakurqankuchu chaypas, Wallaceqa Darwinmanmi yuyaykuyninta willarqan, payqa chay hina teoría nisqayoqñan karqan.
Unos meses antes de la publicación de El origen de las especies, ambos científicos habían realizado una publicación conjunta de extractos de los manuscritos.	 On the Origin of Species nisqa libro lloqsimunanpaq iskay kinsa killakuna faltashaqtinmi iskaynin cientificokuna kuska chay qelqakunamanta horqosqakunata horqomurqanku.
"Darwin narró en su Diario de viaje algunas vivencias que lo llevaron al comienzo de una crisis religiosa; llegó a escribir: "". De hecho casi no puedo comprender cómo haya nadie que pueda desear que la doctrina cristiana sea cierta""."	 Darwinqa Diario de Viajes nisqapin willarqan wakin experienciakunata, chaykunan pusarqan religionpi sasachakuy qallarinanpaq; hinaspan qelqarqan: “Cheqaqtapuniqa manan entiendeymanchu imaynatas pipas kanman cristianokunaq yachachikuynin cheqaq kananta munaq”, nispa.
No encontraba compatible la esclavitud, sustento de la economía de la burguesía, a la que pertenecía, con la doctrina cristiana.	Payqa manan tarirqanchu esclavitudta, burguesiaq economía nisqa yanapayninta, mayqenmanmi pertenecerqan, cristiano yachachikuywan tupaqta.
"Varios años después escribió con cierto tono irónico: ""Considerando la ferocidad con que he sido tratado por los ortodoxos, parece cómico que alguna vez pensara ser clérigo""."	 Askha watakuna qhepamanmi wakin ironiawan qelqarqan: “Ortodoxo runakunaq sinchi millay tratawasqankuta qhawarispan asikunapaq hina rikch’akun hayk’aqllapas clérigo kayta yuyaykusqayqa”, nispa.
Luego de cinco años de expedición (18311836) redactó, sobre la base de los apuntes tomados a bordo, el Diario de viaje.	 Pichqa wata expedición ruwasqanmanta (18311836) qillqarqa, barcopi hapisqa notakunaman hapipakuspa, Diario de Viajes nisqa.
En 1842, después de realizar una travesía por el norte de Gales con el fin de observar los glaciares, la mala salud de Darwin se acentuó.	 1842 watapin Gales del Norte llaqtanta viajaspa chay glaciares nisqakunata qhawarqan, chaymi Darwinpa onqoynin astawan yapakurqan.
Siempre había sido hipocondríaco, pero los males comenzaban a hacerse reales.	 Payqa ñawpaqmantaraqmi hipocondría nisqa onqoyniyoq karqan, ichaqa onqoykunan cheqaqman tukupusharqan.
Renunció al cargo de Secretario de la Sociedad Geológica y buscó, junto a su prima, Emma Wedgwood -con la que se había casado en enero de 1839- un lugar retirado, en los alrededores de Londres.	 Sociedad Geológica nisqap Secretario nisqa llamk'aynintam saqirqan, primon Emma Wedgwoodwan kuska - 1839 watapi enero killapi kasarakusqan - sapallan llaqtata maskarqan, Londres llaqtap hawanpi.
Halló una casa en Down House, en las afueras de Seven Oaks, que fue su último hogar.	 Payqa Down House llaqtapin huk wasita tarirqan, Seven Oaks llaqtaq hawanpi, chay wasiqa qhepa wasinmi karqan.
Entonces mantuvo una vida apartada de los compromisos sociales y dedicó unas horas por día a ampliar aspectos de su teoría.	Chaymi payqa compromiso socialkunamanta t’aqasqa kawsayta waqaycharqan, sapa p’unchaytaq iskay kinsa horakunata dedicarqan teoría nisqanpa aspectonkunata mast’arinanpaq.
Murió el 19 de abril de 1882 de lo que luego se conoció como Mal de Chagas.	 19 ñiqin ayriway killapi 1882 watapi wañurqan, chaymantataq Chagas unquywan riqsisqa karqan.
Aunque algunos médicos, contrariando a los familiares, sostuvieron que, en realidad, la causa de su muerte fue la constante angustia.	 Wakin doctorkunaña ayllunkunaq contranpin nirqanku, cheqaqta rimaspaqa, imarayku wañusqanqa sapa kuti llakikuy kasqanmanta.
Margarita Rodríguez Acero	Margarita Rodríguez Acero
Introducción	 Qallariy
Estos hechos parecían arrojar luz sobre el origen de las especies.	 Chay willakuykunaqa, especies nisqakuna imayna paqarimusqanmantam k’ancharichiq hina karqa.
De vuelta a nuestra patria en 1837, se nos ocurrió que quizás algo podría sacarse en limpio de esta cuestión, acumulando con paciencia, para reflexionar sobre ellos, toda clase de hechos que pudieran tener alguna relación o conexión con el problema.	 1837 watapi llaqtanchisman kutispa, yuyayninchispi hamuwarqanku, ichapas kay tapukuymanta imapas sut’i rikukunman, pacienciawan huñuspa, chaypi yuyaymananapaq, tukuy imaymana hechokunata, chaykunan kanman ima relación otaq conexión chay sasachakuywan.
Después de un trabajo de cinco años, nos permitimos especular sobre el asunto, y formamos algunas cortas notas que ampliamos en 1844.	 Pichqa wata llamkasqaykumantam, chaymanta yuyaymanayta saqirqaniku, hinaspam wakin pisi qillqakunata ruwarqayku, chaykunatam 1844 watapi mastarirqayku.
Es igualmente, a nuestro entender, absurdo querer explicar la estructura de este parásito y sus relaciones con los varios seres orgánicos distintos, por los efectos de condiciones externas o de hábito, o por voluntad de la misma planta.	 Chaynallataqmi, ñuqaykupa yuyayniykuman hina, mana yuyayniyuq kay parásito nisqapa ruwayninta, imaymana imaymana ser orgánicos nisqawan ima ruwaynintapas sut’inchayta munayqa, hawa condicionkunapa utaq costumbre nisqapa efectonkunawan, utaq kikin yurapa munayninwan.
Nadie se sorprenderá de lo mucho que todavía queda por explicar con respecto al origen de las especies y variedades, si se tiene en cuenta nuestra profunda ignorancia acerca de muchos de los seres que viven en nuestro derredor.	 Manan pipas admirakunqachu maykamachus sut’inchanaraq kashan especiekunaq, variedades nisqakunaq paqarimuyninmanta, muyuriqninchispi tiyaq askha kawsaqkunata sinchita mana yachasqanchista qhawarispan.
¿Quién puede explicar por qué una especie extiende en todas direcciones sus numerosos individuos, mientras que otra aliada a la primera domina en espacio pequeño y apenas se la encuentra?	 ¿Pitaq sut’inchanman imaraykun huk especie askha sapan runanta tukuy ladoman mast’arikun, huknintaq ñawpaq kaqwan aliado huch’uy espaciollapi kamachin, manataqmi tarikunchu?
No obstante, son de mucha importancia estas relaciones, porque determinan el bienestar actual, y a nuestro modo de ver, se dirigen al futuro logro y modificación de cada uno de los habitantes de este mundo.	 Ichaqa, kay rimanakuykunaqa ancha allinmi, kunan allin kawsayta kamachisqanrayku, ñuqaykupa qawarisqaykuman hinaqa, kay pachapi sapakamapa hamuq punchawkunapi aypanankupaq, tikrakuyninmanpas dirigisqam.
Aun más; no dudamos que la selección natural ha sido el más importante, sino el exclusivo medio de modificación.	 Astawanraq; Mana iskayrayanchikchu selección natural aswan importante kasqanmanta, mana chayqa exclusivo, medio de modificación kasqanmanta.
Capítulo I	 I t’aqa I
La variación en estado doméstico	 Estado nacional nisqapi hukniray kaynin
CAUSAS DE VARIABILIDAD.	CAUSAS DE VARIABILIDAD nisqa.
Después de dedicarle al asunto mucha atención, debemos decir que, al parecer, las condiciones propias de la vida obran de dos modos: 1°, directamente sobre el conjunto de la organización o sobre ciertas partes tan sólo; 2°, indirectamente, afectando al sistema reproductivo.	Chay asuntoman anchata qawarispanchikqa, ninanchikmi, qawasqanchikman hinaqa, kawsaypa condicionninkunaqa iskay hinam ruwan: 1°, directamente organizacionpi llapanpi utaq wakin partekunallapi; 2 kaq, mana chiqanpi, mirachiq sistemata afectaspa.
Los efectos en la prole son definidos e indefinidos.	 Miraykunapi efectosninqa definitivo hinaspa mana tukukuqmi.
Puede, sin embargo, caber ligera duda sobre muchos cambios de poca monta, tales como el tamaño, a causa de la cantidad de alimento, el color motivado por la naturaleza del mismo, el espesor de la piel y del pelo causado por el clima, etc.	 Puede, sin embargo, caber ligera duda sobre muchos cambios de poca monta, tales como el tamaño, a causa de la cantidad de alimento, el color motivado por la naturaleza del mismo, el espesor de la piel y del pelo causado por el clima, hukkuna
Así, por ejemplo, cada una de las innumerables variaciones que vemos en el plumaje de nuestras aves debe de haber tenido alguna causa eficiente; y si esta tuviera que obrar uniformemente por una larga serie de generaciones en muchos individuos, todos se modificarían probablemente del mismo modo.	 Chayhinam, ejemplopaq, sapakama mana yupay atina variaciones rikusqanchik pisqunchikkunapa plumanpi ima allin causayuqchá karqa; hinaspapas sichus askha runakunapi askha miraykunapi hukllata llank’anman chayqa, llapankupas kaqllatachá cambiankuman.
Vemos variabilidad indefinida en las innumerables, aunque pequeñas peculiaridades que distingue a los individuos de la misma especie y que no pueden ser explicadas por herencia, ya sea del padre, de la madre o del antecesor más remoto.	 Rikunchismi mana tukukuq variabilidad nisqa mana yupay atina, huch’uyña kaqtinpas, peculiaridades nisqakunapi, chaykunan t’aqanku sapankata kikin especiemanta, manataqmi herenciawan sut’inchayta atikunmanchu, nitaq taytamanta, mamamanta, nitaq aswan karu ñawpaq taytamantapas.
También aparecen algunas veces, diferencias muy marcadas en los hijos del mismo parto y en las plantas procedentes de una misma cápsula de semilla.	 Wakin kutipiqa ancha riqsisqa chikanchakuykunapas rikurinmi kikin wachakuqpa mirayninpipas, chaynallataqmi kikin muhu cápsula nisqamanta yurakunapipas.
Estas variaciones de vástagos, así suelen llamarse, pueden propagarse por injertos, tallos, etcétera, y algunas veces por semilla; y aunque ocurren rara vez en la naturaleza, distan mucho de ser escasas en el cultivo.	Kay t’ikakunaq t’ikrakuyninqa, imaynan sutichasqa kasqanman hina, injertowan, saphikunawan, hukkunawan ima, wakin kutitaq muhuwan ima mirachiyta atikunman; hinaspapas naturalezapi pisillaña rikurinku chaypas, tarpuypiqa karun pisillam.
EFECTOS DEL HABITO Y DEL USO O DESUSO DE LAS PARTES.	 EFECTO DE LA HÁBITO CHANTA URAY UTAQ MANARAQ IMAYNA PARTEKUNA.
VARIACIÓN CORRELATIVA.	 VARIACIÓN CORRELADA nisqa.
HERENCIA.	 SAQISQA.
Hábitos cambiados producen efectos hereditarios, según se ve en el período de la florescencia de las plantas cuando se las transporta de un clima a otro.	 Costumbres cambiadas nisqakunaqa efectos hereditarios nisqakunatan ruwan, chaytan rikukun plantakunaq t’ikasqan tiempopi, huk climamanta huk climaman apasqa kaqtinku.
Aquí únicamente aludiremos a lo que puede, llamarse variación correlativa.	Kaypiqa variación correlativa nisqanchikmanllam rimasunchik.
Los cambios importantes del embrión o larva ocasionan probablemente los cambios del animal adulto.	 Embrión otaq larva nisqapi hatun cambiokuna kasqanqa yaqapaschá kuraq animalpi cambiokunata ruwan.
Los criadores creen que remos prolongados acompañan casi siempre a cabezas alargadas.	 Uywaqkunam piensanku suni remakunaqa yaqa sapa kutim suni umawan kuska kasqanmanta.
Algunos ejemplos de correlación son completamente caprichosos: así los gatos enteramente blancos y de ojos azules son en general sordos, lo cual sólo sucede a los machos.	 Wakin ejemplokuna correlación kaqmantaqa tukuyninpi caprichos kanku: chayrayku, tukuy yuraq chanta azul ñawiyuq misikunaqa generalmente mana uyariq kanku, chaytaq qharikunallapi pasakun.
El color y ciertas peculiaridades de estructura van unidos, como podríamos demostrarlo con muchos casos notables de animales y plantas.	 Colorwan wakin peculiaridades de estructura nisqakunan kuska purinku, chaytan rikuchisunman askha admirakuypaq casokunapi animalkunamanta plantakunamantapas.
Toda variación que no sea hereditaria carece de importancia para nosotros; pero el número y diversidad de las desviaciones de estructura que pueden transmitirse por herencia, tanto de poca como de mucha importancia fisiológica, no tiene término.	 Ima variaciónpas mana hereditario kaqqa manan imapaqpas valenchu; ichaqa manan tukukunchu hayk’a, imaymana desviaciones estructurales nisqakuna herenciawan transmitisqa kananpaq, pisilla, hatun fisiológica importanciayoq ima.
Acaso la opinión exacta sobre el asunto, en general reside en mirar a la herencia de cualquier rasgo como regla, y a la no-herencia como anomalía.	 Ichapas chay asuntomanta chiqap yuyayqa, en general, tarikun ima rasgopa herenciantapas kamachikuy hina qawaypi, mana herenciatataq anomalía hina.
Las peculiaridades que aparecen en los machos de nuestras crías domésticas, son frecuentemente transmitidas a los machos exclusivamente, y en grado mucho más elevado.	 Wasi mirayninchikpa qarikunapi rikuriq peculiaridadkunaqa sapa kutim qarikunamanlla chayachisqa, hinaspapas aswan hatun gradokama.
Sin embargo, la regla más importante en esta materia, y en la que creemos puede confiarse, es que en cualquier período de la vida en que aparece por primera vez una peculiaridad, esta tiende a reaparecer en la cría al llegar a edad correspondiente, aunque adelantándose algunas veces.	Ichaqa, kay asuntopi aswan importante kamachikuy, hinallataq creenchis confianapaq hina, chaymi ima pachapas kawsaypi huk quirk ñawpaqta rikhuriqtinqa, miraypi watiqmanta rikhurimun allin edadninpi, wakin kutipi ñawpaqman purispapas .
CARÁCTER DE LAS VARIEDADES DOMÉSTICAS; DIFICULTAD DE DISTINGUIR ENTRE VARIEDADES Y ESPECIES; ORIGEN DE LAS VARIEDADES DOMÉSTICAS DE UNA O MÁS ESPECIES.	 WASPI VARIEDADASPA CARACTERNIN; VARIEDADAS, ESPECIES nisqakunata SASACHAYKUNA; ORIGIN DE VARIEDAS DOMESTICAS DE HUK UTAQ ASWAN ESPECIES.
Las razas domésticas de la misma especie se diferencian entre sí del mismo modo que las especies muy próximas del mismo género en estado natural; pero estas diferencias son en menor número.	Kikin rikch'aq wasi ayllu ayllukunaqa huk rikch'aq ayllumanta huk rikch'aqmi hukniray kanku, imaynachus kikin rikch'aq ayllumanta qaylla ayllu rikch'aqkunapas, huk pachamamapi; ichaqa kay chikanchakuykunaqa pisi yupayllapim kachkan.
Se ha supuesto frecuentemente que el hombre ha escogido para la domesticidad animales y plantas que poseen extraordinaria e inherente tendencia a variar, así como a resistir a los diversos climas.	 Sapa kutinmi yuyakun runaqa wasi uywakunapaq akllarqan uywakunata, yurakunatapas, chaykunan kanku tendencia extraordinaria y inherente nisqa hukniray kanankupaq, hinallataq hukniray climakunata hark’anankupaq.
La poca variabilidad del asno y del ganso, o la escasa facultad del reno para sufrir el calor, o la del camello común con respecto al frío, ¿impidió acaso su domesticidad?	 ¿Asnopa, gansopa pisi variabilidadnin, utaq renokunapa ruphaywan ñakariy atiynin, utaq común camellopa chiriwan respetowan, ichapas harkarqa wasinkupi kayta?
De hechos que nos han sido comunicados por Mr.	Tayta.
Esta conclusión, al igual que la distinción específica entre el ganado común y el de joroba, puede considerarse como confirmada por las admirables investigaciones del profesor Rütiger.	 Kay tukupayqa, comunes, humped wakakunamanta específica distinción nisqa hina, profesor Rütigerpa admirable investigacionninkunawan takyachisqa hina qhawarisqa kanman.
Con respecto a caballos, por razones que aquí no podemos dar, dudosamente nos inclinamos a creer, en oposición a varios autores, que todas las razas pertenecen a la misma especie.	 Caballokunamanta rimaspaqa, kaypi mana qoyta atisqanchis razonkunaraykun iskayrayaspa creenchis, imaymana qelqaqkunaq contranpi, llapa razakuna huk especiemanta kasqankuta.
Habiendo tenido ejemplares vivos de casi todas las castas inglesas de aves de corral, habiéndoselas criado y cruzado, después de examinar sus esqueletos, nos parece casi cierto que en su totalidad descienden de la raza salvaje india Gallus bankiva.	 Yaqa llapa clase inglés wallpakunamanta kawsaq especímenes nisqakunata chaskispa, uywaspa, chimpaspa ima, ñuqaykumanqa, esqueletonkuta qawarispa, yaqa seguro hinam, llapankupiqa sallqa indio Gallus bankiva nisqamanta mirasqa kasqankumanta.
Con respecto a patos y conejos, cuyas castas varían mucho entre sí, está claramente probado que descienden respectivamente del pato y conejo salvajes.	Ankakunamanta, conejokunamanta rimaspaqa, paykunapa mirayninqa anchatam hukniraqmanta, sutillatam qawakun sallqa ankamanta, conejomanta mirasqanku.
La doctrina del origen de las varias razas domésticas de varios troncos primitivos ha sido llevada a un extremo absurdo por algunos autores que creen que toda raza origen de verdadera casta, por insignificantes que sean sus caracteres distintivos, posee prototipo salvaje.	 Imaymana llaqta irqikuna imaymana ñawpaq kaq uywakunamanta paqarimusqankumanta yachachikuyqa wakin qillqaqkunam mana yuyayniyuq extremoman apasqa, paykunam piensanku sapa chiqap miray tayta-mama-irqi, mayna mana ancha chaniyuqña sapaqchasqa kayninkuna kaptinpas, sallqa prototipoyuq kasqanpi.
Tenemos que admitir que muchas castas domésticas deben haberse originado en Europa.	 Reqsikunanchismi askha wasipi uywakuna Europamanta hamusqankuta.
Porque, ¿de dónde si no podrían haberse derivado?	 Imaraykuchus, ¿maymantataq wakmanta lluqsinkuman karqa?
Lo mismo acontece en la India, e incluso en el caso de las castas de perro doméstico esparcidas por el mundo, que con gusto admitimos, descienden de varias especies salvajes, no puede dudarse que ha habido inmensa suma de variaciones heredadas.	 India suyupipas chhaynallataqmi, teqsimuyuntinpi ch’eqesqa wasi allqokunaq rikch’ayninpipas, kusikuywanmi reqsikunchis imaymana sallqa animalkunamanta mirasqankuta, manan iskayrayasunmanchu askha herencia hina t’ikrakuy kasqanmanta.
En efecto, si las varias castas no son variedades y provienen de la paloma bravía, deberían descender de siete u ocho troncos primitivos, como mínimo, puesto que es imposible obtener las castas domésticas actuales por el cruzamiento de número menor.	Chiqapmi, imaymana uywakuna mana variedades kaptin, qaqa palomamanta hamuptinqa, qanchis utaq pusaq primitivo saphikunamantapas uraykamunanku, kunan wasipi uywakunataqa manam aswan pisi yupayta chimpaspaqa tariyta atikunmanchu.
