español	quechua
Charles Dickens	Charles Dickens sutiyuq runam
OLIVER TWIST	 OLIVER TWIST sutiyuq runa
CAPÍTULO UNO	 HUQ CAPÍTULO
LOS PRIMEROS AÑOS	 ÑAWPAQ WATAKUNA
DE OLIVER TWIST	 OLIVER TWISTPA RUWASQAN
Una fría noche de invierno, en una pequeña ciudad de Inglaterra, unos transeúntes hallaron a una joven y bella mujer tirada en la calle.	 Huk chiri chiri tuta, Inglaterra nacionpi huk llaqtachapi, chayninta pasaq runakuna callepi huk sumaq sipasta tarirqanku.
Estaba muy enferma y pronto daría a luz un bebé.	 Payqa sinchi onqosqa kashaspan pisi tiempollamanta wawata wachakunan karqan.
Como no tenía dinero, la llevaron al hospicio, una institución regentada por la junta parroquial de la ciudad que daba cobijo a los necesitados.	 Mana qolqeyoq kasqanraykun hospicio nisqaman aparqanku, chay institucionqa llaqtapi consejo parroquial nisqapa purichisqanmi, chaymi necesitaqkunaman pakakuna wasita qoq.
AE día siguiente nació su hijo y, poco después, murió ella sin que nadie supiera quién era ni de dónde venía.	 Paqaristinmi churin nacerqan, chaymanta pisi tiempollamantataq wañupurqan mana pipas yachaspa pi kasqanmanta nitaq maymanta hamusqanmantapas.
Al niño lo llamaron Oliver Twist.	 Chay waynata suticharqanku Oliver Twist nispa.
En aquel hospicio pasó Oliver los diez primeros meses de su vida.	 Oliverqa chay hospiciopim kawsakuyninpa chunka killankunata pasarqa.
Transcurrido este tiempo, la junta parroquial lo envió a otro centro situado fuera de la ciudad donde vivían veinte o treinta huérfanos más.	 Kay pacha tukukuptinqa, vestrilloqa huk centromanmi kacharqa, chayqa karqa llaqtapa hawanpi, chaypim iskay chunka utaq kimsa chunka huk mana tayta-mamayuq wawakuna yacharqaku.
Los pobrecillos estaban sometidos a la crueldad de la señora Mann, una mujer cuya avaricia la llevaba a apropiarse del dinero que la parroquia destinaba a cada niño para su manutención.	Wakchakunataqa señora Mannpa millay millay ruwayninmanmi churarqanku, chay warmiq munapayasqanraykun parroquia sapa wawaman qosqan qolqeta apropiarqan mantenimientonkupaq.
De modo, que aquellas indefensas criaturas pasaban mucha hambre, y la mayoría enfermaba de privación y frío.	 Chaymi kay mana ima ruway atiq kawsaqkunaqa sinchi yarqasqa karqanku, yaqa llapankutaqmi mana imayoq kaspa, chiriwan onqorqanku.
El día de su noveno cumpleaños, Oliver se encontraba encerrado en la carbonera con otros dos compañeros.	 Isqun wata hunt’asqan p’unchaypin Oliverqa iskay compañeronkunawan kuska q’umir bodegapi wisq’asqa kasharqan.
Los tres habían sido castigados por haber cometido el imperdonable pecado de decir que tenían hambre.	 Kimsantinkum castigasqa karqaku yarqasqa kani nispanku mana pampachanapaq huchankumanta.
El señor Blumble, celador de la parroquia, se presentó de forma imprevista, hecho que sobresaltó a la señora Mann.	 Señor Blumble, parroquiapi guardia, qonqaylla rikhurimurqan, chaymi señora Mannta musphachirqan.
El hombre tenía por costumbre anunciar su visita con antelación, tiempo que la señora Mann aprovechaba para limpiar la casa y asear a los niños, ocultando así las malas condiciones en las que vivían los pobres muchachos.	 Chay runaq costumbrenqa karqan watukamusqanmanta ñawpaqmantaraqmi willakuq, chay tiempotan señora Mann aprovecharqan wasita pichananpaq, wawakunatapas pichananpaq, chhaynapin pakarqan wakcha qhari wawakunaq mana allin kasqankuta.
¡Dios mio!	 ¡Diosniy!
¿Es usted, señor Bumble?	 ¿Chaychu kanki señor Bumble?
exclamó horrorizada la señora Mann.	 nispas mancharisqa señora Mannqa qaparirqa.
Y, dirigién se en voz baja a la criada, ordenó:	Hinaspa, pisi kunkawan sirvientaman rimapayaspa, kamachirqa:
Susan, sube a esos tres mocosos de la carbonera y lávalos inmediatamente.	 Susan, chay kimsa bratkunata tenderpi hoqarispa chaylla mayllakuy.
Vengo a llevarme a Oliver Twist dijo el celador.	 Oliver Twistta pusaqmi hamurqani, nispas ordenadoqa nisqa.
Hoy cumple nueve años y ya es mayor para permanecer aquí.	 Kunanqa isqun watayuqña, ancha machuña kaypi qhipakunanpaq.
Ahora mismo lo traigo dijo la señora Mann saliendo de la habitación.	 Kunanpacha apamusaq, nispas señora Mannqa cuartomanta lloqsispa nisqa.
Oliver llegó ante el señor Bumble limpio y peinado; nadie hubiera dicho que era el mismo muchacho que poco antes estaba cubierto de suciedad.	 Oliverqa chayamusqa manaraq tayta Bumble ch’uyata peinaspa; mana pipas adivinanmanchu karqan chay kikin waynacha kasqanmanta, payqa huk rato ñawpaqtaraqmi hallp’awan qatasqa karqan.
Al poco rato, el celador y el niño abandonaban juntos el miserable lugar	 Huk ratomanta, guardiawan waynawan kuska chay llakisqa cheqasmanta lloqsirqanku.
Oliver miró por última vez hacia atrás; a pesar de que allí nunca había recibido un gesto cariñoso ni una palabra bondadosa, una fuerte congoja se apoderó de él.	 Oliverqa huk qhepa kutitan qhepaman qhawarirqan; Manaña hayk’aqpas chaypi munakuywan rimayta chaskirqanchu nitaq sumaq simitapas chaskirqanchu chaypas, sinchi llakikuymi hap’ikapurqan.
“¿Cuándo volveré a ver a los únicos amigos que he tenido nunca?”, se preguntó.	 -Hayk’aqmi hukmanta rikusaq sapallan amigoykunata, nispas tapukurqan.
Y, por primera vez en su vida, sintió el niño la sensación de su soledad.	 Hinaspa, kawsayninpi ñawpaq kutita, chay waynaqa sapallan kayninta sienterqan.
Nada más llegar al nuevo hospicio, Oliver fue llevado ante la junta parroquial y allí, el señor Limbkins, que era el director, se dirigió a él.	Chay mosoq llank’ana wasiman chayamuqtin hinan Oliverta vestritoq ñawpaqenman apamurqanku, chaypin tayta Limbkins payta rimapayarqan, payqa directormi karqan.
¿Cómo te llamas, muchacho?	 Imataq sutiyki, warma?
Oliver, asustado, no contestó; de repente, sintió un fuerte pescozón que le hizo echarse a llorar, había sido el celador que se encontraba detrás de él.	 Oliverqa mancharisqa, mana kutichisqachu; qunqayllamanta, sinchi laq’ayta sientesqa, chaymi waqachisqa, qhipanpi guardia kasqa.
Este chico es tonto dijo un señor de chaleco blanco.	 Kay waynaqa sonso, nispas nin yuraq chalecoyuq wiraqocha.
¡Chist!	 ¡Shh!
ordenó el primero.	 nispas ñawpaq kaq kamachirqan.
Y, dirigiéndose a Oliver, dijo: Hasta ahora, la parroquia te ha criado y mantenido, ¿verdad?	 Hinaspa, Oliverman kutirispa nisqa: Kunankamaqa parroquia uywasunki, yanapasunki ima, ¿icharí?
Bien, pues ya es hora de que hagas algo útil.	 Bueno, yaqañam tiempoña imapas allin ruwanaykipaq.
Estás aquí para aprender un oficio.	 Qamqa kaypi kachkanki huk llamkayta yachanaykipaq.
¿Entendido?	 Hamutasqa?
Sí, señorcontestó Oliver entre sollozos.	 Arí, wiraqocha, Oliverqa waqay chawpipi kutichisqa.
En el hospicio, el hambre seguía atormentando a Oliver y a sus compañeros: sólo les daban un cacillo de gachas al día, excepto los días de fiesta en que recibían, además de las gachas, un trocito de pan.	 Hospiciopiqa yarqayqa Olivertapas compañeronkunatapas ñak’arichishallarqanmi: sapa p’unchaymi huk cuchara gaseosallata qoqku, ichaqa fiestakunapin chaskiqku, gaseosamanta hawa, huk huch’uy t’antata.
Al cabo de tres meses, los chicos decidieron cometer la osadía de pedir más comida y, tras echarlo a suertes, le tocó a Oliver hacerlo.	Kimsa killamanta, qhari wawakunaqa aswan mikhunata mañakuyta atrevikunankupaq yuyaykurqanku, sorteasqanku qhepamantaq Oliverpa turnon karqan chayta ruwananpaq.
Aquella noche, después de cenar, Oliver se levantó de la mesa, se acercó al director y dijo:	 Chay tutan cena qhepaman Oliverqa mesamanta hatarispa directorman asuykuspan nirqan:
Por favor, señor, quiero un poco más.	 Ama hina kaspa, wiraqocha, aswantaraqmi munani.
¿Qué?	 Ima?
preguntó el señor Limbkins muy enfadado.	 nispa tapusqa tayta Limbkins phiñasqa.
Por favor, señor, quiero un poco más repitió el muchacho.	 Ama hina kaspa, wiraqocha, aswan pisillata munani, nispas waynaqa yapamanta nisqa.
El chico fue encerrado durante una semana en un cuarto frío y oscuro; allí pasó los días y las noches llorando amargamente.	 Chay waynataqa huk semanan chiri, tutayaq cuartopi wisq’arqanku; chaypiqa tutantinmi sinchita waqaq.
Sólo se le permitía salir para ser azotado en el comedor delante de todos sus compañeros.	 Llapa compañeronkunaq ñawpaqenpin mikhuna wasipi laq’asqalla lloqsinanpaq saqeqku.
El caso del “insolente muchacho” fue llevado a la junta parroquial; ésta decidió poner un cartel en la puerta del hospicio ofreciend c¡nco libras a quien aceptara hacerse cargo de Oliver.	" Chay ""insolente waynapa"" casonmi vestriaman apasqa karqan; Payqa tantearurqam hospiciopa punkunpi huk letrerota churananpaq, chaypim Oliverta cuidananpaq arí niqman pichqa librata quykurqa."
El señor Gamfield era un hombre de rasgos groseros y gestos rudos, deshollinador de profesión.	 Señor Gamfieldqa q’omer rikch’ayniyoq, mana respetoyoq runan karqan, llank’ayninpiqa chimenea barreqmi karqan.
Una mañana iba paseando por la calle, pensaba cómo podría pagar sus deudas; al pasar frente al hospicio, sus ojos se clavaron en el cartel recién colocado.	Huk punchawmi paqarin callepi purichkasqa, imaynatam manukuyninta pagananpaq piensaspan; Hospiciota pasashaqtinmi ñawinqa chayraq churasqa letreroman urmaykurqan.
¡Sooo!	 ¡Waw!
ordenó el señor Gamfield azotando a su burro.	 nispas tayta Gamfieldqa asnonta laq’aykusqa.
El hombre del chaleco blanco estaba en la puerta, y al momento entendió que Gamfield era el tipo de amo que le hacía falta a Oliver; de modo que fue a llamar al señor Limbkins.	 Yuraq chalecoyuq runaqa punkupi kachkasqa, chaylla yachasqa Gamfieldqa Oliverpa necesitasqan clase maestro kasqanmanta; chaymi tayta Limbkinsta waqyaq rirqan.
Éste salió inmediatamente y, al ver el interés que manifestaba el deshollinador por el muchacho, se frotó las manos y dijo con aire apesadumbrado:	 Kay qhipa kaqtaq chaylla lluqsirqa, chimenea barreqpa chay waynapi interesakuyninta rikuspa, makinta maqchikuspa, llakisqa nirqa:
Usted quiere al chico para realizar un oficio peligroso; así que cinco libras nos parece mucho dinero.	 Munankim chay warmacha peligroso negocio ruwananta; chaymi pichqa libraqa achka qullqiman rikchakuwanchik.
Entonces, ¿cuánto me darán si me lo quedo?	 Chhaynaqa, ¿hayk’atataq qowanqaku waqaychaqtiyqa?
preguntó Gamfield.	 nispas Gamfieldqa tapusqa.
Tres libras y diez chelines contestó el director.	 Kimsa libra chunka shilling, nispas kutichisqa kamachiqqa.
No seas tonto dijo el señor del chaleco blanco, llévatelo.	 Ama sonso kaychu, nispas nin yuraq chalecoyuq runaqa, apakuy.
Es exactamente el muchacho que necesitas.	 Payqa necesitasqayki waynapunin.
Unos cuantos palos le vendrán bien y no te preocupes por su manutención: no está acostumbrado a llenar su estómago, ¡ja, ja, ja!	Iskay kimsa k’aspikuna allinta ruwanqa, amataq llakikuychu waqaychananmanta: manan yachasqachu wiksan hunt’achiyta, ha ha ha!
El trato quedó inmediatamente cerrado.	 Chay acuerdotaqa chayllam wichqarqaku.
A continuación, se ordenó al señor Bumble que llevara aquella misma tarde a OI¡ver ante el juez para que aprobara y firmara el contrato.	 Chaymantam tayta Bumbleta kamachirqaku chay tardellapi Oliverta magistradoman pusananpaq, chaynapi contratota aprobananpaq hinaspa firmananpaq.
El magistrado se encontraba en una estancia enorme sentado detrás de un escitorio.	 Magistradoqa huk hatun cuartopin kashasqa, huk escritorio qhepapi tiyashasqa.
Bumble colocó a Oliver frente a él y dijo:	 Bumbleqa Oliverta ñawpaqenman churaspa nirqan:
Éste es el muchacho, señoría.	 Kaymi wayna, Honorniyki.
El anciano se puso las gafas y sus ojos toparon con el rostro pálido y aterrorizado de Oliver.	 Chay machuchaqa lentesninta churakurqa hinaspa ñawinkuna Oliverpa llimp’i, mancharisqa uyawan tuparqa.
¡Muchachito!	 ¡Uchuy warmacha!
dijo el anciano.	 nispas machuchaqa nisqa.
¿Por qué estás asustado?	 ¿Imanasqataq mancharisqa kachkanki?
Oliver, desconcertado por el tono suave y benévolo del juez, cayó de rodillas y, juntando las manos, suplicó:	 Oliverqa, juezpa llamp’u, sumaq sonqo rimasqanwan admirasqa, qonqoriykukuspa, makinta hap’ispa, valekurqan:
¡Por favor, señor!	 Ama hina kaspa wiraqocha!
Mándeme al cuarto oscuro.  máteme de hambre si quiere. ; pero no me obligue a it con este hombre.	 Tutayaq cuartoman kachaway. munaspaqa yarqachiway. ; ichaqa ama kay runawanqa ruwachiwaychu, nispa.
Tras unos instantes de silencio, el juez dijo en tono solemne:	 Iskay kinsa rato ch’inlla kasqan qhepamanmi juezqa solemne tonowan nirqan:
Me niego a firmar este contrato.	Kay contratota mana firmayta munanichu.
Llévese al muchacho de nuevo al hospicio, y trátelo bien.	 Llank’ana wasiman kutiy waynata, hinaspa allinta tratay.
