español	quechua
CUENTOS	WILLAKUYKUNA
Charles Perrault	 Charles Perrault sutiyuq runa
LA CENICIENTA	 LA CINDERELLA
Había una vez un gentilhombre que se casó en segundas nupcias con una mujer, la más altanera y orgullosa que jamás se haya visto.	 Huk kutinmi karqan huk wiraqocha iskay kaq kutita casarakuq warmiwan, aswan hatunchakuq, aswan hatunchakuqmi, manan hayk’aqpas rikukurqanchu.
Tenía dos hijas por el estilo y que se le parecían en todo.	 Chayna iskay warmi churinkunam karqa, tukuy imapipas payman rikchakuqmi.
El marido, por su lado, tenía una hija, pero de una dulzura y bondad sin par; lo había heredado de su madre que era la mejor persona del mundo.	 Qosataqmi ichaqa ususiyoq karqan, ichaqa mana tupachiy atina misk’i, sumaq sonqo; chaytaqa herenciata hina chaskisqa mamanmanta, payqa kay pachapi aswan allin runan karqan.
Junto con realizarse la boda, la madrastra dio libre curso a su mal carácter; no pudo soportar las cualidades de la joven, que hacían aparecer todavía más odiables a sus hijas.	 Casarakuywan kuskataqmi madrastraqa mana allin phiñakuyninta libreta qorqan; manataqmi sipaspa sumaq kayninkunata aguantayta atirqachu, chaymi ususinkunaqa aswan chiqnikuq hina rikurirurqa.
La obligó a las más viles tareas de la casa: ella era la que fregaba los pisos y la vajilla, la que limpiaba los cuartos de la señora y de las señoritas sus hijas; dormía en lo más alto de la casa, en una buhardilla, sobre una mísera pallasa, mientras sus hermanas ocupaban habitaciones con parquet, donde tenían camas a la última moda y espejos en que podían mirarse de cuerpo entero.	 Wasipi aswan millay ruwaykunata ruwananpaqmi obligasqa: paymi pampakunata, platokunatapas mayllaq, señorapa, señorakunapa, ususinkunapa cuartonkunata pichaq; payqa wasi patapin puñuq, huk ático nisqapi, huk llakisqa pallasa nisqapi, ñañankunataq parquet nisqawan ruwasqa cuartokunata hap’iqku, chaypin camakuna, espejokuna ima karqan, chaykunapin tukuy sayayta qhawarikuqku.
La pobre muchacha aguantaba todo con paciencia, y no se atrevía a quejarse ante su padre, de miedo que le reprendiera pues su mujer lo dominaba por completo.	Wakcha sipasqa pacienciawanmi tukuy imata aguantarqa, manataqmi taytanman quejakuyta atrevikurqachu, warmin tukuy imapi kamachikusqanrayku anyananta manchakuspan.
Cuando terminaba sus quehaceres, se instalaba en el rincón de la chimenea, sentándose sobre las cenizas, lo que le había merecido el apodo de Culocenizón.	 Llamk’ayninta tukuspataq nina rawray k’uchupi tiyaq, uspha patapi tiyaspa, chaymi Cinderbottom sutiwan sutichasqa karqan.
La menor, que no era tan mala como la mayor, la llamaba Cenicienta; sin embargo Cenicienta, con sus míseras ropas, no dejaba de ser cien veces más hermosa que sus hermanas que andaban tan ricamente vestidas.	 Sullk’ataq, mana kuraq runajina millaychu, Cenicienta nispa suticharqa; chaywanpas Cenicienta, llaki p’achanwan, manan saqerqanchu pachak kuti aswan sumaq kayninta, ancha qhapaq p’achasqa ñañankunamantaqa.
Sucedió que el hijo del rey dio un baile al que invitó a todas las personas distinguidas; nuestras dos señoritas también fueron invitadas, pues tenían mucho nombre en la comarca.	 Pasaqmi reypa churin huk pelotata qosqa, chaymanmi llapa allin qhawarisqa runakunata mink’akurqan; iskay sipasniykutapas mink’arqankun, chay suyupi hatun sutiyoq kasqankurayku.
Helas aquí muy satisfechas y preocupadas de elegir los trajes y peinados que mejor les sentaran; nuevo trabajo para Cenicienta pues era ella quien planchaba la ropa de sus hermanas y plisaba los adornos de sus vestidos.	 Kaypin kashanku, ancha kusisqa, llakisqa ima p’achakunata, chukchankuta akllanankupaq, paykunaman aswan allin tupaq; musuq llamkay Cenicientapaq, paymi ñañankunapa pachankunata planchaq hinaspa pachankupi adornokunata pliegueq kasqanrayku.
No se hablaba más que de la forma en que irían trajeadas.	 Imayna p’achasqa kanankumantaqa manan aswan rimayqa karqanchu.
Yo, dijo la mayor, me pondré mi vestido de terciopelo rojo y mis adornos de Inglaterra.	Ñuqa, nispas kuraqqa, puka terciopelo p’achayta, Inglaterramanta adornoykunata churakusaq.
Yo, dijo la menor, iré con mi falda sencilla; pero en cambio, me pondré mi abrigo con flores de oro y mi prendedor de brillantes, que no pasarán desapercibidos.	 Ñuqa, nispas sullkaqa, sasan faldaywan risaq; aswanpas qori t’ikakunawan, diamante brocheywan ima punchuyta churakusaq, chaykunaqa manan mana reparasqachu kanqa.
Manos expertas se encargaron de armar los peinados de dos pisos y se compraron lunares postizos.	 Yachaysapa makikunam iskay altosniyuq chukchakunata huñunankupaq encargakurqaku hinaspam llulla topokunata rantirqaku.
Llamaron a Cenicienta para pedirle su opinión, pues tenía buen gusto.	 Cenicienta waqyarqanku yuyaykuyninta tapunankupaq, allin gustoyoq kasqanrayku.
Cenicienta las aconsejó lo mejor posible, y se ofreció incluso para arreglarles el peinado, lo que aceptaron.	 Cenicientaqa atisqankuman hinan paykunata yuyaycharqan, chukchankutapas allichananpaqraqmi nirqan, chaytan paykunaqa chaskirqanku.
Mientras las peinaba, ellas le decían:	 Chukchankuta peinachkaptinkum, nirqaku:
Cenicienta, ¿te gustaría ir al baile?	 Cenicienta, ¿munawaqchu pelotaman riyta?
Ay, señoritas, os estáis burlando, eso no es cosa para mí.	 Ay, señoras, asikushankichis, chayqa manan imapaschu ñoqapaqqa.
Tienes razón, se reirían bastante si vieran a un Culocenizón entrar al baile.	 Allintam ninki, allintam asikunkuman huk Cenicienta pelotaman puriqta qawaspankuqa.
Otra que Cenicienta las habría arreglado mal los cabellos, pero ella era buena y las peinó con toda perfección.	 Cenicientamanta hukqa chukchanta mana allintachu allichanman karqan, ichaqa allinmi karqan hinaspan allinta estilocharqan.
Tan contentas estaban que pasaron cerca de dos días sin comer.	 Ancha kusisqa kaspankum yaqa iskay punchaw mana mikurqaku.
Más de doce cordones rompieron a fuerza de apretarlos para que el talle se les viera más fino, y se lo pasaban delante del espejo.	Chunka iskayniyuq masnin cordonkunam kallpawan ñitiykuspanku pakikururqaku, chaynapi cinturan aswan llañullaña qawakunanpaq, chaymi espejopa ñawpaqenpi pasachirqaku.
Finalmente, llegó el día feliz; partieron y Cenicienta las siguió con los ojos y cuando las perdió de vista se puso a llorar.	 Tukuyninpiqa, kusisqa p’unchaw chayamurqa; ripurqanku hinaspa Cenicienta ñawinwan qatipasqa hinaspa mana rikusqa kaptinku waqayta qallaykurqa.
Su madrina, que la vio anegada en lágrimas, le preguntó qué le pasaba.	 Madrinanmi waqachkaqta qawaspan tapurqa ima pasasqanmanta.
Me gustaría.  me gustaría.	 Munaymanmi. Munaymanmi.
Lloraba tanto que no pudo terminar.	 Anchata waqachkasqa, mana tukuchiyta atispa.
Su madrina, que era un hada, le dijo:	 Madrinan, payqa hada karqan, payta nirqan:
¿Te gustaría ir al baile, no es cierto?	 Tusuyman riyta munanki, ¿icharí?
¡Ay, sí!, dijo Cenicienta suspirando.	 ¡Ay arí!, nispas Cenicientaqa suspiran.
¡Bueno, te portarás bien!, dijo su madrina, yo te haré ir.	 Bueno, allinta comportakunki!, nispas madrinanqa, pusasqayki.
La llevó a su cuarto y le dijo:	 Cuartonman pusaspataq nirqan:
Ve al jardín y tráeme un zapallo.	 Huertaman rispa huk calabazata apamuway.
Cenicienta fue en el acto a coger el mejor que encontró y lo llevó a su madrina, sin poder adivinar cómo este zapallo podría hacerla ir al baile.	 Cenicientaqa chaylla rirqa aswan allin tarisqankunata hapinanpaq hinaspam madrinanman aparqa, mana adivinayta atispan imaynatam kay calabaza tusuyman rinanpaq tanqanman.
Su madrina lo vació y dejándole solamente la cáscara, lo tocó con su varita mágica e instantáneamente el zapallo se convirtió en un bello carruaje todo dorado.	Madrinanmi ch’usaqyachirqan, hinaspan qaranllata saqespa, magia varitanwan llamiykurqan, chay ratopin chay calabazaqa sumaq qori carroman tukupurqan.
En seguida miró dentro de la ratonera donde encontró seis ratas vivas.	 Chayllam chuspikunapa hapina ukunta qawarirqa chaypim soqta kawsaq ratakunata tarirurqa.
Le dijo a Cenicienta que levantara un poco la puerta de la trampa, y a cada rata que salía le daba un golpe con la varita, y la rata quedaba automáticamente transformada en un brioso caballo; lo que hizo un tiro de seis caballos de un hermoso color gris ratón.	 Cenicienta nisqa trampa punkuta aslla hoqarinanpaq, sapa rata lluqsimuqtintaq varanwan huk laq’aykusqa, chaymi rataqa kikillanmanta espiritual caballoman tukusqa; chaymi huk equipota ruwarqan soqta caballokunamanta, sumaq sitón gris colorniyoq.
Como no encontraba con qué hacer un cochero:	 Mana tarirqanichu imawanchus huk cocherota ruwasaq:
Voy a ver, dijo Cenicienta, si hay algún ratón en la trampa, para hacer un cochero.	 Qawasaqmi, nispas Cenicientaqa, sichus ima siwipas kanman chay trampapi, carrota ruwanaypaq.
Tienes razón, dijo su madrina, anda a ver.	 Allintam ninki, nispas madrinan, riy qawaq.
Cenicienta le llevó la trampa donde había tres ratones gordos.	 Cenicienta apamusqa chay trampata maypichus kimsa wira chupakuna karqanku.
El hada eligió uno por su imponente barba, y habiéndolo tocado quedó convertido en un cochero gordo con un precioso bigote.	 Hadaqa hukta akllarqan hatun barba kasqanrayku, llamiykuspantaq wira cocheroman tukusqa, sumaq bigoteyoq.
En seguida, ella le dijo:	 Chayllam payta nirqa:
Baja al jardín, encontrarás seis lagartos detrás de la regadera; tráemelos.	Huertaman uraykamuy, duchapa qipanpi suqta chuspikunata tarinki; chaykunata apamuway
Tan pronto los trajo, la madrina los trocó en seis lacayos que se subieron en seguida a la parte posterior del carruaje, con sus trajes galoneados, sujetándose a él como si en su vida hubieran hecho otra cosa.	 Chaykunata apamusqan qhepallamanmi madrinaqa soqta chaki puriqkunaman tukuchirqan, paykunan kaq rato carroq qhepanman seqarqanku, trenzasqa trajenkuwan, chayman k’askakuspa, manapas hayk’aqpas kawsayninkupi imatapas ruwarqankuchu hina.
El hada dijo entonces a Cenicienta:	 Hinaptinmi chay hadaqa Cenicienta nisqa:
Bueno, aquí tienes para ir al baile, ¿no estás bien aperada?	 Bueno, kaypi tusuyman rinki, ¿manachu allinta aperasqa kanki?
Es cierto, pero, ¿podré ir así, con estos vestidos tan feos?	 Chiqapmi, ichaqa, ¿kayhinatachu riyman, kay millay pachakunawan?
