español	quechua
Emilio Zola	Emilio Zola sutiyuq runa
Yo Acuso	 Huchachani
La verdad en marcha	 purishaq cheqaq kaqta
Nota sobre el caso Dreyfus	 Dreyfus asuntomanta willakuy
El riesgo de escándalo es más preocupante que la propia filtración; había, pues, que encontrar a un culpable.	 Escándalo nisqa riesgoqa aswan llakikuypaqmi, kikin fuga nisqamantaqa; chayraykun huk huchayoq runata tarinanku karqan.
Basándose en el escrito, los expertos comparan letras de los oficiales del Estado Mayor y concluyen que el capitán Alfred Dreyfus, de treinta y cinco años, judío y alsaciano, es su autor.	 Chay qillqasqaman hinam yachaqkuna tupachinku Estado Mayorpa oficialninkunapa cartankunata, hinaspam tukunku Capitán Alfred Dreyfus, kimsa chunka pichqayuq watayuq, judío hinaspa alsaciano, paypa qillqaqnin kasqanmanta.
El 15 de octubre de ese año Dreyfus es arrestado, juzgado por un consejo de guerra y declarado culpable de alta traición.	 Chay watapi 15 octubre killapin Dreyfusta hap’irqanku, tribunal militarpi juzgarqanku, hinaspan huchachasqaku hatun traicionmanta.
Pese a las declaraciones de inocencia del acusado (declaraciones que no se hacen públicas), se condena a Dreyfus a la degradación militar (enero de 1895) y a cumplir cadena perpetua en la isla del Diablo, en la Guayana francesa.	Huchachasqa runa mana huchayoq kasqanmanta willaptinpas (mana llapa runaman willasqa willakuy), Dreyfusta sentenciasqa kan militarkunapa pisichananpaq (1895 watapi enero killapi) hinaspa wiñaypaq carcelpi wisq’asqa kananpaq Guyana Francesa nacionpi Saqra islapi.
Durante el juicio, el general Mercier, ministro de la Guerra, expresa sus convicciones a la prensa y comunica al tribunal que existen pruebas «abrumadoras» de la culpabilidad de Dreyfus, pruebas que no puede mostrar porque pondrían en peligro la seguridad de la nación.	 Juicio ruwakushaqtinmi, general Mercier, Guerra ministro, prensaman condenasqanta willan, hinaspan tribunalman willan Dreyfuspa huchanmanta “aswan hatun” pruebakuna kasqanmanta, pruebakunatan mana rikuchiyta atinchu, chaymi nacionpa seguridadninta peligroman churanman.
Hasta ese momento, nadie duda de la existencia de dichas pruebas.	 Chaykamaqa manam pipas iskayrayanchu chayna pruebakuna kasqanmantaqa.
Únicamente la familia de Dreyfus, convencida de su inocencia, habla de error judicial y busca apoyos entre los politicos y la prensa para conseguir la revision del juicio.	 Dreyfuspa ayllullanmi, mana huchayoq kasqanmanta convencisqa, juezkunaq pantasqanmanta rimanku, hinaspan maskhanku políticokunaq, prensakunaq yanapayninta, chhaynapi juicio qhawarisqa kananpaq.
La letra de Esterhazy, que se parece a la de Dreyfus, es, sorprendentemente, muy similar a la del famoso escrito.	 Esterhazypa makinwan qillqasqanqa, Dreyfuspa qillqasqanman rikchakuqmi, admirakuypaqmi ancha rikchakun chay riqsisqa qillqasqaman.
Picquart informa a sus superiores y expresa su convicción de que fue un error atribuir el escrito a Dreyfus.	 Picquartqa umalliqninkunamanmi willan, hinaspan convencikusqanmanta willakun chay qelqata Dreyfuspa qelqasqanmanta nisqankuqa pantasqa kasqanmanta.
El Estado Mayor destina a Picquart a la frontera del este y, posteriormente, a Túnez.	 Estado Mayor nisqa Picquart llaqtata inti lluqsimuy ladupi churarqan, qhipamantaq Túnez suyuman.
Los tribunales militares, dominados por camarillas de extrema derecha y antisemitas, se niegan a revisar el caso Dreyfus y tratan de sofocar el escándalo, pero no logran evitar que algunos rumores alerten a personalidades de la izquierda.	 Militar tribunalkuna, extrema derecha, antisemita cliquekuna kamachisqa, mana munankuchu Dreyfus casota qhawayta, chaymanta chay escándalo chinkachiyta munanku, ichaqa manan atinkuchu hark'ayta wakin rimaykunata lloq'e ladomanta personalidadkunata alertanankupaq.
En 1897  - con la ayuda del periodista Bernard Lazare, del senador ScheurerKestner y del diputado Joseph Reinach - , Mathieu Dreyfus, hermano de Alfred, promueve una campaña en Le Figaro para exigir que se investigue a Esterhazy y se revise el juicio de 1894.	1897 watapi - Bernard Lazare willakuqpa, Scheurer-Kestner senadorpa, Joseph Reinach diputadopa yanapayninwan - Alfredpa wawqin Mathieu Dreyfus Le Figaro llaqtapi huk kampañata kallpacharqan, Esterhazy investigasqa kananpaq, 1894 watapi juicio qhawarisqa kananpaq.
La extrema derecha reacciona de inmediato.	 Extremo derecha nisqataqmi chaylla imatapas ruwan.
