español	quechua
Fedor Dostoiewski	Fedor Dostoevsky sutiyuq runa
NOCHES BLANCAS	 YURAQ TUTAKUNA
Novela sentimental (Recuerdos de un soñador)	 Novela sentimental (Musquqpa yuyariynin) .
¿O fue creado para estar siquiera un momento en las cercanías de tu corazón?	 Icha, ¿huk ratullapas sonqoykiq qayllanpi kananpaqchu kamasqa karqan?
I. TURGENEV	 I. Turgenev sutiyuq runa
Noche primera	 Debut nisqa
Era una noche maravillosa, una de esas noches, amable lector, que quizá sólo existen en nuestros años mozos.	 Admirakuypaq tutam karqa, chay tutakunamanta hukninmi, kuyasqay ñawinchaq, chaykunaqa ichapas wayna-sipas kayninchikpiraq kachkan.
El cielo estaba tan estrellado, tan luminoso, que mirándolo no podía uno menos de preguntarse: ¿pero es posible que bajo un cielo como éste pueda vivir tanta gente atrabiliaria y caprichosa?	 Hanaq pachaqa ancha ch’askayoqmi karqan, ancha k’anchariqmi karqan, chaymi qhawarispaqa mana tapukuyta atirqanchu: ichaqa, ¿atikunmanchu kay hina hanaq pachaq uranpi askha millay, caprichoso runakuna kawsankuman?
Ésta, amable lector, es también una pregunta de los años mozos, muy de los años mozos, pero Dios quiera que te la hagas a menudo.	 Kayqa, sumaq sonqo ñawinchaq, wayna watakunamantapas tapukuymi, ancha wayna watakunamanta, ichaqa Dios qochun sapa kuti tapukunaykita.
Hablando de gente atrabiliaria y por varios motivos caprichosa, debo recordar mi buena conducta durante todo ese día.	 Sasachakuyniyuq runakunamanta, imaymana razonkunarayku caprichoso runakunamanta rimaspaqa, yuyarinaymi chay punchaw tukuypi allin ruwasqayta.
Ya desde la mañana me atormentaba una extraña melancolía.	 Tutamantapachan huk mana reqsisqa llakikuywan ñak’arichiwarqan.
Me pareció de pronto que a mí, hombre solitario, me abandonaba todo el mundo que todos me rehuían.	 Qunqayllamantam rikchakuwarqa llapallanku saqiruwawaqniy, sapallay runa, llapallanku karunchawasqankuman hina.
Claro que tienes derecho a preguntar: ¿y quiénes son esos «todos»?	"Ciertamente derechoyoqmi kanki tapunaykipaq: hinaspa pikunataq kay ""llapa runa""?"
Porque hace ya ocho años que vivo en Petersburgo y no he podido trabar conocimiento con nadie.	 Imaraykuchus kunanqa pusaq watañan Petersburgo llaqtapi tiyashani, manataqmi piwanpas reqsiyta atirqanichu.
¿Pero qué falta me hace conocer a gente alguna?	 Ichaqa, ¿imatam necesitasaq wakin runakunawan tupanaypaq?
Porque aun sin ella, a mí todo Petersburgo me es conocido.	 Imaraykuchus mana paywan kachkaspapas, lliw Petersburgo llaqtata riqsini.
He aquí por qué me pareció que todos me abandonaban cuando Petersburgo entero se levantó y salió acto seguido para el campo.	 Chayraykun llapa runakuna saqerpariwaq hina rikch’akurqan, llapan Petersburgo llaqta hatarispa chay ratolla chakraman lloqsipuqtin.
Fue horrible quedarme solo.	 Sapalla saqisqa kayqa manchakuypaqmi karqa.
Durante tres días enteros recorrí la ciudad dominado por una profunda angustia, sin darme clara cuenta de lo que me pasaba.	 Kimsa p’unchaw hunt’a llaqtanta purirqani sinchi llakikuywan kamachisqa, mana sut’itachu repararqani imachus pasawasqanmanta.
Fui a la perspectiva Nevski, fui a los jardines, me paseé por los muelles; pues bien, no vi ni una sola de las personas que solía encontrar durante el año en tal o cual lugar, a esta o aquella hora.	 Nevsky Prospect nisqaman rirqani, huertakunaman rirqani, muellekunapi purirqani; Bueno, manan huktapas rikurqanichu watapi tupasqay runakunata kay hina cheqaspi, kay horapi otaq chay horapi.
Esas personas, por supuesto, no me conocen a mí, pero yo sí las conozco a ellas.	 Chay runakunaqa, chiqamanta, mana riqsiwankuchu, ichaqa riqsini.
Las conozco a fondo, casi me he aprendido de memoria sus fisonomías, me alegro cuando las veo alegres y me entristezco cuando las veo tristes.	Allinta riqsini, yaqa umaypi hap’irqani fisiognomiankuta, kusisqa kani kusisqa rikuspay llakisqataq kani llakisqa rikuspa.
Estuve a punto de trabar amistad con un anciano a quien encontraba todos los días a la misma hora en la Fontanka.	 Huk machu runawanmi amistadta ruwanaypaqña kachkarqani, paywanmi sapa punchaw chay horallapi Fontankapi tuparqani.
¡Qué rostro tan impresionante, tan pensativo, el suyo!	 ¡Mayna admirakuypaqmi, yuyaymanaq uyanqa!
Caminaba murmurando continuamente y accionando con la mano izquierda, mientras que en la derecha blandía un bastón nudoso con puño de oro.	 Payqa sapa kutillanmi qaqchaspa puriq, lloq’e makinwantaq kuyukuq, paña makinpitaq qorimanta hap’inayoq k’ullu k’aspita kuyuchisqa.
Él también se percató de mí y me miraba con vivo interés.	 Hinaspapas reparawaspan anchata interesawasharqan.
Estoy seguro de que se ponía triste si por ventura yo no pasaba a esa hora precisa por ese lugar de la Fontanka.	 Seguro kani llakisqa kananmanta sichus ima casualmentepas chay horallapi chay Fontanka mayupi chay cheqasninta mana pasaymanchu chayqa.
He ahí por qué algunas veces estuvimos a punto de saludarnos, sobre todo cuando estábamos de buen humor.	 Chayraykun mayninpiqa napanakunaykupaqña kashaqtiyku, astawanqa allin sonqoyoq kashaqtiyku.
No hace mucho, cuando nos encontramos al cabo de tres días de no vernos, casi nos llevamos la mano al sombrero, pero afortunadamente nos dimos cuenta a tiempo, bajamos el brazo y pasamos uno junto a otro con un gesto de simpatía.	 Mana unaychu, kimsa p’unchaw mana rikunaykumanta phawaykachaspayku, yaqa sombreroykuta llamiykurqayku, ichaqa suertepaqmi tiempowan repararqayku, makiykuta uraykachispa pasarqayku khuyapayakuywan.
También las casas me son conocidas.	Wasikunapas ñuqapaqqa riqsisqam.
Cuando voy por la calle parece que cada una de ellas me sale al encuentro, me mira con.todas sus ventanas y casi me dice: «¡Hola!	 Calleta uraykuspayqa sapakamapas tupawaqniy hamuchkankumanpas hinam, llapa ventanankuwan qawawaspanku yaqa niwanku: «Hola!
¿Qué tal?	 Imaynallam?
Yo, gracias a Dios, voy bien, y en mayo me añaden un piso.	 Ñuqa, Diosman gracias, allinta ruwachkani, mayo killapitaq juk pisota yapanku.
» O bien: «¿ Cómo va esa salud?	 » Utaq: «¿Imaynataq qhali kayniyki?
A mí mañana me ponen en reparaciones.» O bien: «Estuve a punto de arder y me llevé un buen susto.» Y así por el estilo.	" Paqarinmi allichayman churawanku”, nispa. Utaq: ""Yaqa nina hap'ispa manchachiyta hap'irqani"". Hinaspa hukkunapas."
Entre ellas tengo mis preferidas, mis amigas íntimas.	 Paykuna ukhupin kan aswan munasqay, allin amigoykuna.
Una de ellas tiene la intención de ponerse en tratamiento este verano con un arquitecto.	 Hukninmi kay verano killapi arquitectowan hampichikuyta munan.
Iré de propósito a verla todos los días para que no la curen al buen tuntún.	 Sapa punchawmi propósitoman risaq qawaq, chaynapi mana yanqalla hampinankupaq.
¡Dios la proteja!	 ¡Dios amachachun!
Nunca olvidaré lo que me pasó con una casita preciosa pintada de rosa claro.	 Manam haykapipas qunqasaqchu imapas pasawasqanmanta huk sumaq wasichawan pintasqa rosa llimpiwan.
Era una casita adorable, de piedra, y me miraba de un modo tan afable y observaba con tanto orgullo a sus desgarbadas vecinas que mi corazón se henchía de gozo cuando pasaba ante ella.	 Chayqa karqan sumaq rumimanta wasicha, payqa sumaq sonqowanmi qhawariwarqan, pandilla vecinonkunatapas hatunchakuspan qhawariwarqan, chaymi sonqoypas kusikuymanta punkirqan payta pasashaqtiy.
Pero de repente, la semana pasada, cuando bajaba por la calle y eché una mirada a mi amiga, oí un grito de dolor: «¡Me van a pintar de amarillo!» ¡Malvados, bárbaros!	"Ichaqa qonqayllamanta, qayna semana, callepi purishaqtiy, amigoyta qhawarispaymi, nanaywan qapariyta uyarirqani: ""¡Q'ellota pintawanqanku!"" ¡Millay, barbarokuna!"
No han perdonado nada, ni siquiera las columnas o las cornisas; y mi amiga se ha puesto amarilla como un canario.	 Paykunaqa manan imatapas qespichirqankuchu, nitaqmi columnakunatapas nitaq cornisakunatapas; hinaspa amistadniyqa kanari hina q’illuyarun.
A mí casi me dio un ataque de ictericia con ese motivo.	 Chayraykun yaqa ictericia onqoywan hap’ichikurqani.
