español	quechua
Francis Bacon de Verulamio	Francis Bacon de Verulam sutiyuq runa
LA NUEVA ATLANTIDA	 MUSUQ ATLANTIS
Zarpamos del Perú (donde habíamos permanecido durante todo un año) hacia China y Japón, por el mar del Sur, llevando provisiones para doce meses; tuvimos vientos favorables del Este, si bien suaves y débiles, por espacio de algo más de cinco meses.	 Perú llaqtamanta (maypichus huk wata hunt’ata qhepakurqayku) Chinaman Japón llaqtaman ima barcopi rirqayku, Sur lamar-qochaq ñanninta, chunka iskayniyoq killa mikhunata hap’ispa; inti lluqsimuy ladomanta allin wayrakuna karqan, llamp’uña pisi kallpaña chaypas, phisqa killamanta aswan pisilla.
No obstante, luego el viento vino del Oeste durante muchos días, de tal modo que apenas podíamos avanzar, y a veces, incluso, pensamos en regresar.	 Ichaqa, chaymantaqa inti chinkaykuy ladomanta wayra hamurqan askha p’unchaykuna, chaymi pisillata riyta atirqayku, mayninpitaq qhepaman kutiyta yuyaykurqayku.
Pero más adelante se levantaron grandes y fuertes vientos del Sur, con la ligera tendencia hacia el Este, que nos llevaron hacia el Norte; por este tiempo las provisiones nos faltaron, aunque habíamos hecho buen acopio de ellas.	 Ichaqa qhepamanmi hatarirqan hatun kallpasapa wayrakuna Surmanta, pisilla tendenciayoq Inti lloqsimuy ladoman, chaymi apawarqanku Norte ladoman; Chay tiempopiqa manan mikhuyniykuchu karqan, allintaña chaykunata waqaycharqayku chaypas.
Al encontrarnos sin provisiones, en medio de la mayor inmensidad de agua del mundo, nos consideramos perdidos y nos preparamos para morir.	 Mana mikhuyniyuq tarikuspa, kay pachapi aswan hatun yaku chawpipi, chinkasqa hina qhawarikunchis, wañunapaqtaq wakichikunchis.
Por consiguiente, viramos hacia el lugar donde veíamos señales de tierra, y navegamos en aquella dirección durante toda la noche; al amanecer del día siguiente pudimos comprobar con claridad que era tierra, en efecto, llana y cubierta de bosque; y esto la hacía aparecer más obscura.	 Chayman hinam allpapa señalninkunata qawasqayku sitioman kutirirqaniku, hinaspam tutantin chay lawman barcopi rirqaniku; Paqaristin achikyamuqtinmi sut’ita cheqaqchayta atirqayku cheqaqtapuni allpa kasqanmanta, llañulla, sach’a-sach’awan qatasqa kasqanmanta; chaytaq aswan tutayaqman rikch’akurqan.
Después de hora y media de navegación penetramos en un buen fondeadero, que era el puerto de una bella ciudad; no era grande, ciertamente, pero estaba bien edificada y ofrecía una agradable perspectiva desde el mar.	Huk hora kuskan purisqayku qhepamanmi allin anclaje nisqaman haykurqayku, chayqa sumaq llaqtaq puertonmi karqan; manan hatunchu karqan, cheqaqtapunin, ichaqa allin ruwasqa karqan, lamar-qochamantataq sumaq qhawariyta haywarirqan.
Y figurándose los largos los minutos hasta que estuviéramos en tierra firme, llegamos junto a la costa.	 Hinaspapas hatun suyupi kanaykupaq minutokuna hayk’a kasqanmanta yupaspa, lamar-qochaq ladonman chayarqayku.
Pero inmediatamente vimos a muchas personas, con una especie de duelas en las manos, que parecían prohibirnos desembarcar; no obstante, sin exclamaciones ni signos de fiereza, sino sólo como avisándonos mediante signos de que nos alejáramos.	 Ichaqa chay ratopin rikurqayku askha runakunata, makinkupi huk clase k’aspiyoq, chaymi hark’awarqanku hina barcomanta uraykamunaykupaq; ichaqa, mana qapariywan nitaq sinchi k’arak señalkunawan, ichaqa señalkunawanpas anyawasunman hinalla, karuman astakunanchispaq.
Entonces, bastante desconcertados, nos consultamos unos a otros acerca de lo que deberíamos hacer.	 Chaymi, ancha musphasqa, tapunakurqayku ima ruwanaykumanta.
"Mientras tanto, si desean agua fresca, provisiones o asistencia para sus enfermos, o bien alguna reparación en su barco, anoten sus deseos y tendrán lo que es humano darles."""	 Chaykamataq, sichus munanki misk’i unuta, mikhunata otaq onqosqakunapaq yanapayta, otaq boteykita ima allichaytapas chayqa, qelqay munasqaykita, hinan runaq qosunaykipaq kanqa”, nispa.
El texto se hallaba firmado con un sello que representaba las alas de un querubín, no extendidas sino colgando y junto a ellas una cruz.	Chay textopin firmasqa karan huk sellowan, chay selloqa representanmi querubinpa raphrankunata, manan mast’arisqachu aswanpas warkusqa, ladonpitaq cruz.
Después de entregarlo, el funcionario se marchó dejando sólo a un criado con nosotros para hacerse cargo de nuestra respuesta.	 Chayta entregaruspanmi chay oficialqa ripurqa, huk sirvientellam ñuqaykuwan saqirqa kutichisqaykumanta encargakunanpaq.
Consultando esto entre nosotros nos encontrábamos muy perplejos.	 Kayta ñuqaykupura tapuspayku anchata muspharqayku.
La negativa a desembarcar, y el rápido aviso de que nos alejáramos, nos molestó mucho; por otra parte, el saber que aquellas personas dominaban algunos idiomas, y poseían tanta humanidad, nos confortaba no poco.	 Mana uraykuyta munasqayku, hinaspa usqhaylla ayqekunaykupaq willakuymi anchata phiñachiwarqanku; huk ladumantaq, chay runakuna pisi simikunata yachasqankuta yachaspa, hinallataq ancha runa kayniyoq kasqankuta yachaspaqa, manan pisillatachu sonqochawarqanku.
Y, sobre todo, el signo de la cruz en aquel documento nos causaba una gran alegría, como si constituyera un presagio cierto de buena fortuna.	 Hinaspapas, llapanmanta aswantaqa, chay documentopi cruzpa señalninmi anchata kusichiwarqanchis, allin suertepaq señalpas kanman hina.
"Dimos nuestra respuesta en espaííol: ""Que nuestro barco estaba bien, ya que nos habíamos encontrado mucho más con vientos suaves y contrarios que con tempestad alguna."	 Kutichisqaykutaqa kastilla simipin qorqayku: “Chay barcoykuqa allinmi karqan, ima wayra-paramantapas aswan k’anchay, contrario wayrakunawan tupasqaykurayku”, nispa.
"Que respecto a nuestros enfermos, había muchos, y en muy mal estado; de modo que si no se les permitía desembarcar, sus vidas corrían peligro."""	Unquqniykumantaqa, achkam karqaku, hinaspapas ancha mana allinpim karqaku; chaymi mana uraykamunankupaq saqiptinkuqa kawsayninku peligropi tarikurqa”, nispa.
Expresamos en particular nuestras otras necesidades añadiendo.	 Astawanqa huk necesidadniykuta yapaspa willayku.
que teníamos un pequeño cargamento de mercancías, de modo que si querían comerciar con nosotros podríamos así remediar nuestras necesidades sin constituir una carga para ellos.	 huk huch’uy carga qhatukunayoq kasqaykumanta, chhaynapi ñoqaykuwan qhatuyta munaspaqa chhaynapin necesitasqayku qoyta atirqayku mana paykunapaq llasa q’epi kashaspa.
Ofrecimos como recompensa algunos doblones al criado y una pieza de terciopelo carmesí para que se la llevara al funcionario; pero el criado no las aceptó; apenas las miró; así, pues, nos dejó, regresando en otro pequeño bote que había acudido por él.	 Chay kamachimanmi premiota hina ofrecerayku wakin doble terciopelota, huk pedazo carmesí terciopelotapas oficialman apanaykupaq; ichaqa manan chay kamachiqa chaskirqanchu; yaqapaschá chaykunataqa qhawarirqan; chaymi saqewarqanku, paypaq hamuq huk botechapi kutimuspa.
Unas tres horas después de haber enviado nuestra contestación vino hacia nosotros una persona que, al parecer, poseía autoridad.	 Kutichisqaykuta apachisqaykumanta kimsa hora hinañam, atiyniyuq hina runa hamuwarqaku.
Era un hombre de aspecto venerable.	 Payqa yupaychasqa rikch’ayniyoq runan karqan.
Venía en un bote, dorado en algunas partes, acompañado sólo de cuatro personas; lo seguía otro bote con unas veinte.	 Payqa hamurqan huk botepi, wakin cheqaskunapi qorimanta, tawa runakunallawan kuska; huk botetaq yaqa iskay chunkawan qatirqan.
