español	quechua
LA METAMORFOSIS	METAMORFOSIS nisqa
Franz Kafka	 Franz Kafka sutiyuq runa
Una mañana, tras un sueño intranquilo, Gregorio Samsa se despertó convertido en un monstruoso insecto.	 Huk punchawmi paqarin, mana samayniyuq musqukusqan qipata, Gregor Samsa rikcharirqa huk manchakuypaq kuruman tikrasqa.
Estaba echado de espaldas sobre un duro caparazón y, al alzar la cabeza, vio su vientre convexo y oscuro, surcado por curvadas callosidades, sobre el cual casi no se aguantaba la colcha, que estaba a punto de escurrirse hasta el suelo.	 Payqa sinchi k’aspipin wasanpi siriykusqa, umantapas hoqarispataq rikurqan yana, k’uyusqa wiksanta, k’uyusqa calloswan surcoyoq, chay patapin edredónqa pisillata sayashasqa, chaymi pampaman llimp’inanpaqña kashasqa.
Numerosas patas, penosamente delgadas en comparación al grosor normal de sus piernas, se agitaban sin concierto.	 Askha chakikuna, khuyapayakuq llañu chakikuna normal rakhu kayninwan tupachisqa, mana ima munaytapas kuyuchirqanku.
¿Qué me ha ocurrido?	 ¿Imataq ñuqawan pasarqa?
No estaba soñando.	 Manam musqukuchkarqanichu.
Su habitación, una habitación normal, aunque muy pequeña, tenía el aspecto habitual.	 Cuartonqa, normal cuarto, ancha huch’uyña karqan chaypas, costumbreman hina rikch’ayniyoqmi karqan.
Sobre la mesa había desparramado un muestrario de paños  — Samsa era viajante de comercio — , y de la pared colgaba una estampa recientemente recortada de una revista ilustrada y puesta en un marco dorado.	 Mesa patapin mast’arisqa kashasqa huk muestreador de tela-Samsaqa viajaq vendeqmi kasqa- perqapitaqmi warkusqa huk dibujo chayllaraq kuchusqa huk dibujasqa revistamanta, hinaspa qorimanta marcopi churasqa.
La estampa mostraba a una mujer tocada con un gorro de pieles, envuelta en una estola también de pieles, y que, muy erguida, esgrimía un amplio manguito, asimismo de piel, que ocultaba todo su antebrazo.	Chay impresopin rikukurqan huk warmi millwamanta gorrayoq, millwa suwawan p’istuykusqa, hinaspan ancha sayaq kashaspa ancho muff nisqawan kuyurichisqa, chaypas millmamanta ruwasqa, chaymi llapa ñawpaq makinta pakasqa.
Gregorio miró hacia la ventana; estaba nublado, y sobre el cinc del alféizar repiqueteaban las gotas de lluvia, lo que le hizo sentir una gran melancolía.	 Gregorioqa ventanaman qhawarisqa; puyuyuqmi karqan, paraq sut’uyninkunapas sillp’aq zinc nisqapi kuyurirqan, chaymi anchata llakisqa sientekurqan.
«Bueno  — pensó — ; ¿y si siguiese durmiendo un rato y me olvidase de todas estas locuras?» Pero no era posible, pues Gregorio tenía la costumbre de dormir sobre el lado derecho, y su actual estado no permitía adoptar tal postura.	 Bueno, nispas yuyaykusqa. ¿Imataq kanman huk rato puñuspalla kay tukuy loco kaqkunata qunqaruspayqa?» Ichaqa manan atikurqanchu, Gregorioqa paña ladonpi puñuy costumbreyoqmi karqan, kunan imayna kasqanpas manan permitirqanchu chhayna posiciónta hap’iyta.
Por más que se esforzara, volvía a quedar de espaldas.	 Maytaña kallpachakurqan chaypas, hukmantan wasanpi kasharqan.
Intentó en vano esta operación numerosas veces; cerró los ojos para no tener que ver aquella confusa agitación de patas, pero no cesó hasta que notó en el costado un dolor leve y punzante, un dolor jamás sentido hasta entonces.	 Payqa askha kutitan kay operacionta ruwarqan yanqapaq; Ñawinta wisq’aykusqa mana chay ch’aqwasqa chaki ch’aqwayta rikunanpaq, ichaqa manan sayarirqanchu ladonpi pisilla, k’iriq nanayta sientenankama, mana hayk’aqpas sientesqan nanayta.
¡Qué cansada es la profesión que he elegido!	 ¡Mayna sayk’usqañan kashan akllasqay profesionqa!
se dijo — .	 nisqa -.
Siempre de viaje.	 Sapa kuti purispa.
¡Al diablo con todo!	 ¡Chay infiernowanqa!
Se deslizó de nuevo a su posición inicial.	 Hukmantam qallariypi kasqanman lliwchakururqa.
«Esto de levantarse pronto  — pensó —  le hace a uno desvariar.	 -Kay temprano hatariyqa, nispas yuyaykusqa, —huktaqa deliriotan ruwan.
El hombre tiene que dormir.	 Qharikunaqa puñunanku tiyan.
Otros viajantes viven como pachás.	 Huk puriqkunapas pashas hinam kawsanku.
Si yo, por ejemplo, a lo largo de la mañana vuelvo a la pensión para pasar a limpio los pedidos que he conseguido, estos señores todavía están sentados tomando el desayuno.	Sichus ñoqa, ejemplopaq, tutamantan pensionman kutisaq pedidokuna chaskisqayta pichanaypaq chayqa, kay wiraqochakunaqa tiyashankuraqmi desayunaspa.
Eso podría intentar yo con mi jefe, en ese momento iría a parar a la calle.	 Chaytaqa jefeywan pruebayta atiyman, chay ratopin callepi tukuq kani.
Quién sabe, por lo demás, si no sería lo mejor para mí.	 Pi yachan, wakinpaq, sichus mana aswan allinchu kanman ñoqapaq.
Si no tuviera que dominarme por mis padres, ya me habría despedido hace tiempo, me habría presentado ante el jefe y le habría dicho mi opinión con toda mi alma.	 Mana tayta-mamaypa kamachisqan kaspayqa unayñam despedikuyman karqa, jefemanmi presentakuyman karqa hinaspam tukuy almaywan piensasqayta willayman karqa.
¡Se habría caído de la mesa!	 ¡Mesamanta urmaykunman karqan!
Sí que es una extraña costumbre la de sentarse sobre la mesa y, desde esa altura, hablar hacia abajo con el empleado que, además, por culpa de la sordera del jefe, tiene que acercarse mucho.	 Arí, huk admirakuypaq costumbrem mesapi tiyaykuspa, chay altomanta urayman rimay chay llamkaqwan, payqa, aswanqa, jefepa mana uyariq kasqanraykum, anchata asuykunan.
Bueno, la esperanza todavía no está perdida del todo; si alguna vez tengo el dinero suficiente para pagar las deudas que mis padres tienen con él  — puedo tardar todavía entre cinco y seis años lo hago con toda seguridad.	 Bueno, suyakuyqa manaraqmi allintachu chinkapun; sichus hayk’aqllapas qolqey kanqa tayta-mamaypa payman manukuyninta paganaypaq — phisqa otaq soqta wataraqmi kanman chayqa, seguron ruwasaq.
Entonces habrá llegado el gran momento, ahora, por lo pronto, tengo que levantarme porque el tren sale a las cinco», y miró hacia el despertador que hacía tictaqueaba sobre el armario.	Hinaptinqa hatun rato chayamunqaña, kunanqa, kunankamaqa, hatarinaymi tren pichqa horata lluqsisqanrayku’, nispas qawarqa despertadorta, chaymi guardarropapi llachpachkaqta.
«¡Dios del cielo!», pensó.	 ¡Dios hanaq pachapi!, nispas yuyaykusqa.
Eran las seis y media y las manecillas seguían tranquilamente hacia delante, ya había pasado incluso la media, eran ya casi las menos cuarto.	 Soqta horas kuskanña kashaqtin makikunapas thaklla ñawpaqman puririrqanku, kuskan pasasqaraqmi karqan, yaqa huk cuartoñañan kasharqan.
«¿Es que no habría sonado el despertador?» Desde la cama se veía que estaba correctamente puesto a las cuatro, seguro que también había sonado.	 -Manachu despertadorqa waqanman karqa? Puñunamantaqa rikukuqmi tawa horapi allinta churasqa kashasqanmanta, cheqaqtapunin uyarikullarqantaq.
Sí, pero.  ¿era posible seguir durmiendo tan tranquilo con ese ruido que hacía temblar los muebles?	 Arí, ichaqa. ¿Atikurqachu chayna hawkalla puñuyta hinalla chay qapariywan, chaymi mueblekunata kuyuchirqa?
Bueno, tampoco había dormido tranquilo, pero quizá tanto más profundamente.	 Bueno, payqa manan thakchu puñusqapas, ichaqa yaqapaschá aswan allinta puñusqa.
¿Qué iba a hacer ahora?	 ¿Imatan kunan ruwanan karqan?
Era un esclavo del jefe, sin agallas ni juicio.	 Payqa jefeq esclavonmi karqan, mana tripasniyoq nitaq juzgaq.
¿Qué pasaría si dijese que estaba enfermo?	 ¿Imatan ruwawaq onqosqayta niqtiy?
Pero esto sería sumamente desagradable y sospechoso, porque Gregorio no había estado enfermo ni una sola vez durante los cinco años de servicio.	 Ichaqa kayqa sinchi mana allinmi kanman, iskayrayanapaqtaqmi kanman, Gregorioqa manan huk kutillatapas onqosqachu phisqa wata llank’asqanpi.
Seguramente aparecería el jefe con el médico del seguro, haría reproches a sus padres por tener un hijo tan vago y se salvaría de todas las objeciones remitiéndose al médico del seguro, para el que sólo existen hombres totalmente sanos, pero con aversión al trabajo.	 Chiqamanta jefeqa seguro doctorwan rikhurinman, tayta-mamanta k’aminman chhayna qhella churiyoq kasqanmanta hinaspan llapa hark’akuykunamanta qespikunman seguro doctorman rimaspa, paypaqqa kanmi totalmente qhali qharikunalla, ichaqa llank’ayta millakuspa .
¿Y es que en este caso no tendría un poco de razón?	 Hinaspa, ¿manachu chay kay casopi huk chikan allin kanman?
Gregorio, a excepción de una modorra realmente superflua después del largo sueño, se encontraba bastante bien e incluso tenía mucha hambre.	Unay puñusqan qhepaman cheqaqtapuni mana imapaq valeq puñuymantaqa, Gregorqa allintan sientekurqan, sinchi yarqasqaraqmi karqan.
Mientras reflexionaba sobre todo esto con gran rapidez, sin poderse decidir a abandonar la cama  — en este mismo instante el despertador daba las siete menos cuarto — , llamaron cautelosamente a la puerta que estaba a la cabecera de su cama.	 Tukuy kaykunata ancha utqaylla yuyaymanachkaptin, mana yuyayninta ruwayta atispan puñunanmanta lluqsinanpaq —kay ratollapim despertadorqa huk cuartomanta qanchiskama — huk cuidadowan punkuta takarqaku puñunanpa umanpi.
Gregorio  — dijo la voz de su madre — , son las siete menos cuarto.	 Gregorio —nisqa mamanpa kunkan—, tawamanta qanchiskamaña.
¿No ibas a salir de viaje?	 ¿Manachu huk viajeman rirqanki?
¡Qué voz tan dulce!	 ¡Ima misk’i kunkataq!
Gregorio querría haber contestado detalladamente y explicarlo todo, pero en estas circunstancias se limitó a decir:	 Gregorioqa munanmanmi karqan sut’ita kutichiyta, tukuy imata sut’inchayta, ichaqa kay hina kaqtinqa kayllatan niyta munarqan:
Sí, sí, gracias madre.	 Arí, arí, gracias mamay.
Ya me levanto.	 Hatarichkani.
Probablemente a causa de la puerta de madera no se notaba desde fuera el cambio en la voz de Gregorio, porque la madre se tranquilizó con esta respuesta y se marchó de allí.	Yaqapaschá chay k’aspi punkurayku, Gregorpa kunkanpa t’ikrakuyninqa mana hawamanta reparasqachu, imaraykuchus mamaqa kay kutichiywan thasnukuspa chaypi ripurqan.
Pero merced a la breve conversación, los otros miembros de la familia se habían dado cuenta de que Gregorio, en contra de todo lo esperado, estaba todavía en casa, y ya el padre llamaba suavemente, pero con el puño, a una de las puertas laterales.	 Ichaqa pisi rimayllapi rimasqankuraykun, chay familiapi wakin runakunaqa reparasqaku Gregorioqa, llapa yuyaykusqankuman hina, wasinpiraq kashasqanmanta, taytataq llamp’ullata takkashasqaña, ichaqa puñunanwan, huknin punkuta.
¡Gregorio, Gregorio!	 ¡Gregorio, Gregorio!
gritó — .	 qapariy - .
¿Qué ocurre?	 ¿Imataq pasakun?
tras unos instantes insistió de nuevo con voz más grave — .	 Iskay kimsa ratumanta aswan serio kunkawan yapamanta insistirqa.
¡Gregorio, Gregorio!	 ¡Gregorio, Gregorio!
Desde la otra puerta lateral se lamentaba en voz baja la hermana.	 Huk lado punkumantam hermanaqa pisi kunkawan waqaykusqa.
Gregorio, ¿no te encuentras bien?, ¿necesitas algo?	 Gregorio, ¿manachu allin sientekunki, ¿imatapas necesitankichu?
Gregorio contestó hacia ambos lados:	 Gregorioqa iskaynin ladomanmi kutichirqan:
Ya estoy preparado —  y con una pronunciación lo más cuidadosa posible, y haciendo largas pausas entre las palabras, se esforzó por despojar a su voz de todo lo que pudiese llamar la atención.	" Listoñan kashani."" Hinaspapas atisqanman hina cuidadowan rimaspa, simikunaq chawpinpi unayta samarispa, kallpachakurqan kunkanmanta imapas runakunaq yuyayninta aysananpaq."
El padre volvió a su desayuno, pero la hermana susurró:	 Taytaqa desayunanman kutirqa, ichaqa hermanaqa susuykurqa:
Gregorio, abre, te lo suplico  —  pero Gregorio no tenía ni la menor intención de abrir, más bien elogió la precaución de cerrar las puertas que había adquirido durante sus viajes, y esto incluso en casa.	Gregorio, kichay, valekuyki — ichaqa Gregorioqa manan ni huk chhikantapas kichayta yuyaykurqanchu, aswanpas alabarqanmi purisqanpi tarisqan punkukunata wisq’asqanmanta cuidakusqanmanta, kaytataq wasinpipas.
Al principio tenía la intención de levantarse tranquilamente y, sin ser molestado, vestirse y, sobre todo, desayunar, y después pensar en todo lo demás, porque en la cama, eso ya lo veía, no llegaría con sus cavilaciones a una conclusión sensata.	 Qallariypiqa yuyaykurqanmi ch’inlla hatarispa, mana ima llakisqa, p’achakuyta, llapanmanta aswantaqa desayunayta, chaymantataq tukuy imapi yuyaykuyta, imaraykuchus puñunanpi, chayta rikurqanña, manan yuyaymanayninwanqa allin yuyaywan tukukuyman chayanmanchu .
Recordó que ya en varias ocasiones había sentido en la cama algún leve dolor, quizá producido por estar mal tumbado, dolor que al levantarse había resultado ser sólo fruto de su imaginación, y tenía curiosidad por ver cómo se iban desvaneciendo paulatinamente sus fantasías de hoy.	 Yuyarirqanmi askha kutipi puñunanpi pisi nanayta sientesqanmanta, yaqapaschá mana allinta puñusqanrayku, chay nanayqa hatarispan yuyaykusqanllan karqan, chaymi anchata munarqan imaynatas paypaq kashan chayta kunan tiempopi fantasiakunaqa pisi-pisimantan chinkapusharqan.
No dudaba en absoluto de que el cambio de voz no era otra cosa que el síntoma de un buen resfriado, la enfermedad profesional de los viajantes.	 Payqa manan iskayrayarqanchu kunkan cambiasqanqa manan imapaschu karqan, aswanpas millay chiri onqoypa sintomallanmi karqan, chaymi vendeqkunaq llank’ayninpi onqoynin.
Tirar el cobertor era muy sencillo, sólo necesitaba inflarse un poco y caería por sí solo, pero el resto sería difícil, especialmente porque él era muy ancho.	Tapata hurquyqa ancha facilmi karqa, huk ratochallam phullpuyta necesitarqa hinaspam sapallanmanta wichiykuq, ichaqa puchuqninqa sasachá kanman, astawanraqmi ancha ancho kasqanrayku.
Hubiera necesitado brazos y manos para incorporarse, pero en su lugar tenía muchas patitas que, sin interrupción, se hallaban en el más dispar de los movimientos y que, además, no podía dominar.	 Hatarinanpaqqa makinkunatan makinkunatan necesitanman karqan, ichaqa aswanpas askha huch’uy chakikunayoqmi karqan, mana hark’asqallataqmi aswan mana kaqlla kuyuykunapi kasharqan, aswanpas manan controlayta atirqanchu.
