español	quechua
Friedrich Nietzsche	Friedrich Nietzsche sutiyuq runa
Cómo se filosofa a martillazos	 Imaynatataq martillo maqaywan filosofía ruway
PREFACIO	 IMAYNA RUWAY
CONSERVAR en los problemas sombríos y de abrumadora responsabilidad la alegría serena, es cosa harto difícil, y, sin embargo, ¿hay algo más necesario que la alegría serena?	 LLAK’AY sasachakuykunapi, sinchi responsabilidadkunapipas thak kusikuyta waqaychayqa ancha sasan, chaywanpas, ¿kanmanchu imapas thak kusikuymanta aswan necesario?
Nada sale bien si no participa en ello la alegre travesura.	 Manan imapas allintachu purin mana kusisqa millay ruwaykuna kaqtinqa.
Soló el exceso  de fuerza es la prueba de fuerza.	 Llumpay kallpallam kallpapa pruebanqa.
Una transmutación de todos los valores, interrogante negro y tremendo que proyecta sombras sobre quien lo plantea, obliga a cada instante a buscar el söl y sacudir una seriedad pesada, una seriedad que se ha vuelto demasiado pesada.	 Tukuy valorkunaq t’ikrakuynin, yana hatun tapukuy pimanpas llanthunkunata churaq, sapa ratotan obligan intita maskhananpaq, llasa serio kayta chhaphchinanpaq, sinchi serio kayta chhaphchinanpaq.
Para este fin, bienvenidos sean todos los medios; cada caso es un caso de buena suerte.	 Chaypaqmi tukuy imapas allin chaskisqa; sapa casoqa allin suertemanta cason.
Sobre todo, la guerra.	 Tukuy imamanta aswantaqa guerra.
La guerra siempre ha sido la grande cordura de todos los espíritus que se han vuelto demasiado íntimos y profundos; hasta en la herida hay virtud curativa.	 Guerraqa ñawpaqmantaraqmi karqan llapa espiritukunaq hatun yuyaynin, paykunan nishuta íntimo, ukhuman tukupurqanku; k'iripipas kanmi hampiy atiy.
Desde hace tiempo la siguiente máxima, cuyo origen escamoteo a la curiosidad erudita, ha sido mi divisa:	 Unayñan kay máxima, piqpa paqarimuyninta pakani erudita curiosidadmanta, lemaymi karqan:
increscunt animi, virescit volnere virtus.	increscunt animi, virescit volnere virtus nisqa.
