español	quechua
Friedrich Nietzsche	Friedrich Nietzsche sutiyuq runa
EL ANTICRISTO	 ANTICRISTO
Mirémonos cara a cara.	 Uyan-uyan qhawarisunchis.
Somos hiperbóreos; sabemos perfectamente bien hasta qué punto vivimos aparte.	 Ñuqaykuqa Hiperbóreos kayku; allintam yachanchik maykamam sapaqchasqa kawsasqanchikta.
“Ni por mar ni por tierra encontrarás un camino que conduzca a los hiperbóreos”; ya Píndaro supo esto, mucho antes que nosotros.	" ""Manan lamar qochawanpas nitaq hallp'awanpas tarinkichu Hiperbóreos nisqaman riq ñanta""; Pindarqa chaytaqa yachasqañam, unayña ñuqaykumanta ñawpaqtaraq."
Más allá del Norte, del hielo, de la muerte; nuestra vida, nuestra felicidad.  Hemos descubierto la felicidad, conocemos el camino, hemos encoritrado la manera de superar milenios enteros de laberinto.	 Nortemanta aswan karun, hielo, wañuy; kawsayninchik, kusikuyninchik. Kusikuyta tarirqanchik, ñanta yachanchik, waranqa wata hunt’a laberinto atipanapaq ñanta tarirqanchik.
¿Quién más la ha encontrado?	 ¿Pitaq huktaraq tarirurqa?
¿El hombre moderno acaso?	 Kunan pacha runa ichapas?
“Estoy completamente desorientado, soy todo lo que está completamente desorientado”, así se lamenta el hombre moderno.  De este modernismo estábamos aquejados; de la paz ambigua, de la transacción cobarde, de toda la ambigüedad virtuosa del moderno sí y no.	 Chay hinatan kunan tiempopi runaqa llakikun: “Ñoqaqa sinchitan desorientasqa kashani, ñoqan kani tukuy imamanta desorientasqa kaqpas”, nispa. Kay modernismo nisqawanmi ñakarirqanchik; iskay uya thak kaymanta, manchali compromisomanta, kunan pacha arí, mana nisqa tukuy allin iskay yuyayniyoq kayninmanta.
Esta tolerancia y largeur del corazón que todo lo “perdona” porque todo lo “comprende” se convierte en sirocco para nosotros.	" Kay tolerancia, hatun kay sunqu tukuy imata ""pampachakuq"" tukuy imata ""entiendesqanrayku"" siroccoman tukun ñuqanchikpaq."
¡Más vale vivir entre ventisqueros que entre las virtudes modernas y demás vientos del Sur!.	¡Aswan allinmi rit’ikunaq chawpinpi kawsay, kunan pacha allin kawsaykuna ukhupi, huk Sur wayrakuna ukhupi kawsaymantaqa!
Éramos demasiado valientes, no teníamos contemplaciones para nosotros ni para los demás; pero durante largo tiempo no sabíamos encauzar nuestra valentía.	 Nishu valorniyoqmi karqayku, manan ñoqaykupaqpas nitaq hukkunapaqpas yuyaymanarqaykuchu; ichaqa unay tiempon mana yacharqaykuchu valorniyku imayna kanalizayta.
Nos volvimos sombríos y se nos llamó fatalistas.	 Llakisqallañam rikurirurqaniku, chaymi fatalista nispa sutichawarqaku.
Nuestro fatum era la plenitud, la tensión, la acumulación de las energías.	 Fatumniykuqa hunt’a kay, tension, kallpakuna huñukuymi karqan.
