español	quechua
Gibrán Khalil Gibrán	Gibran Khalil Gibran sutiyuq runa
EL LOCO	WAQA
-1918	-1918
Me preguntáis como me volví loco.	Tapuwanki imaynatataq locoyarqani.
Así sucedió:	Chaynatam pasarqa:
Un día, mucho antes de que nacieran los dioses, desperté de un profundo sueño y descubrí que me habían robado todas mis máscaras  - si; las siete máscaras que yo mismo me había confeccionado, y que llevé en siete vidas distintas - ; corrí sin máscara por las calles atestadas de gente, gritando:	Huk punchawmi, unayña dioskuna nacechkaptinku, ancha puñuymanta rikcharirqani, llapa mascaraykuna suwasqa kasqanmanta - arí; chay qanchis mascarakuna kikiy ruwasqay, hinallataq qanchis imaymana kawsaykunapi churakusqay -; Mana mascarayuqmi kallparqani achka runakunapa kasqan callekunapi, qaparispay:
¡Ladrones!	¡Suwakuna!
¡Ladrones!	¡Suwakuna!
¡Malditos ladrones!	Malditos suwakuna!
Hombres y mujeres se reían de mí, y al verme, varias personas, llenas de espanto, corrieron a refugiarse en sus casas.	Qharikunapas warmikunapas asikuwarqankun, rikuwaspankutaq askha runakuna manchakuywan hunt’a phawaylla wasinkupi pakakurqanku.
Y cuando llegué a la plaza del mercado, un joven, de pie en la azotea de su casa, señalándome gritó:	Hinaspa qhatu plazaman chayaqtiy, huk wayna, wasinpa patanpi sayashaspa, señalawaspa, qaparirqan:
Miren!	Qaway!
¡Es un loco!	¡Payqa loco!
Alcé la cabeza para ver quién gritaba, y por vez primera el sol besó mi desnudo rostro, y mi alma se inflamó de amor al sol, y ya no quise tener máscaras.	Umayta hoqarirqani pikunachus qaparisqankuta qhawanaypaq, ñawpaq kutitataq inti q’ala uyayta much’aykurqan, almaytaq inti munakuywan punkirqan, manaña mask’ayuq kayta munarqanichu.
Y como si fuera presa de un trance, grité:	Hinaspa huk trancepi hina, qaparirqani:
¡Benditos!	yupaychasqa!
¡Benditos sean los ladrones que me robaron mis máscaras!	¡Kusisamiyoqmi mascaraykunata suwakuq suwakuna!
Así fue que me convertí en un loco.	Chaymi locoyarurqani.
Y en mi locura he hallado libertad y seguridad; la libertad de la soledad y la seguridad de no ser comprendido, pues quienes nos comprenden esclavizan una parte de nuestro ser.	Hinaspa loco kayniypi tarirqani libre kayta, seguridadta; sapallan kaypa libre kay, mana entiendesqa kaypas, imaraykuchus entiendewaqninchiskunan huk parteta esclavoman tukuchinku.
Pero no dejéis que me enorgullezca demasiado de mi seguridad; ni siquiera el ladrón encarcelado está a salvo de otro ladrón.	Ichaqa ama dejawaychu nishuta orgulloso kanaypaq seguro kasqaymanta; manataqmi wisq’asqa suwapas huk suwamantaqa allinchu.
DIOS	TAYTACHA
En los días de mi más remota antigüedad, cuando el temblor primero del habla llegó a mis labios, subí a la montaña santa y hablé a Dios, diciéndole:	Ñawpa karu kasqay p’unchaykunapin, ñawpaq kaq rimaypa khatatatay simiyman chayamuqtin, ch’uya orqoman wichaspa Dioswan rimarqani:
Amo, soy tu esclavo.	Yachachikuq, kamachiykim kani.
Tu oculta voluntades mi ley, y te obedeceré por siempre jamás.	Pakasqa munayniykikunaqa kamachikuyniymi, wiñay-wiñaypaqmi kasusqayki.
Pero Dios no me contestó, y pasó de largo como una potente borrasca.	Ichaqa manan Diosqa kutichiwarqanchu, sinchi wayra hinan pasawarqan.
Y mil años después volví a subir a la montaña santa, y volví a hablar a Dios, diciéndole:	Waranqa wata qhepamantaq wakmanta ch'uya orqoman wicharqani, hinaspataq Dioswan rimarqani:
Creador mío, soy tu criatura.	Kamaqniy, qanmi kani.
Me hiciste de barro, y te debo todo cuanto soy.	T'urumantam rurawarqanki, tukuy ima kasqaytapas manuykim.
Y Dios no contestó; pasó de largo como mil alas en presuroso vuelo.	Hinan Diosqa mana kutichirqanchu; waranqa raphrakuna hina usqhaylla phawaylla pasarqan.
Y mil años después volví a escalar la montaña santa, y hablé a Dios nuevamente, diciéndole:	Waranqa wata qhepamantaq yapamanta ch’uya orqoman seqarqani, hinaspan Dioswan hukmanta rimarqani:
Padre, soy tu hijo.	Taytay, wawaykim kani.
Tu piedad y tu amor me dieron vida, y mediante el amor y la adoración a ti heredaré tu Reino.	Khuyapayakuyniyki, munakuyniyki ima kawsayta qowarqan, munakusqaykiwan yupaychayniykiwanmi Reinoykita herenciata chaskisaq.
Pero Dios no me contestó; pasó de largo como la niebla que tiende un velo sobre las distantes montañas.	Ichaqa manan Diosqa kutichiwarqanchu; karu urqukunata qatakuq phuyu hinam pasarqa.
