español	quechua
Gibrán Khalil Gibrán	Gibran Khalil Gibran sutiyuq runa
LOS SECRETOS DEL CORAZON	 SUNQUPA PAKAYKUNA
-1931	-1931
La majestuosa mansión se encontraba bajo las alas de la noche silente, como la Vida bajo la envoltura de la Muerte.	 Chay hatun hatun wasiqa ch’in tuta raphrankunaq uranpi kashasqa, Wañuypa sobrenpa uranpi Kawsay hina.
En su interior, una doncella sentada ante un escritorio de marfil, reclinada su bella cabeza sobre suave mano, como una lila marchita sobre sus pétalos.	 Ukhunpiqa huk sipasmi marfilmanta escritoriopi tiyashasqa, sumaq umanmi llamp’u makinpi sayasqa, raphinkunapi ch’akisqa lila hina.
Miraba, alrededor de sí y se sentía una miserable prisionera que lucha por atravesar los muros del calabozo para contemplar a la Vida, marchando en el cortejo de la Libertad.	 Muyuriqninta qhawarispataq huk llakisqa preso hina sientekurqan, carcelpa perqankunata p’akispa Kawsaypi yuyaymanananpaq, Libertad procesionpi purishaspa.
Las horas pasaban como los espectros de la noche, como una procesión entonando el fúnebre canto de su pena, y la doncella se sentía segura derramando sus lágrimas en angustiosa soledad.	 Horakunaqa tutapi espectrokuna hinan pasarqan, procesion hina llakikuyninpa llakikuy takiyninta takiq hina, sipaschataq mana imamanta manchakuspa waqayninta hich’arqan llakisqa sapallan kayninpi.
Cuando no pudo resistir más su sufrimiento y se sintió en plena posesión de los secretos de su corazón, tomó la pluma y, mezclando lágrimas y tinta sobre el pergamino, escribió:	 Ñak’ariyninta manaña aguantayta atispa, sonqonpi pakasqa kaqkunata hunt’asqata hap’ispa sientekuspa, plumanta hap’ispa, pergaminopi waqayninta tintawan chaqruspa qelqarqan:
Amada hermana:	 Munasqa ñaña:
Cuando en el corazón se apiñan los secretos, y arden los ojos por las quemantes lágrimas, y las costillas parecen estallar con el creciente confinamiento del corazón, no se puede hallar otra expresión de ese laberinto salvo una oleada de liberación como ésta.	Sonqo pakasqakunawan hunt’a kaqtin, ñawikunataq rawraq waqaywan ruphaqtin, sonqoq wisq’asqa kasqanwan costillakuna p’akikuq hina kaqtinqa, manan huk expresionqa kanmanchu chay laberintomantaqa, aswanpas kay hina kacharikuypa kuyuriyninllan.
Las personas melancólicas gozan lamentándose, y los amantes hallan alivio y condolencia en sus sueños, y los oprimidos se deleitan cuando causan conmiseración.	 Llakisqa runakunaqa waqaspankum kusikunku, kuyanakuqkunapas musquyninkupim allinyayta hinaspa khuyapayakuyta tarinku, sarunchasqa runakunañataqmi kusikunku khuyapayakuyta hatarichiptinku.
Te escribo porque me siento como un poeta que imagina la belleza de las cosas y compone en versos sus impresiones, presa de un poder divino.  Soy como el niño del hambriento que llora por su alimento, haciendo caso omiso de la condición de su pobre y piadosa madre y de su fracaso en la vida.	 Qillqamuykichik, harawiq hina sientekusqayraykum, payqa imapas sumaq kayninta yuyaymanaspanmi, versiculokunapi impresionninkunata qillqan, hanaq pachapa atiyninwan hapisqa. Yarqasqa runaq wawan hinan kani, payqa mikhunanmanta waqan, wakcha piadoso mamanpa imayna kayninta, kawsayninpi mana allin ruwasqantapas mana qhawarispa.
Escucha mi dolorosa historia, querida hermana, y llora conmigo, pues sollozar es como una plegaria y las lágrimas de piedad son caridad porque surgen de un alma buena y sensible y no se derraman en vano.	 Uyariy nanay willakuyniyta, munasqa ñañay, ñoqawan kuska waqay, waqayqa mañakuy hinan, khuyapayakuy waqaypas munakuymi, allin, sensitivo almamanta hamusqanrayku, manataqmi yanqapaqchu hich’akun.
Fue la voluntad de mi padre que me casara con un hombre noble y rico.	Taytaypa munayninmi karqan qhapaq, allin qhawarisqa runawan casarakunaypaq.
Mi padre era como la mayoría de los hombres ricos que, por temor a la pobreza, sólo gozan de la vida cuando pueden acrecentar su riqueza y agregar más oro a sus cofres, para ganar con su esplendor el favor de la nobleza, anticipándose así a los ataques de los días aciagos.  Y ahora descubro que soy, con todo mi amor y mis sueños, una víctima sobre un altar de oro que odio, y dueña de un honor heredado que desprecio.	 Taytayqa yaqa llapan qhapaq runakuna hinan karqan, wakcha kayta manchakuspanku, qhapaq kayninkuta yapayta atispa, cajankuman aswan qorita yapayta atispallan kawsayta kusikunku, chhaynapi sumaq kayninkuwan noblezakunaq favorninta gananankupaq, chhaynapin ñawpaqmantaraq qhawarirqanku runakunaq ataquenkunata tutayaq punchawkuna. Hinaspa kunan tarini, tukuy munakuyniywan, musquyniywan ima, chiqnisqay qori altarpi víctima kasqayta, hinallataq pisichasqay herencia hina honorpa dueñon kasqayta.
Respeto a mi esposo porque es amable y generoso con todos; trata de hacerme feliz y gasta su oro para complacer mi corazón, pero he descubierto que todas estas cosas no valen lo que un momento de verdadero y divino amor.	 Qosayta respetani llapa runawan sumaq sonqo, qoykukuq kasqanrayku; Payqa kusichiwananpaqmi kallpachakun, qorintapas gastanmi sonqoyta kusichinanpaq, ichaqa repararqanin tukuy chaykuna mana valenchu huk ratullapas cheqaq hinallataq hanaq pacha munakuy.
No te burles de mí, hermana, pues ahora soy una persona muy instruida acerca de los anhelos del corazón de una mujer  - ese palpitante corazón como un pájaro en el vasto cielo del amor - , como una copa vuelta a colmar con el vino de los tiempos, añejado para las almas sedientas.  como un libro en cuyas páginas se leen capítulos de felicidad y desventura, regocijo y dolor, alegría y pesar.	Ama asichiwaychu ñañay, kunanqa allin yachasqañan kani warmiq sonqonpa munasqanmanta - chay t’oqyaq sonqon munakuypa hatun hanaq pachapi pisqu hina - pachaq vinonwan hunt’asqa vaso hina, machuyasqaña ch’akisqa almakuna. libro hina, p’anqankunapin leekun kusikuymanta, mana allin kawsaymanta, kusikuymanta, nanaymanta, kusikuymanta, llakikuymanta capitulokuna.
Nadie puede leer este libro, excepto el verdadero compañero que es la otra mitad de la mujer, y que ha sido creado para ella desde el principio del mundo.	 Manan pipas kay qelqataqa leeyta atinmanchu, aswanpas cheqaq compañerollan, payqa warmiq huknin kuskanninmi, kay pachaq qallariyninmantapacha paypaq kamasqa.
Sí, me he convertido en la más sabia de las mujeres en lo que atañe al objeto del alma y el sentido del corazón, porque he descubierto que mis magníficos corceles y carruajes y relucientes cofres de oro y sublime nobleza no valen lo que una mirada de ese pobre joven que espera pacientemente, sufriendo los tormentos de la aflicción y la desventura.	 Arí, warmikunamanta aswan yachaysapamanmi tukurqani almaq objetonmanta, sonqoq sientesqanmantawan, imaraykuchus tarirqanin sumaq caballoykuna, carroykuna, qorimanta, hatun noblezamanta k’anchariq cajaykuna ima, mana chay wakcha waynaq qhawariynin hinachu kasqankuta pacienciawan suyakuq runa, llakikuypa, desgraciapa ñak’ariyninta muchuq.
Ese joven oprimido por la cruel voluntad de mi padre, prisionero en la estrecha y melancólica celda de la Vida.	Chay wayna, taytaypa millay munayninwan sarunchasqa, Kawsaypa k’iti, llakisqa celdapi wisq’asqa.
Por favor, querida mía, no urdas nada para consolarme, pues la calamidad por medio de la cual he descubierto el poder de mi amor es mi gran consuelo.	 Ama hina kaspa, munakusqay, ama imatapas yuyaykuychu sonqochawanaykipaq, munakuyniypa atiyninta tarisqay sasachakuymi hatun sonqochayniy.
Ahora miro hacia adelante a través de mis lágrimas, y espero la llegada de la Muerte, que me llevará donde pueda encontrarme con la otra mitad de mi alma, para abrazarlo como lo hacía antes de llegar a este extraño mundo.	 Kunanqa waqayniywan suyasaq, hinaspa suyani Wañuy chayamunanta, chaymi pusawanqa maymanchus huk kuskan almaywan tupayman, chayta abrazanaypaq imaynan ruwarqani manaraq kay mana reqsisqa pachaman hamushaspa hina.
No pienses mal de mí, porque cumplo con mi deber de esposa fiel y acato con paciencia y tranquilidad las leyes y reglas del hombre.	 Ama mana allintachu yuyaykuwaychis, hunt’aq warmi hina deberniyta hunt’asqayrayku, pacienciawan thaklla runaq kamachikuyninkunata, kamachikuyninkunatawan hunt’asqayrayku.
Lo honro con mi mente, lo respeto con mi corazón y lo venero con mi alma.	 Yuyayniywan yupaychani, sunquywan respetani, almaywan yupaychani.
Pero Dios hizo que diera parte de mí a mi amado antes de conocer a mi esposo.	 Ichaqa Diosmi qosaywan manaraq tupashaspa munakusqayman huk parteyta qowarqan.
El cielo ha querido que pasara mi vida junto a un hombre que no me estaba destinado, y mis días se consumen en silencio de acuerdo con la voluntad divina, pero si no se abren las puertas de la Eternidad, continuaré con la bella mitad de mi alma y volveré la vista hacia el Pasado, y ese Pasado es este Presente.  Miraré a la vida como la Primavera mira al Invierno, contemplaré a los obstáculos de la Vida como aquél que ha llegado a la cima de la montaña después de trepar por la senda más escarpada.	Hanaq pachaqa munarqanmi kawsayniyta mana ñoqapaq destinasqa runawan kuska pasanayta, p’unchayniykunapas ch’inlla tukukun Diospa munayninman hina, ichaqa Wiñay Kawsay punkukuna mana kicharikuqtinqa, sumaq kuskanwanmi hinalla purisaq kawsayniy.almawan ñawiyta kutichisaq Ñawpaman, chay Ñawpa pachataq kay Kunan pacha. Kawsayta qhawarisaq Primavera Inviernota qhawarisqanman hina, Kawsaypa hark’ayninta qhawarisaq aswan qaqa ñanman wichaspa urqu pataman chayaq hina.
En ese momento, la doncella dejó de escribir y, ocultando el rostro en el hueco de sus manos, sollozó amargamente.	 Chay ratopin sipasqa manaña qelqarqanñachu, hinaspan makinpa vasonpi uyanta pakakuspa sinchita waqarqan.
Su corazón se negaba a confiar a la pluma sus más sagrados secretos, pero aceptaba derramar estériles lágrimas que se dispersaban rápidamente, confundiéndose con el éter, refugio de las almas de los amantes y del espíritu de las flores.	 Sonqonqa manan munarqanchu aswan ch’uya pakasqa kayninta plumaman encargayta, ichaqa chaskikurqanmi mana wawayoq waqaykunata hich’ayta, chaymi usqhaylla ch’eqerirqan, éterwan chaqrukuspa, munakuqkunaq almanpa pakakunanwan, t’ikakunaq espiritunwan ima.
Después de un momento retomó la pluma y añadió:	 Huk ratumanta plumanta hap’ispa yapaykurqan:
¿Recuerdas a ese joven?	 ¿Yuyarinkichu chay waynata?
¿Recuerdas los destellos que emanaban de sus ojos, y los signos de pesar en su rostro?	¿Yuyarinkichu ñawinmanta llimp’ikuna lloqsimuqta, uyanta pesapakuy señalkunata?
¿Recuerdas su risa, que hablaba de las lágrimas de una madre separada de su único hijo?	 ¿Yuyarinkichu asikuyninta, chaypin rimarqan sapallan wawanmanta t’aqasqa mamaq waqasqanmanta?
¿Puedes reconstruir su voz serena, como el eco de un distante valle?	 ¿Atiwaqchu hukllawayta thak kunkanta, karu wayq’omanta eco hina?
¿Lo recuerdas cuando meditaba, escrutando nostálgica y plácidamente los objetos y hablando de ellos con extrañas palabras, para luego agachar la cabeza suspirando como si temiera revelar los grandiosos secretos de su corazón?	 ¿Yuyarinkichu yuyaymanashaspa, nostálgico hinallataq placidamente imakunatapas allinta qhawarispa mana reqsisqa simikunawan rimashaspa, chaymantataq umantapas k’umuykukuspa suspiran manchakuspapas sonqonpa hatun pakasqa kayninta rikuchiyta?
¿Recuerdas sus sueños y creencias?	 ¿Yuyarinkichu musqukusqaykita, iñisqaykitapas?
¿Recuerdas todo esto de un joven a quien la humanidad contaba entre sus hijos, y a quien mi padre miraba con ojos de superioridad porque estaba por encima de la voracidad terrenal y era más noble que la grandeza heredada?	 ¿Yuyarinkichu tukuy kaykunata huk waynamanta, runa kayqa wawankuna ukhupi yuparqan, taytaytaq pisipaq qhawarirqan kay pachapi munapayaymanta aswan hatun kasqanrayku, hinallataq herencia chaskisqa hatun kaymanta aswan noble kasqanrayku?
Debes saber, querida hermana, que soy una mártir de este mundo insignificante, y una víctima de la ignorancia.	 Yachanaykipunin, munasqa ñañay, kay mana ancha chaniyoq pachapaq mártir kasqayta, mana yachaypa viktima kasqaytapas.
¿Te condolerás de una hermana que se sienta en el silencio de la horrible noche para verter todo lo que su yo interior encierra, y revelarte los secretos de su corazón?	¿Khuyapayankichu huk hermanamanta, payqa manchay tuta ch’inlla tiyashan, tukuy sonqonpa hap’isqankunata hich’ananpaq, hinaspa sonqonpa pakasqa kaqkunata willasunaykipaq?
Estoy segura que te condolerás de mí, porque sé que el Amor ha visitado tu corazón.	 Seguro kani khuyapayawanaykimanta, imaraykuchus yachani Munakuy sonqoykita watukamusqanmanta.
