español	quechua
René Descartes	Rene Descartes sutiyuq runam
Discurso del Método	 Método Discurso nisqa
“Discurso del método para guiar bien la razón y buscar la verdad en las ciencias”	" ""Discurso métodomanta razonta allinta pusanapaq hinaspa cienciapi chiqap maskanapaq""."
Prólogo	 Ñawpaq rimay
Vitam impendere vero	 Vitam impendere vero nisqa
El Discurso del Método es una obra de plenitud mental.	 Discurso sobre Método nisqaqa yuyaywan ruwasqa llamkaymi.
Exceptuando algunos diálogos de Platón, no hay libro alguno que lo supere en profundidad y en variedad de intereses y sugestiones.	 Platónpa wakin rimanakuyninkunamanta aswanqa, manan kanchu paymanta aswan hatun liwru ukhupi, imaymana intereskunapi, yuyaychaykunapipas.
Inaugura la filosofía moderna; abre nuevos cauces a la ciencia; ilumina los rasgos esenciales de la literatura y del carácter franceses; en suma, es la autobiografía espiritual de un ingenio superior, que representa, en grado máximo, las más nobles cualidades de una raza nobilísima	 Kunan pacha yachaykunata inaguran; musuq ñankunatam kichan cienciaman; chaymi kancharichin francés literaturapa, caracterpa ancha allin kaqkunata; Pisi rimayllapi, huk aswan hatun ingeniopa espiritual autobiografía nisqanmi, chaymi representan, máximo gradokama, aswan noble razapa aswan noble cualidadesninta.
No podemos aspirar, en este breve prólogo, a presentar el pensamiento y la obra de Descartes en la riquísima diversidad de sus matices filosóficos, literarios, científicos, artísticos, políticos y aun técnicos.	 Manan munasunmanchu, kay pisi prologopi, Descartespa yuyaykuyninta, llank’aynintapas, askha imaymana kayninkunapi, filosofía, literaria, científica, artística, política, técnica nisqakunapipas rikuchiyta.
Nos limitaremos, pues, a la filosofía; y aun dentro de este terreno, expondremos sólo los temas generales de mayor virtualidad histórica.	Hinaptinqa, filosofía nisqallapim limitakusun; hinaspapas kay terreno ukhupipas, aswan hatun virtualidad histórica nisqapa temas generales nisqakunallatam qawachisun.
El pensamiento cartesiano es como el pórtico de la filosofía moderna.	 Cartesiano yuyayqa kunan pacha filosofía nisqap pórtico nisqa hinam.
Los rasgos característicos de su arquitectura se encuentran reproducidos, en líneas generales, en la estructura y economía ideológica de los sistemas posteriores.	 Arquitecturanpa características nisqakunaqa mirachisqam, chirukuna general nisqapi, qipa sistemakunapa estructuranpi hinaspa economía ideológica nisqapi.
