español	quechua
Sun Tzu	Inti Tzu
El Arte de la Guerra	 Guerramanta Arte
El Arte de la Guerra es el mejor libro de estrategia de todos los tiempos.	 Arte de Guerra nisqa libroqa tukuy tiempomanta aswan allin estrategia libron.
Inspiró a Napoleón, Maquiavelo, Mao Tse Tung y muchas más figuras históricas.	 Napoleonta, Maquiavellita, Mao Tse Tungta, aswan achka historiamanta runakunatapas yuyaycharqan.
Este libro de dos quinientos mil años de antigüedad, es uno de los más importantes textos clásicos chinos, en el que, a pesar del tiempo transcurrido, ninguna de sus máximas ha quedado anticuada, ni hay un solo consejo que hoy no sea útil.	 Kay iskay pichqa pachak waranqa watayuq libroqa hukninmi aswan importante texto clásico chinomanta, chaypin, tiempoña pasaran chaypas, manan mayqen máximapas mawk’asqachu, nitaqmi kanchu huk consejopas chaypaqqa kunan tiempopiqa manan allinchu.
Pero la obra del general Sun Tzu no es únicamente un libro de práctica militar, sino un tratado que enseña la estrategia suprema de aplicar con sabiduría el conocimiento de la naturaleza humana en los momentos de confrontación.	 Ichaqa Sun Tzu generalpa llamkayninqa manam militarkunapa ruwayninmanta qillqallachu, aswanqa huk tratadom, chaypim yachachin hatun estrategia, runapa kayninmanta yachaykunata yachaywan churanapaq, enfrentamiento ratokunapi.
No es, por tanto, un libro sobre la guerra; es una obra para comprender las raíces de un conflicto y buscar una solución.	 Chhaynaqa manan guerramanta rimaq librochu; Huk ch’aqwaypa saphinta hamut’anapaq, allichayta maskhanapaq llank’aymi.
“la mejor victoria es vencer sin combatir”, nos dice Sun Tzu, “y ésa es la distinción entre le hombre prudente y el ignorante”.	 Sun Tzu niwanchis: “Aswan allin atipayqa mana maqanakuspa atipaymi, chaymi allin yuyayniyoq mana yachaq runaq t’aqakuyninqa”, nispa.
I N T R O D U C C I O N	 QALLARIY
Sun Tzu, El Arte de la Guerra	Sun Tzu, Guerramanta Arte
Sun Tzu fué un general chino que vivió alrededor del siglo V antes de Cristo.	 Sun Tzu sutiyuq runaqa huk Chinap generalninmi karqan, 5 kaq pachakwatapi Kristup ñawpan pachapi kawsaq.
La colección de ensayos sobre el arte de la guerra atribuida a Sun Tzu es el tratado más antiguo que se conoce sobre el tema.	 Sun Tzuman atribuisqa awqanakuy artemanta ensayokuna huñusqa, chaymanta aswan ñawpaq riqsisqa tratado.
A pesar de su antigüedad los consejos de Sun Tzu siguen manteniendo vigencia.	 Edadña kaptinpas, Sun Tzupa yuyaychasqanqa allinraqmi.
El Arte de la Guerra es el mejor libro de estrategia de todos los tiempos.	 Arte de Guerra nisqa libroqa tukuy tiempomanta aswan allin estrategia libron.
Inspiró a Napoleón, Maquiavelo, Mao Tse Tung y muchas más figuras históricas.	 Napoleonta, Maquiavellita, Mao Tse Tungta, aswan achka historiamanta runakunatapas yuyaycharqan.
Este libro de dos mil quinientos años de antigüedad, es uno de los más importantes textos clásicos chinos, en el que, a pesar del tiempo transcurrido, ninguna de sus máximas ha quedado anticuada, ni hay un solo consejo que hoy no sea útil.	 Kay 2.500 watayoq libroqa hukninmi aswan importante texto clásico chinokunamanta, chaypin, tiempoña pasaran chaypas, manan mayqen máxima nisqapas mawk’asqachu, nitaqmi kanchu huk consejollapas kunan tiempopi mana allin.
Pero la obra del general Sun Tzu no es únicamente un libro de práctica militar, sino un tratado que enseña la estrategia suprema de aplicar con sabiduría el conocimiento de la naturaleza humana en los momentos de confrontación.	 Ichaqa Sun Tzu generalpa llamkayninqa manam militarkunapa ruwayninmanta qillqallachu, aswanqa huk tratadom, chaypim yachachin hatun estrategia, runapa kayninmanta yachaykunata yachaywan churanapaq, enfrentamiento ratokunapi.
No es, por tanto, un libro sobre la guerra; es una obra para comprender las raíces de un conflicto y buscar una solución.	 Chhaynaqa manan guerramanta rimaq librochu; Huk ch’aqwaypa saphinta hamut’anapaq, allichayta maskhanapaq llank’aymi.
“la mejor victoria es vencer sin combatir”, nos dice Sun Tzu, “y ésa es la distinción entre le hombre prudente y el ignorante”.	 Sun Tzu niwanchis: “Aswan allin atipayqa mana maqanakuspa atipaymi, chaymi allin yuyayniyoq mana yachaq runaq t’aqakuyninqa”, nispa.
La obra de Sun Tzu llegó por primera vez a Europa en el periodo anterior a la Revolución Francesa, en forma de una breve traducción realizada por el sacerdote jesuita J. J. M. Amiot.	 Sun Tzup llamk'ayninqa ñawpaqta Iwrupaman chayarqan manaraq Francia Revolución nisqa pachakunapi, jesuita sacerdote J. J. M. Amiotpa pisi t'ikrasqan hina.
En las diversas traducciones que se han hecho desde entonces, se nombra ocasionalmente al autor como Sun Wu o Sun Tzi	 Chaymantapacha imaymana t’ikrakuykunapiqa wakin kutipin qelqaqtaqa Sun Wu otaq Sun Tzi nispa sutichanku.
El núcleo de la filosofía de Sun Tzu sobre la guerra descansa en estos dos principios:	 Sun Tzup awqanakuymanta yuyayninpa ukhunqa kay iskay kamachiykunapim kachkan:
Todo el Arte de la Guerra se basa en el engaño.	Lliw Arte de Guerra nisqa q’otuypi sayasqa.
El supremo Arte de la Guerra es someter al enemigo sin luchar.	 Hatun Arte de Guerra nisqa awqata mana maqanakuspa kamachiymi.
Las ideas de Sun Tzu se extendieron por el resto de Asia hasta llegar a Japón.	 Sun Tzupa yuyayninkunaqa tukuy Awya Yalapi mast'arikurqan, Japón suyuman chayanankama.
Los japoneses adoptaron rápidamente estas enseñanzas y, posiblemente, añadieron algunas de su propia cosecha.	 Japonmanta runakunaqa usqhayllan chay yachachikuykunata chaskirqanku, yaqapaschá paykunaq wakin yachachikuyninkunata yaparqanku.
"Hay constancia de que el principal libro japonés sobre el tema, ""El libro de los Cinco Anillos"", está influido por la filosofía de Sun Tzu, ya que su autor, Miyamoto Mushashi, estudió el tratado de ""El Arte de la Guerra"" durante su formación como Samurai."	" Kanmi pruebakuna chay temamanta hatun Japonmanta liwru, ""Pichqa anillokunapa qillqan"", Sun Tzupa filosofía nisqawan influenciasqa kasqanmanta, chaymanta qillqaqnin, Miyamoto Mushashi, ""El arte de la guerra"" nisqa tratadota estudiasqanmanta, a Samurai nisqa."
Habitualmente se hace referencia a las culturas orientales como culturas de estrategia y no es pequeña la influencia de Sun Tzu en este desarrollo cultural.	 Inti lluqsimuy ladupi culturakunataqa culturas estratégicas nispam sutichanku, Sun Tzupa kay cultura wiñayninpiqa manam pisillachu.
Hoy en día, la filosofía del arte de la guerra ha ido más allá de los límites estrictamente militares, aplicándose a los negocios, los deportes, la diplomacia e incluso el comportamiento personal.	 Kunanqa, arte de guerra nisqapa filosofía nisqanqa, estrictamente militarkunapa limite nisqamanta aswan karumanmi puririrqa, negociokunapi, pukllaykunapi, diplomacia nisqapi, comportamiento personal nisqapipas.
Por ejemplo, muchas frases clave de los manuales modernos de gestión de empresas, son prácticamente citas literales de la obra de Sun Tzu (cambiando, por ejemplo, ejercito por empresa, o armamento por recursos, sin ir más lejos).	Ejemplopaq, achka frases clave kunan pacha manuales de gestión de negocios kaqpi yaqa literal citakuna kanku Sun Tzu llamk'asqanmanta (t'ikrayta, huk rikch'anapaq, empresapaq ejerciciota ruwani, utaq armakuna recursokunarayku, mana aswan karuman rispa).
Las ideas siguen siendo completamente válidas a pesar de los 25 siglos transcurridos desde que se escribieron.	 Chay yuyaykunaqa 25 pachak watakunaña qelqasqa kasqanmantapachan hunt’asqallaraq kashan.
Sobre la evaluación	 Chaninchaymanta
Sun Tzu dice: la guerra es de vital importancia para el Estado; es el dominio de la vida o de la muerte, el camino hacia la supervivencia o la pérdida del Imperio: es forzoso manejarla bien.	 Sun Tzu nin: Guerraqa Estadopaqqa ancha allinmi; Kawsaypa utaq wañuypa kamachiyninmi, Imperio kawsananpaq utaq chinkananpaq ñan: allinta kamachina.
No reflexionar seriamente sobre todo lo que le concierne es dar prueba de una culpable indiferencia en lo que respecta a la conservación o pérdida de lo que nos es mas querido; y ello no debe ocurrir entre nosotros.	 Tukuy ima llakichisusqaykipi mana allinta yuyaymanayqa, aswan munasqanchikta waqaychaymanta utaq chinkachiymanta huchayuq mana interesakusqaykita qawachiymi; manataqmi kayqa ñuqanchikpurapichu kanan.
Hay que valorarla en términos de cinco factores fundamentales, y hacer comparaciones entre diversas condiciones de los bandos rivales, con vistas a determinar el resultado de la guerra.	 Pichqa factores fundamentales nisqawanmi chaninchana, chaynallataqmi tupanachiykuna ruwakunan imaymana condicionkuna rival ladokunapi, chaynapi guerrapa imayna lluqsinanta yachanapaq.
El primero de estos factores es la doctrina; el segundo, el tiempo; el tercero, el terreno; el cuarto, el mando; y el quinto, la disciplina.	Chaykunamanta ñawpaq kaqmi yachachikuy; iskay kaqtaq, pacha; kimsa kaqtaq, allpa; tawa kaq, kamachiy; pichqa kaqtaq, wanachiy.
La doctrina significa aquello que hace que el pueblo esté en armonía con su gobernante, de modo que le siga donde sea, sin temer por sus vidas ni a correr cualquier peligro.	 Chay yachachikuyqa niyta munan, chaymi runakuna kamachikuqninkuwan hukllawakunankupaq, chaynapi maypipas qatikunankupaq, mana kawsayninkumanta manchakuspanku nitaq ima peligrotapas kallpaspanku.
El tiempo significa el Ying y el Yang, la noche y el día, el frío y el calor, días despejados o lluviosos, y el cambio de las estaciones.	 Tiempoqa Ying , Yang , tuta p'unchaw , ruphay chiri , ch'uya icha para p'unchaw , pachakunap t'ikrakuynin .
El terreno implica las distancias, y hace referencia a dónde es fácil o difícil desplazarse, y si es campo abierto o lugares estrechos, y esto influencia las posibilidades de supervivencia.	 Chay terrenoqa karukunatam qawarichin, chaymantam riman maypi facil utaq sasa kuyuy kasqanmanta, chaynallataq kichasqa suyu utaq estrecho sitiokuna kaptinqa, chaymi influyen chansakuna kawsanapaq.
El mando ha de tener como cualidades: sabiduría, sinceridad, benevolencia, coraje y disciplina.	 Kamachiyqa kay sumaq kayniyuqmi kanan: yachayniyuq, sunqumanta, allin sunqu kay, mana manchakuq, wanachiy ima.
Por último, la disciplina ha de ser comprendida como la organización del ejército, las graduaciones y rangos entre los oficiales, la regulación de las rutas de suministros, y la provisión de material militar al ejército.	 Tukuyninpiqa, disciplina nisqatan hamut’ana, ejercito nisqapa organizacionnin, oficialkuna ukhupi filakuna, rankukuna ima, suministro nisqa ñankuna kamachiy, ejercitoman material militar nisqa qoy ima.
Estos cinco factores fundamentales han de ser conocidos por cada general.	Kay pichqa factores fundamentales nisqakunataqa sapa generalpa yachananmi.
Aquel que los domina, vence; aquel que no, sale derrotado.	 Paykunata kamachiqmi atipan; mana chayta ruwaqqa atipasqam.
Por lo tanto, al trazar los planes, han de compararse los siguiente siete factores, valorando cada uno con el mayor cuidado:	 Chayraykum plankunata ruwaspaqa kay qanchis ruwaykunata tupachina, sapakamata aswan allinta pesaspa:
¿Qué dirigente es más sabio y capaz?	 ¿Mayqin umalliqtaq aswan yachaysapa, aswan atiyniyuq?
¿Qué comandante posee el mayor talento?	 ¿Ima comandantetaq aswan talentoyoq?
¿Qué ejército obtiene ventajas de la naturaleza y el terreno?	 ¿Mayqin ejercitotaq ventajakunata tarin naturalezamanta hinaspa terrenomanta?
¿En qué ejército se observan mejor las regulaciones y las instrucciones?	 ¿Mayqin ejercitopitaq aswan allinta qawakun kamachikuykunata hinaspa kamachikuykunata?
¿Qué tropas son más fuertes?	 ¿Ima tropakunataq aswan kallpasapa?
¿Qué ejército tiene oficiales y tropas mejor entrenadas?	 ¿Ima ejercitotaq aswan allin yachachisqa oficialkuna, tropakuna?
¿Qué ejército administra recompensas y castigos de forma más justa?	 ¿Mayqin ejercitotaq aswan chaninpi premiokunata, castigokunatapas kamachin?
Mediante el estudio de estos siete factores, seré capaz de adivinar cual de los dos bandos saldrá victorioso y cual será derrotado.	 Kay qanchis factorkunata estudiaspaymi adivinayta atisaq mayqan iskaynin ladomanta atipaq kanqa, mayqentaq atipasqa kanqa.
