español	quechua
Introducción	 Qallariy
Todo el mundo tiene referencias y habla de este librito, pero son poquisimos los que lo han leído.	 Lliwmi kay qillqachamanta referenciakunayuq hinaspa rimanku, ichaqa ancha pisillam leerqaku.
Yo mismo lo desconocía hasta hace poco.	 Kikiypas mana yacharqanichu chayllaraq.
"Vino a mis manos una edición española del año 1638, y su lectura me impresionó profundamente, y estoy seguro de que su difusión ha de hacer un gran bien entre todos los que andamos en "" cosas"" sociales."	" 1638 watamanta español edición makiyman hamurqan, chayta leespataq anchata admirachiwarqan, segurotaqmi kani mast'arikuyninqa ancha allinta ruwanqa llapanchispaq, pikunachus ""imakuna"" social nisqapi llank'anchis chaykunapaq."
"Santo ás Moro publicó su ""UTOPIA"" en 1516, y Lutero dio el primer paso hacia la Reforma Protestante en 31 de octubre de 1517, al publicar sus 95 tesis en Wittemberg."	" Santo ás Moro ""UTOPIA"" nisqa qillqayninta 1516 watapi lluqsichirqan, Luterotaq 31 ñiqin chakra yapuy killapi 1517 watapi Protestante Reforma nisqaman ñawpaq llamk'ayta qallarirqan, 95 tesis nisqakunata Wittenberg llaqtapi lluqsichispa."
Después, la Historia ha seguido su curso.	 Qhepamanmi Historiaqa puririyninta qatiparqan.
De estos hechos han pasado cuatro Siglos y medio, y hoy tenemos suficiente perspectiva para darnos cuenta de muchas cosas que nuestros antepasados no pudieron ver.	 Tawa pachak wata kuskanmi pasarun kay sucesokunamanta, kunan punchawkunapiqa suficiente perspectivayuqmi kanchik, ñawpaq taytanchikkunapa mana qawasqan achka imakunatapas musyakunapaq.
Ambos hechos se produjeron en los tiempos en que el poder espiritual y temporal de la Iglesia Católica habían llegado al máximo.	 Iskaynin sucesokunaqa pasaran Iglesia Católica espiritualpi, tiempopipas atiynin aswan hatun kasqanman chayasqan tiempopin.
"En todo lo que hoy llamamos ""Occidente"" no existía más que una sola religión, bajo la autoridad suprema del Papa de Roma, al cual prestaban acatamiento todos los Príncipes."	"Tukuy kunan ""Occidente"" nisqanchispiqa huk religionllan karqan, Roma Papaq hatun kamachikuyninpi, paytan llapa Principekuna kasurqanku."
Se habían constituido y consolidado casi todas las grandes naciones de Europa.	 Europa lawpi yaqa llapan hatun nacionkunam takyasqa hinaspa hukllawasqaña karqa.
El poder temporal de la Iglesia se había consolidado en dos aspectos:	 Iglesiaq kay tiempopi atiyninqa iskay ruwaykunapin takyachisqa karqan:
1º Poder concentrado, constituido por los Estados Pontificios, en los que el Papa era soberano	 1 kaq Poder Concentrado, Papal Estadokunamanta ruwasqa, chaypi Papa kamachiqmi karqan
absoluto, y	 absoluto, y
2º Poder diluido, formado por las posesiones, mas o menos feudales, de todos los dignatarios eclesiásticos en todos los países.	 2 kaq Poder Diluido, llapan suyukunapi llapa iglesiapi hatun runakunaq kaqninkunawan, aswan pisi feudal nisqawan kamasqa.
Desde las Parroquias rurales a los grandes Arzobispados, pasando por todos los Obispados y las grandes (y pequeñas) Abadías y Conventos.	 Parroquia ruralkunamanta hatun Arzobispadokunaman, llapa Obispadokunata, hatun (hinallataq huch’uy) Abadíakunata, Conventokunatapas pasaspa.
¿Y el pueblo?	 Hinaspa llaqta?
¿Qué papel desempeñaba en todo esto el pueblo?	 ¿Ima ruwaytan runakuna ruwarqanku tukuy chaykunapi?
