español	quechua
SONETOS DE AMOR	MUNAKUY SONETOS
De los hermosos el retoño ansiamos	 Sumaqmanta chay brote munasqanchismanta
para que su rosal no muera nunca,	 chaynapi rosas sachayki mana haykapipas wañunanpaq,
pues cuando el tiempo su esplendor marchite	 imaraykuchus pachaqa k'anchariyninta ch'akipuqtinmi
guardará su memoria su heredero.	 Paypa herederonmi yuyariyninta waqaychanqa.
Pero tú, que tus propios ojos amas,	 Qankuna ichaqa, kikiykiq ñawiykita munakuq,
para nutrir la luz, tu esencia quemas	 k’anchayta mikhuchinaykipaqqa, esenciaykiqa ruphapun
y hambre produces en donde hay hartura,	 yarqaytataq askha kasqanpi ruruchinki,
demasiado cruel y hostil contigo.	 ancha millay hinaspa chiqnikuq qanwan.
Tú que eres hoy del mundo fresco adorno,	 Qankuna kunan pacha mosoq pacha adornomanta kankichis,
pregón de la radiante primavera,	 k’anchariq pukyumanta willakuy, .
sepultas tu poder en el capullo,	 atiyniykita p'ampanki chay cocopi, .
dulce egoísta que malgasta ahorrando.	 misk’i kikillanpaq munaq runa, qolqe waqaychayta usuchiq.
Del mundo ten piedad: que tú y la tumba,	 Kay pachata khuyapayay, qanpas aya p'ampanatapas,
ávidos, lo que es suyo no devoren.	 munapayakuq, imachus qanpa kaqta ama mikhuychu.
Cuando asedien tu faz cuarenta inviernos	 Tawa chunka invierno uyaykita muyuykuptin
y ahonden surcos en tu prado hermoso,	 hinaspa sumaq pradoykipi surcokunata allay,
tu juventud, altiva vestidura,	 wayna kayniyki, hatunchakuq p'achayki, .
será un andrajo que no mira nadie.	 Mana pipas qawasqan trapo kanqa.
Y si por tu belleza preguntaran,	 Sumaq kayniykimanta tapuptinkutaq,
tesoro de tu tiempo apasionado,	 tesoro de tu tiempo pasionado, .
decir que yace en tus sumidos ojos	 chinkasqa ñawiykipi kasqanmanta niy
dará motivo a escarnios o falsías.	 burlakunapaq otaq llullakunapaq razonta qonqa.
¡Cuánto más te alabaran en su empleo	 Maynaraqmi llamkaynikipi alabasunkiku
si respondieras :  -  « Este grácil hijo	sichus kutichirqanki chayqa : - « Kay gracioso churi
mi deuda salda y mi vejez excusa »,	 manuyqa pagakunmi, machuyay excusaykunataqmi »,
pues su beldad sería tu legado!	 imaraykuchus sumaq kayninmi herenciayki kanman!
Pudieras, renaciendo en la vejez,	 Atiwaqmi, machuyaypi wakmanta nacespa, .
ver cálida tu sangre que se enfría.	 qhaway q’uñichiy yawarniyki q’oñikuq.
Mira a tu espejo, y a tu rostro dile:	 Espejoykita qhaway, hinaspa uyaykita willay:
ya es tiempo de formar otro como éste.	 Tiempoñan kay hina hukta formananchispaq.
Si no renuevas hoy su lozanía,	 Kunan punchaw mana musuq kayninta musuqyachinkichu chayqa,
al mundo engañas y a una madre robas.	 Kay pachata q’otuspa huk mamata suwakunki.
¿Quién es la bella del intacto seno	 Pitaq mana imayuq sinqapa sumaq kaynin
que tu cultivo marital desdeñe?	 casado kawsayniykipi tarpusqayki pisichasqanmanta?
y ¿quién tan loco para ser la tumba	 hinaspa pichus ancha loco aya p’ampana kananpaq
de un amor egoísta sin futuro?	 ¿Mana hamuq tiempoyoq kikillanpaq munaq munakuymanta?
Tu madre encuentra en ti, que eres su espejo,	 Mamaykiqa qanpi tarin, espejon kasqaykita,
la gracia de su abril, su primavera;	 abril killanpa, primaveranpa gracian;
así, de tu vejez por las ventanas,	 chaymi, machuyasqaykimanta ventanasninta,
aunque mustio, verás tu tiempo de oro.	 Ch’akisqaña chaypas, qori tiempoykitan rikunki.
Mas si pasar prefieres sin memoria,	 Ichaqa mana yuyarispa pasayta munanki chayqa,
muere solo y tu imagen morirá.	 sapallayki wañuy hinaspa rikchayniki wañunqa.
Derrochador de encanto, ¿por qué gastas	 Gasto de encanto, imaraykutaq gastanki
en ti mismo tu herencia de hermosura?	 qan kikiykipi sumaq kay herenciayki?
Naturaleza presta y no regala,	 Naturalezaqa prestan manataqmi qonchu, .
y, generosa, presta al generoso.	 hinaspa, qoykukuq, qoykukuqman prestan.
Luego, bello egoísta, ¿por qué abusas	Hinaptinqa, sumaq egoista, imaraykutaq abusanki
de lo que se te dio para que dieras?	 ¿ima qonaykichispaq qosqasuykichismanta?
Avaro sin provecho, ¿por qué empleas	 Miser sin ganancia, imaraykutaq utilizanki
suma tan grande, si vivir no logras?	 chayna hatun qullqita, mana kawsayta atispaqa?
Al comerciar así sólo contigo,	 Qankunawanlla kay hinata qhatuspa,
defraudas de ti mismo a lo más dulce.	 aswan misk’imanmi engañakunki.
Cuando te llamen a partir, ¿qué saldo	 Ripunaykipaq waqyasuptikiqa, ima balanzatataq
podrás dejar que sea tolerable?	 ¿atiwaqchu saqiyta tolerable kananpaq?
Tu belleza sin uso irá a la tumba;	 Mana llamk’asqa sumaq kayniykiqa aya p’ampanamanmi ripunqa;
usada, hubiera sido tu albacea.	 Used, ñuqaqa ejecutorniyki kayman karqan.
Las horas que gentiles compusieron	 Mana judío runakunaq qelqasqanku horakuna
tal visión para encanto de los ojos,	 chayna rikuy ñawikunata encantananpaq, .
sus tiranos serán cuando destruyan	 tiranonkuqa kanqa chinkachiptinku
una belleza de suprema gracia:	 hatun graciaq sumaq kay:
porque el tiempo incansable, en torvo invierno,	 imaraykuchus mana sayk’uspa tiempo, sinchi chiri tiempopi, .
muda al verano que en su seno arruina;	 sinqanpi thuñiq chiri pachaman tikray;
la savia hiela y el follaje esparce	 saphinqa chiripun, raphikunapas mast’arikun
y a la hermosura agosta entre la nieve.	 ña agosto sumaq kay rit’i chawpipi.
Si no quedara la estival esencia,	 Sichus verano esencia mana qheparqanchu chayqa, .
en muros de cristal cautivo líquido,	 hap'isqa cristal líquido pirqakunapi, .
la belleza y su fruto morirían	 sumaq kaypas, rurunkunapas wañupunmanmi
sin dejar ni el recuerdo de su forma.	 manataqmi rikchayninpa yuyariytapas saqispa.
Mas la flor destilada, hasta en invierno,	 Ichaqa chay destilada t’ikaqa, chiri tiempopipas,
su ornato pierde y en perfume vive.	Payqa adornonta chinkachispanmi perfumepi kawsan.
No dejes, pues, sin destilar tu savia,	 Chaynaqa, ama saqiychu, mana yakuykita distilaspaqa,
que la mano invernal tu estío borre:	 Inti raymi maki chiriykita pichachun:
aroma un frasco y antes que se esfume	 huk botellata asnachiy hinaspa manaraq chinkachkaptin
enriquece un lugar con tu belleza.	 sumaq kayniykiwan huk sitiota qhapaqyachiy.
No ha de ser una usura prohibida	 Manan hark’asqa usurachu kanan
la que alegra a quien paga de buen grado;	 munaspa pagaqkunata kusichiq;
y tú debes dar vida a otro tú mismo,	 qan kikiykitaq hukman kawsayta qonayki,
feliz diez veces, si son diez por uno.	 chunka kuti kusisqa, chunka kuti huk kaptinkuqa.
Más que ahora feliz fueras diez veces,	 Kunanmanta aswan kusisqa karqanki chunka kuti, .
si diez veces, diez hijos te copiaran:	 chunka kutita chayqa, chunka wawakuna copiasurqanki:
¿qué podría la muerte, si al partir	 imataq wañuy atinman, sichus ripuspa
en tu posteridad siguieras vivo?	 miraynikikunapiqa kawsachkankiraqchu?
