español	quechua
Tengo el pelo rizado por naturaleza.	Ñuqaqa naturalmente k’uyu chukchayuqmi kani.
Mi pasatiempo es leer los cómics.	 Kusirikuyniyqa comics nisqakunata ñawinchaymi.
Mi pasatiempo es leer novelas.	 Kusirikuyniyqa novelakunata ñawinchaymi.
Mi ciudad natal es muy bonita.	 Llaqtayqa ancha sumaqmi.
Mi casa está en las afueras.	 Wasiyqa hawa llaqtakunapim kachkan.
Me parece que mi idea es mejor.	 Yuyaykuni aswan allin kasqanmanta.
Mi laburo es enseñar inglés.	 Llamkayniyqa inglés simita yachachiymi.
Mi trabajo es enseñar inglés.	 Llamkayniyqa inglés simita yachachiymi.
Mi cuchillo ha perdido su filo.	 Cuchilloyqa kantunta chinkachisqañam.
Mi madre tiene dos hermanos.	 Mamayqa iskay wawqiyuqmi.
Mi madre está haciendo una tarta.	 Mamayqa tortata ruwachkan.
Mi madre está gravemente enferma.	 Mamayqa sinchitan onqoshan.
Mi madre se está sintiendo mejor.	 Mamayqa allintam sientekuchkan.
Mi nuevo curso comienza hoy.	 Musuq kursuyqa kunan punchawmi qallarin.
Mi sobrina es una niña seria.	 Sobrinayqa serio sipasmi.
Mis padres aún son jóvenes.	 Tayta-mamayqa waynaraqmi.
Mis padres son oriundos de China.	 Tayta-mamayqa China nacionmantan kanku.
Mis padres me dejaron ir allí.	 Tayta-mamaymi chayman rinaypaq saqiwarqaku.
Mis padres me dejan ir allí.	 Tayta-mamaymi chayman rinaypaq saqiwarqaku.
Mis padres se aman.	 Tayta-mamayqa kuyanakunku.
Mi paciencia tiene un límite.	 Pacienciayqa huk limiteyoqmi.
Mi hermana tiene un bonito piano.	 Ñañayqa sumaq pianoyuqmi.
Mi hermana ama la música.	 Ñañayqa anchatam munan takikunata.
A mi hermana le encanta la música.	 Ñañayqa anchatam munan takikunata.
Mi hermana se casó con un doctor.	 Ñañayqa doctorwanmi casarakurqa.
Mi hermana juega con muñecas.	 Ñañayqa muñecakunawanmi pukllan.
Mi hijo es más alto que yo.	 Wawayqa ñuqamanta aswan hatunmi.
Mi padrastro era diabético.	Padrastroyqa diabetes onqoyniyoqmi karan.
Mi tío me obsequió el reloj.	 Tiyuymi chay relojta quwarqa.
Mi mujer está intentando dormir.	 Warmiyqa puñuyta munachkan.
Mi esposa está intentando dormir.	 Warmiyqa puñuyta munachkan.
Mi esposa va a matarme.	 Warmiymi wañuchiwanqa.
Mi esposa me va a matar.	 Warmiymi wañuchiwanqa.
Ninguno de ellos lucía viejo.	 Manan mayqenninkupas machu hinachu rikch’akurqanku.
Vale la pena visitar Nueva York.	 Nueva York llaqtataqa watukunapaqmi.
Se están construyendo nuevas viviendas.	 Musuq wasikunatam rurachkanku.
Nadie nos trajo nada.	 Manam pipas imatapas apamuwarqakuchu.
Nadie puede saberlo todo.	 Manan pipas tukuyta yachayta atinmanchu.
Nadie pudo encontrar la caverna.	 Chay machaytaqa manam pipas tariyta atirqachu.
Nunca se es demasiado viejo para aprender.	 Manam haykapipas yachanaykipaqqa machuñachu kanki.
Nadie es demasiado viejo para aprender.	 Manan pipas ancha machuñachu yachananpaq.
Nunca es tarde para aprender.	 Manam haykapipas tardechu yachanapaq.
Nadie sabe qué pasó.	 Manan pipas yachanchu imachus pasasqanmanta.
Nadie sabe qué sucedió.	 Manan pipas yachanchu imachus pasasqanmanta.
Nadie vive en esa casa.	 Chay wasipiqa manam pipas yachanchu.
Nadie vive en esta casa.	 Kay wasipiqa manam pipas yachanchu.
Nadie se preguntó nada.	 Manam pipas imatapas tapukurqachu.
Nadie me dijo nada.	 Manam pipas imatapas willawarqachu.
Nadie me manda.	 Manam pipas kachawanchu
Nadie confía más en él.	 Manañam pipas paypi hapipakunñachu.
Ya nadie trabaja ahí.	 Manañam pipas chaypiqa llamkanchu.
Nadie se cree lo que digo.	 Nisqaytaqa manam pipas creenchu.
Nadie puede saberlo todo.	 Manan pipas tukuyta yachayta atinmanchu.
Nadie escuchó los gritos de Tom.	 Tompa qapariynintaqa manam pipas uyarirqachu.
Nadie oyó sonar la campana.	 Manam pipas uyarirqachu campana waqaqta.
Nadie va a detenerme.	 Manam pipas harkawanqachu.
Nunca se es demasiado viejo para aprender.	Manam haykapipas yachanaykipaqqa machuñachu kanki.
Nunca es tarde para aprender.	 Manam haykapipas tardechu yachanapaq.
Nadie vive en esta casa.	 Kay wasipiqa manam pipas yachanchu.
Nadie se percató de su ausencia.	 Manam pipas repararqachu mana kasqanpi.
Nadie se percató del error.	 Chay pantasqankutaqa manam pipas repararqachu.
Nadie lee los mensajes largos.	 Unay willakuykunataqa manam pipas ñawinchanchu.
Nadie debería apoyar esto.	 Manan pipas chaytaqa yanapananchu.
Nadie te va a contratar.	 Manam pipas contratasunkichu.
Nadie va a hacerte daño.	 Manan pipas k’irisunkichu.
Ninguno de mis estudiantes reprobó.	 Manan mayqen estudianteypas mana allintachu ruwarqan.
No había una sola nube a la vista.	 Manam huk puyullapas rikukurqachu.
No todas las rubias son estúpidas.	 Mana tukuy rubiokunachu sonso kanku.
No todos pueden ser poetas.	 Mana tukuy runachu harawiq kayta atinku.
No pasó nada al fin y al cabo.	 Tukuyninpiqa manam imapas pasarqachu.
Ahora yo también estoy resfriado.	 Kunanqa chiriwanñataqmi kani.
Ahora quiero ir y hacerlo.	 Kunanqa rispa ruwayta munani.
Ahora, no seas impaciente, por favor.	 Kunanqa, ama mana pacienciayoq kaychu, ama hina kaspa.
Ahora es el turno de mi hermano.	 Kunanqa wawqiypa turnonñam.
¿No te sientes mejor ahora?	 ¿Manachu kunanqa allinta sientekunki?
Por supuesto que es ilegal.	 Ciertamente mana kamachiyman hinachu.
¡Oh! Lamento oír eso.	 Waw! Chayta uyarispaymi llakikuni.
Oh, no te preocupes por eso.	 Oh ama llakikuychu chaymanta.
Una sola lengua no es suficiente.	 Huk rimayllaqa manam aypanchu.
Uno no debe abusar de los animales.	 Huk runaqa manam uywakunataqa abusanchu.
Hay que cumplir las reglas.	 Kamachiykunata kasukunayki tiyan.
Uno de mis hijos está malo.	 Huknin churiymi onqosqa kachkan.
Una cosa lleva a la otra.	 Huk kaqninmi hukman pusawanchik.
Un año tiene doce meses.	 Huk wataqa chunka iskayniyuq killayuqmi.
Uno es nuevo. El otro es viejo.	Hukninmi musuq. Hukninñataqmi machuña.
Solo Tom no quiso ir.	 Tomllam mana riyta munarqachu.
Abre tu libro en la página diez.	 Libroykita kichay chunka paginakama.
Abrid vuestros libros por la página 86.	 Libroykikunata kichay 86 paginapi.
La comida orgánica sabe mejor.	 Orgánico nisqa mikhuyqa aswan allinmi.
Nuestro manzano está floreciendo.	 Manzana sach’anchismi t’ikashan.
Nuestro bebé no habla todavía.	 Wawanchikqa manaraqmi rimanchu.
Nuestro bebé no habla aún.	 Wawanchikqa manaraqmi rimanchu.
Nuestro jefe aprobó nuestro plan.	 Jefeykuqa planniykutam aprobarqa.
Nuestro jefe es difícil de complacer.	 Jefeykuqa sasa kusichiymi.
Nuestro director es canadiense.	 Directorniykuqa Canadá nacionmantan.
Nuestros planes van tomando forma.	 Planniykuqa formakuchkanmi.
Nuestro restaurante es el mejor.	 Restauranteykuqa aswan allinmi.
Nuestras clases empiezan a las ocho.	 Claseykuqa pusaq horamantam qallarin.
Nuestra escuela tiene 80 años.	 Yachay wasiykuqa 80 watayuqñam.
Nuestro profesor vive por acá cerca.	 Yachachiqniykuqa kay qayllapim tiyan.
Nuestro tren se detuvo de repente.	 Trenniykuqa qonqayllam sayarurqa.
Nuestro tren se detuvo repentinamente.	 Trenniykuqa qonqayllam sayarurqa.
Nuestra caldera está rota.	 Calderanchismi p’akisqa kashan.
Está prohibido estacionar aquí.	 Kaypiqa harkasqam estacionamientoqa.
No está permitido estacionar aquí.	 Kaypiqa manam estacionamientoqa saqisqachu.
No existen personas perfectas.	 Manam kanchu mana pantaq runakunaqa.
Las mascotas pueden llegar a ser muy caras.	 Uywakunaqa ancha chaninniyuqmi kanman.
Pierce fue electo en 1852.	 Pierceqa 1852 watapi akllasqa karqan.
El rosado no es solo para niñas.	 Rosaqa manan sipaskunallapaqchu.
Responde a la pregunta, por favor.	Ama hina kaspa, tapukuyta kutichiy.
Por favor, reserva una habitación para ella.	 Ama hina kaspa, paypaq huk cuartota reservay.
Por favor, ven a casa a veces.	 Ama hina kaspa, wakin kuti wasiman kutimuy.
Por favor, corrige mi ortografía.	 Ama hina kaspa, ortografiayta allichay.
Por favor haz exactamente como digo.	 Ama hina kaspa, nisqayman hinapuni ruway.
No vuelvas a hacer eso, por favor.	 Ama hina kaspa, ama chayta ruwaychu.
No hagas eso otra vez, por favor.	 Ama hina kaspa, ama chayta ruwaychu.
Por favor no hables tan rápido.	 Ama hina kaspa, ama chayna utqaylla rimaychu.
Por favor, coge una silla para Tom.	 Ama hina kaspa, Tompaq huk tiyanata apamuy.
Por favor, deme una hamburguesa.	 Ama hina kaspa, huk hamburguesata quway.
Haga el favor de devolverme la pluma.	 Ama hina kaspa, chay plumata kutichipuway.
Dame algo de café por favor.	 Ama hina kaspa, kukata quway.
Tom mantuvo las puertas abiertas.	 Tomqa punkukunatan kichasqata waqaychaq.
Por favor, sólo déjame solo.	 Ama hina kaspa, sapallayta saqiwaychik.
Por favor, sólo déjame sola.	 Ama hina kaspa, sapallayta saqiwaychik.
Por favor, déjame comer tranquilo.	 Ama hina kaspa, hawkalla mikunaypaq.
Por favor, déjame comer tranquila.	 Ama hina kaspa, hawkalla mikunaypaq.
Por favor, dejadme comer tranquilo.	 Ama hina kaspa, hawkalla mikunaypaq.
Por favor, dejadme comer tranquila.	 Ama hina kaspa, hawkalla mikunaypaq.
Pague en la caja, por favor.	 Registropi pagay, ama hina kaspa.
Por favor, pague en el mostrador.	 Ama hina kaspa, contadorpi pagay.
Por favor regrese a su asiento.	 Ama hina kaspa, tiyasqaykiman kutiy.
Envíame un catálogo por favor.	 Ama hina kaspa, huk catálogota apachimuway.
Por favor, enséñeme otro.	 Ama hina kaspa, huktawan qawachiway.
Por favor, muéstreme otro.	 Ama hina kaspa, huktawan qawachiway.
Por favor, muéstrame tu portátil.	Ama hina kaspa, laptopnikita qawachiway.
Por favor, mantente cercano.	 Ama hina kaspa, qayllallapi kay.
Por favor quítate la camisa.	 Ama hina kaspa, camisaykita hurquy.
Por favor, quítate los zapatos.	 Ama hina kaspa, zapatoykichikta hurquychik.
Quitaos los zapatos, por favor.	 Ama hina kaspa, zapatoykita hurquy.
Quítese los zapatos, por favor.	 Ama hina kaspa, zapatoykita hurquy.
Por favor, dígame si le duele.	 Ama hina kaspa, willaway nanaptinqa.
Por favor, dígame adónde ir.	 Ama hina kaspa, willaway mayman rinaypaq.
Escriba, por favor, lo que dijo.	 Ama hina kaspa, nisqaykita qillqay.
Escribe con un lapicero, por favor.	 Plumawan qillqay, ama hina kaspa.
Vierte un poco de leche para el gato.	 Misipaq lecheta hich’ay.
La pobreza lo hizo robar.	 Wakcha kaymi suwata ruwarqa.
Los langostinos no me sientan bien.	 Gambas nisqakunaqa manam ñuqaman hinachu.
Finge que no ocurre nada.	 Mana imapas pasachkaqta hina ruway.
Probablemente venga pronto.	 Yaqapaschá pisi tiempollamanta hamunqa.
Prométeme que no te reirás.	 Prometeway mana asikunaykipaq.
Se requieren medidas inmediatas.	 Chaylla medidakuna ruwana tiyan.
Demuestra que no eres un gallina.	 Mana wallpa kasqaykita rikuchiy.
Demuestra que no eres un pollo.	 Mana wallpa kasqaykita rikuchiy.
¡Ponte una chaqueta, hace frío!	 Chaqueta churakuy, chiriña!
Ponle algo de sal a tu carne.	 Aychaykiman kachita churay.
Coloque los huevos en la heladera.	 Chay uhukunataqa refrigeradorpi churay.
Pon los huevos en el frigorífico.	 Chay uhukunataqa refrigeradorman churay.
Las ratas abandonan un barco que se hunde.	 Ratakunaqa chinkaykuchkaq buquemanta lluqsinku.
Lean todos juntos después de mí.	 Lliwmi ñuqapa qipayta kuska ñawinchaqku.
No se ganó Zamora en una hora.	 Zamoraqa manan huk horallapichu atiparqanku.
Roma no fue construida en un día.	Roma llaqtaqa manan huk p’unchayllapichu hatarichisqa karqan.
Roma no se construyó en un día.	 Roma llaqtaqa manan huk p’unchayllapichu hatarichisqa karqan.
