ácido	ácido nisqa
agradable	munasqa
agrícola	chakra llamk’aymanta
algún	wakin
amable	kuyakuq
amargo	qatqi
ambos	iskaynin
ancho	kinray
aquel	chayta
aquellas	wakkuna
artístico	artístico nisqa
áspero	qachqa
bastante	llunpay
cada	sapa
capitalista	kapitalista nisqa
caro	llunpay
cierto	CHIQAQ
civil	civil
colombiano	Colombiamanta
comunista	comunista nisqa
cruel	rumi sunqu
cuadrado	tawa kuchu
cuál	mayqin
cualquier	mayqinpas
cuánta	hayka
cuanto	hayka
cuánto	hayka
culto	yupaychay
cultural	cultural
cuyo	piqpa
débil	unpu
demasiado	nishuta
democrático	democrático nisqa
dental	kiru hampiy
diario	diario
diminuto	uchuycha
divertido	kusi
dos	iskay
dulce	miski
económico	economico
energética	kallpasapa
ese	chayta
esponjoso	esponja hina
este	kay
estructural	estructural nisqa
familiar	ayllu
fiel	iñisqa
flexible	flexible
flojo	kacharisqa
fotográfico	fotografía nisqa
fuerte	sinchi
grande	hatun
hermoso	munay
histórico	histórico nisqamanta
individual	sapalla
industrial	industrial
infantil	wawa hina
institucional	institucional nisqa
inteligente	yachaq
juvenil	warma kay
laboral	llamkay
largo	chutarisqa
limpio	pichay
más	aswan
menos	pisi
mensual	sapa killa
mercantil	qatuna
mi	mi
militar	militar
mucho	achka
mundial	pacha
musical	musikumanta
nacional	hatun llaqta
naval	naval nisqa
navideño	Navidad
ningún	Manam
ninguno	mana mayqinpas
nítido	kawchi
nuestro	ñuqanchikpa
nuevo	musuq
otro	huk
pequeño	uchuy
perfecto	kusa
petrolero	petroleo
poco	aslla
policial	policia
político	política nisqamanta
primer	ñawpaq
qué	ima
quirúrgico	quirúrgico nisqa
redondo	muyu
regional	regional
religioso	religioso
renacentista	Renacimiento nisqa pacha
rojo	puka
ronco	hoarse
rubio	rubio
rugoso	qachqa
salado	kachiyuq
seco	chaki
segundo	iskay ñiqi
semejante	kaqlla
sendos	sapakama
solar	intimanta
suave	llanpu
sucio	qanra
suficiente	achka
tal	chayna
todo	llapan
tostado	tostado
triple	kimsa kuti
tu	qam
un	a
universitario	académico nisqamanta
unos cuantos	wakin
valiente	piña
vanguardista	vanguardia nisqa
varios	achka
verde	qumir
vuestra	qampaq
