español	quechua
abrir	kichasqa
agarrar	hapiy
ahorrar	waqaychay
almorzar	almuerzota mikhuy
amar	kuyay
apagar	wañuchinapaq
aprender	yachakuy
bajar	uray
barrer	pichay
beber	upyanapaq
buscar	maskay
cambiar	tikray
caminar	puriy
cantar	takiy
cenar	mikuychik
cerrar	wichqay
cocinar	yanuy
comenzar	qallariy
comer	mikuy
comparar	tupachiy
compartir	qunakuy
comprar	rantiy
conducir	purikuy
conocer	yachay
contar	yupay
conversar	rimanakuy
copiar	copia
creer	iñiy
dar	quy
decir	niy
desayunar	tutapay mikuy
despertarse	rikchariy
dirigir	kamachiy
dormir	puñuy
dudar	masi
durar	mastariy
elegir	akllay
enamorarse	munakuyman urmaykusqa
entender	hamutay
escribir	qillqay
escuchar	uyariy
esperar	suyay
estar	kay
estudiar	yachakuy
existir	kaq
ganar	atipay
gobernar	kamachiy
guardar	waqaychay
gustar	munasqa
haber	kananpaq
hablar	rimay
hacer	ruway
indicar	nisqa
invitar	minkay
ir	riy
jugar	pukllay
lavar	taqsay
leer	ñawinchay
limpiar	pichay
llamar	qayay
llevar	apay
llover	para
mirar	qaway
necesitar	mañakuy
oír	uyariy
olvidar	qunqay
pagar	payllay
parar	kancha
pedir	tapuy
pensar	umanchay
perder	chinkachiy
perdonar	panpachay
poder	atiy
preferir	munay
preguntar	tapuy
prender	llank’achiy
prometer	sullull
querer	munay
recomendar	kunasqa
recordar	yuyay
regalar	huk regalota qoy
reír	asiy
resolver	chuyanchay
responder	kutichiy
saber	yachay
saludar	napaykuy
sentir	musyay
ser	kay
soler	ruwanankupaq sapa kuti
subir	yapay
suceder	imanay
tener	kanku
terminar	tukuy
trabajar	llamkay
traer	apamuy
usar	mawka
utilizar	hapiy
venir	hamuy
ver	qaway
viajar	illay
visitar	watukuy
vivir	kawsay
